ANNO,ATS STRUTTURA,CODICE STRUTTURA DI RICOVERO,DESCRIZIONE STRUTTURA DI RICOVERO,CODICE ACC DI DIAGNOSI 1,DESCRIZIONE ACC DI DIAGNOSI 1,DEGENZA MEDIA TOTALE,ACCESSI MEDI TOTALE
2012,325 - ATS DI BERGAMO,030133-00,OSPEDALE PESENTI FENAROLI - ALZANO L.,5,MALATTIE MENTALI,17.48552,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030352-00,POLO GERIATRICO RIABILITATIVO-CINISELLO,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,43.193548,0
2012,324 - ATS DELLA BRIANZA,030081-00,PRESIDIO OSPEDALIERO DI GIUSSANO,10,MALATTIE DEL SISTEMA GENITO-URINARIO,6.030303,1
2012,328 - ATS DI PAVIA,030202-00,IST.DI CURA CITTA'DI PAVIA,2,NEOPLASIE,3.535948,0
2012,328 - ATS DI PAVIA,030197-00,CASA DI CURA VILLA ESPERIA,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",21.395745,17.428571
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030116-00,CLINICA SAN CARLO - PADERNO DUGNANO,10,MALATTIE DEL SISTEMA GENITO-URINARIO,9.441176,1
2012,324 - ATS DELLA BRIANZA,030023-00,OSPEDALE DI CIRCOLO UMBERTO I - BELLANO,7,MALATTIE DEL SISTEMA CIRCOLATORIO,30.25,0
2012,324 - ATS DELLA BRIANZA,030068-00,PRESIDIO OSPEDALIERO DI DESIO,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,5.373494,27.111111
2012,325 - ATS DI BERGAMO,030138-00,OSPEDALE SS.TRINITA'-ROMANO DI LOMBARDIA,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,7.90937,0
2012,325 - ATS DI BERGAMO,030138-00,OSPEDALE SS.TRINITA'-ROMANO DI LOMBARDIA,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,5.861111,0
2012,322 - ATS DELL'INSUBRIA,030009-00,OSP. CIRCOLO A.BELLINI - SOMMA LOMBARDO,2,NEOPLASIE,14.583333,1
2012,325 - ATS DI BERGAMO,030145-00,CASA DI CURA CASTELLI - BERGAMO,7,MALATTIE DEL SISTEMA CIRCOLATORIO,5.913522,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030946-00,ISTITUTO ORTOPEDICO GALEAZZI SPA,1,MALATTIE INFETTIVE E PARASSITARIE,8.333333,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030389-01,SAN CARLO,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,2.725,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030922-00,"FOND.IRCCS ""ISTIT.NAZ.LE TUMORI""MILANO",18,"CODICI RESIDUI, NON CLASSIFICATI",3.348837,1
2013,326 - ATS DI BRESCIA,030906-00,PRES.OSPEDAL.SPEDALI CIVILI BRESCIA,11,COMPLICAZIONI DELLA GRAVIDANZA; PARTO; E IL PUERPERIO,3.828023,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030922-00,"FOND.IRCCS ""ISTIT.NAZ.LE TUMORI""MILANO",10,MALATTIE DEL SISTEMA GENITO-URINARIO,3.675676,1
2013,326 - ATS DI BRESCIA,030162-00,PRESIDIO OSPEDALIERO GARDONE V.T.,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,7.578358,0
2012,327 - ATS DELLA VAL PADANA,030357-00,OSP. SAN PELLEGRINO - CASTIGLIONE D/S,8,MALATTIE DEL SISTEMA RESPIRATORIO,10.976271,0
2013,324 - ATS DELLA BRIANZA,030944-00,FONDAZIONE S. MAUGERI - LISSONE,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,19.681818,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030947-00,I.R.C.C.S. POLICLINICO SAN DONATO,14,ANOMALIE CONGENITE,9.619048,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030057-00,OSPEDALE M. MELLONI - MILANO,15,ALCUNE CONDIZIONI ORIGINATE NEL PERIODO PERINATALE,11.807588,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030100-00,CASA DI CURA IGEA - MILANO,16,LESIONI E AVVELENAMENTO,3.442308,1
2013,322 - ATS DELL'INSUBRIA,030902-00,OSPEDALE S. ANNA - COMO,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,6.075306,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030103-00,CASA DI CURA PALAZZOLO-FOND.DON GNOCCHI,16,LESIONI E AVVELENAMENTO,30.348571,0
2013,326 - ATS DI BRESCIA,030159-00,PRESIDIO OSPEDALIERO DI MONTICHIARI,16,LESIONI E AVVELENAMENTO,6.074212,1
2013,325 - ATS DI BERGAMO,030133-00,OSPEDALE PESENTI FENAROLI - ALZANO L.,2,NEOPLASIE,7.667162,1
2013,327 - ATS DELLA VAL PADANA,030259-00,CASA DI CURA S. CLEMENTE - MANTOVA,5,MALATTIE MENTALI,5.873418,0
2013,328 - ATS DI PAVIA,030924-00,POLICLINICO S. MATTEO - PAVIA,5,MALATTIE MENTALI,4.920792,1
2013,326 - ATS DI BRESCIA,030295-00,FONDAZIONE POLIAMBULANZA - BRESCIA,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,8.023408,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030937-00,IRCCS S.M.NASCENTE-FOND.DON C.GNOCCHI-MILANO,7,MALATTIE DEL SISTEMA CIRCOLATORIO,40.035897,38.269231
2013,327 - ATS DELLA VAL PADANA,030357-00,OSP. SAN PELLEGRINO - CASTIGLIONE D/S,7,MALATTIE DEL SISTEMA CIRCOLATORIO,7.368944,1
2012,325 - ATS DI BERGAMO,030144-00,CASA DI CURA BEATO PALAZZOLO - BERGAMO,15,ALCUNE CONDIZIONI ORIGINATE NEL PERIODO PERINATALE,0,1
2013,324 - ATS DELLA BRIANZA,030106-00,CASA DI CURA POLICLINICO - MONZA,7,MALATTIE DEL SISTEMA CIRCOLATORIO,7.523283,1
2013,328 - ATS DI PAVIA,030193-00,OSPEDALE CIVILE - VIGEVANO,8,MALATTIE DEL SISTEMA RESPIRATORIO,5.728033,1
2012,322 - ATS DELL'INSUBRIA,030902-00,OSPEDALE S. ANNA - COMO,15,ALCUNE CONDIZIONI ORIGINATE NEL PERIODO PERINATALE,11.967655,1
2012,323 - ATS DELLA MONTAGNA,030042-00,OSPEDALE CIVILE - SONDRIO,18,"CODICI RESIDUI, NON CLASSIFICATI",5.117647,1
2012,326 - ATS DI BRESCIA,030369-00,CENTRO MEDICO RICHIEDEI - PALAZZOLO S/O,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",4.846154,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030072-00,OSPEDALE DI CIRCOLO PREDABISSI-MELEGNANO,14,ANOMALIE CONGENITE,4.213115,1
2012,322 - ATS DELL'INSUBRIA,030011-00,OSPEDALE DI CUASSO - CUASSO AL MONTE,16,LESIONI E AVVELENAMENTO,23.54902,0
2013,325 - ATS DI BERGAMO,030134-00,OSPEDALE F. M. PASSI - CALCINATE,10,MALATTIE DEL SISTEMA GENITO-URINARIO,2.773973,1
2013,322 - ATS DELL'INSUBRIA,030012-00,OSPEDALE CARLO ONDOLI - ANGERA,10,MALATTIE DEL SISTEMA GENITO-URINARIO,4.531915,1
2013,325 - ATS DI BERGAMO,030148-00,POLICLINICO SAN PIETRO  - PONTE S. PIETRO,11,COMPLICAZIONI DELLA GRAVIDANZA; PARTO; E IL PUERPERIO,3.295874,1
2012,328 - ATS DI PAVIA,030194-00,OSPEDALE CIVILE - VOGHERA,14,ANOMALIE CONGENITE,3.04,1
2012,322 - ATS DELL'INSUBRIA,030017-00,CASA DI CURA MATER DOMINI - CASTELLANZA,1,MALATTIE INFETTIVE E PARASSITARIE,9.433333,1
2012,325 - ATS DI BERGAMO,030148-00,POLICLINICO SAN PIETRO S.P.A.,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,6.101266,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030085-00,CAUSA PIA OSPITALIERA UBOLDO-CERNUSCO SN,5,MALATTIE MENTALI,12.482759,5.625
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030110-00,CASA DI CURA S. GIOVANNI - MILANO,10,MALATTIE DEL SISTEMA GENITO-URINARIO,2.818182,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030912-00,P.O. CENTRO TRAUMATOLOGICO ORTOPEDICO - MILANO,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,8.42255,1
2012,324 - ATS DELLA BRIANZA,030033-00,CASA DI CURA BEATO L.TALAMONI-LECCO,16,LESIONI E AVVELENAMENTO,15.30137,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030100-00,CASA DI CURA IGEA - MILANO,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,2.463415,1
2012,326 - ATS DI BRESCIA,030157-00,OSPEDALE CIVILE LA MEMORIA DI GAVARDO,18,"CODICI RESIDUI, NON CLASSIFICATI",3.888889,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030067-00,OSPEDALE MAGGIORE DI LODI,8,MALATTIE DEL SISTEMA RESPIRATORIO,8.544765,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030075-00,OSPEDALE C.CANTU'-ABBIATEGRASSO,1,MALATTIE INFETTIVE E PARASSITARIE,17.178571,0
2013,326 - ATS DI BRESCIA,030167-00,OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA,7,MALATTIE DEL SISTEMA CIRCOLATORIO,8.136364,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030097-00,ISTITUTO CLINICO CITTA' STUDI - MILANO,10,MALATTIE DEL SISTEMA GENITO-URINARIO,5.748466,1
2014,325 - ATS DI BERGAMO,030133-00,OSPEDALE PESENTI FENAROLI - ALZANO L.,10,MALATTIE DEL SISTEMA GENITO-URINARIO,4.115646,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030914-00,OSPEDALE S. PAOLO - MILANO,11,COMPLICAZIONI DELLA GRAVIDANZA; PARTO; E IL PUERPERIO,3.936559,1
2014,324 - ATS DELLA BRIANZA,030024-00,OSPEDALE DI CIRCOLO S.L.MANDIC-MERATE,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,5.923077,1
2014,328 - ATS DI PAVIA,030198-00,ISTITUTO CLINICO BEATO MATTEO,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,8.479608,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030116-00,CLINICA SAN CARLO - PADERNO DUGNANO,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,7.620783,1
2013,328 - ATS DI PAVIA,030198-00,ISTITUTO CLINICO BEATO MATTEO,8,MALATTIE DEL SISTEMA RESPIRATORIO,8.538922,0
2014,322 - ATS DELL'INSUBRIA,030030-00,OSPEDALE  VALDUCE ,15,ALCUNE CONDIZIONI ORIGINATE NEL PERIODO PERINATALE,12.015094,0
2013,324 - ATS DELLA BRIANZA,030082-00,P.O. TRABATTONI RONZONI DI SEREGNO,8,MALATTIE DEL SISTEMA RESPIRATORIO,24.133758,0
2014,327 - ATS DELLA VAL PADANA,030259-00,CASA DI CURA S. CLEMENTE - MANTOVA,2,NEOPLASIE,5.57377,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030916-00,OSPEDALE L. SACCO - MILANO,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",5.631737,1.090909
2013,324 - ATS DELLA BRIANZA,030381-00,FOND. MB PER IL BAMBINO E LA SUA MAMMA - MONZA,9,MALATTIE DELL'APPARATO DIGERENTE,6.962963,1.030928
2014,328 - ATS DI PAVIA,030191-00,OSPEDALE S.MARTINO - MEDE,5,MALATTIE MENTALI,7.809524,0
2013,324 - ATS DELLA BRIANZA,030903-00,OSPEDALE DI CIRCOLO A. MANZONI - LECCO,14,ANOMALIE CONGENITE,7.836842,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030947-00,I.R.C.C.S. POLICLINICO SAN DONATO,7,MALATTIE DEL SISTEMA CIRCOLATORIO,8.286977,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030057-00,OSPEDALE M. MELLONI - MILANO,7,MALATTIE DEL SISTEMA CIRCOLATORIO,7.813187,0
2014,326 - ATS DI BRESCIA,030157-00,OSPEDALE CIVILE LA MEMORIA DI GAVARDO,10,MALATTIE DEL SISTEMA GENITO-URINARIO,6.036697,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030080-00,OSPEDALE ROSSI - CASALPUSTERLENGO,10,MALATTIE DEL SISTEMA GENITO-URINARIO,10.8125,0
2014,322 - ATS DELL'INSUBRIA,030017-00,CASA DI CURA MATER DOMINI - CASTELLANZA,7,MALATTIE DEL SISTEMA CIRCOLATORIO,4.923501,1
2014,328 - ATS DI PAVIA,030193-00,OSPEDALE CIVILE - VIGEVANO,8,MALATTIE DEL SISTEMA RESPIRATORIO,5.591684,1
2013,325 - ATS DI BERGAMO,030148-00,POLICLINICO SAN PIETRO  - PONTE S. PIETRO,14,ANOMALIE CONGENITE,2.79661,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030915-00,OSPEDALE S. CARLO BORROMEO - MILANO,15,ALCUNE CONDIZIONI ORIGINATE NEL PERIODO PERINATALE,5.371308,1
2013,326 - ATS DI BRESCIA,030176-00,ISTITUTO CLINICO  S. ANNA - BRESCIA,15,ALCUNE CONDIZIONI ORIGINATE NEL PERIODO PERINATALE,4.365854,0
2012,324 - ATS DELLA BRIANZA,030107-00,ISTITUTI CLINICI ZUCCHI SPA-MONZA,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,6.52381,0
2012,322 - ATS DELL'INSUBRIA,030347-00,CASA DI CURA VILLA S. GIUSEPPE,18,"CODICI RESIDUI, NON CLASSIFICATI",20,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030281-01,OSPEDALE CIVILE DI LEGNANO,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,5.157895,1
2013,323 - ATS DELLA MONTAGNA,030274-02,OSPEDALE VALCAMONICA - EDOLO,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,5.130435,1
2013,323 - ATS DELLA MONTAGNA,030904-00,OSPEDALE MORELLI - SONDALO,18,"CODICI RESIDUI, NON CLASSIFICATI",5,1
2013,324 - ATS DELLA BRIANZA,030070-00,PRESIDIO OSPEDALIERO DI CARATE ,16,LESIONI E AVVELENAMENTO,4.835341,1
2013,324 - ATS DELLA BRIANZA,030909-00,OSPEDALE S.GERARDO - MONZA,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,9.701299,0
2012,326 - ATS DI BRESCIA,030162-00,PRESIDIO OSPEDALIERO GARDONE V.T.,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,6.235294,0
2013,326 - ATS DI BRESCIA,030906-00,PRES.OSPEDAL.SPEDALI CIVILI BRESCIA,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,9.618132,9.5
2013,328 - ATS DI PAVIA,030194-00,OSPEDALE CIVILE - VOGHERA,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,10.313673,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030075-00,OSPEDALE C.CANTU'-ABBIATEGRASSO,7,MALATTIE DEL SISTEMA CIRCOLATORIO,13.152727,0
2013,324 - ATS DELLA BRIANZA,030024-00,OSPEDALE DI CIRCOLO S.L.MANDIC-MERATE,8,MALATTIE DEL SISTEMA RESPIRATORIO,7.822785,1
2013,326 - ATS DI BRESCIA,030294-00,CASA DI CURA  DOMUS SALUTIS - BRESCIA,16,LESIONI E AVVELENAMENTO,13.561343,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030083-00,OSPEDALE DELMATI - SANT'ANGELO LODIG.,5,MALATTIE MENTALI,19.097222,0
2013,325 - ATS DI BERGAMO,030382-00,OSPEDALE M. O. ANTONIO LOCATELLI-PIARIO,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",6.533333,0
2013,326 - ATS DI BRESCIA,030294-00,CASA DI CURA  DOMUS SALUTIS - BRESCIA,7,MALATTIE DEL SISTEMA CIRCOLATORIO,18.782178,0
2013,325 - ATS DI BERGAMO,030132-00,OSPEDALE CIVILE - S.GIOVANNI BIANCO,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",6.629213,0
2013,325 - ATS DI BERGAMO,030145-00,CLINICA  CASTELLI - BERGAMO,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",4.855372,0
2012,324 - ATS DELLA BRIANZA,030381-00,FONDAZIONE MONZA E BRIANZA PER IL BAMBINO E LA SUA MAMMA,8,MALATTIE DEL SISTEMA RESPIRATORIO,6.951807,1
2013,327 - ATS DELLA VAL PADANA,030907-00,OSPEDALE C. POMA - MANTOVA,15,ALCUNE CONDIZIONI ORIGINATE NEL PERIODO PERINATALE,11.506591,0
2013,327 - ATS DELLA VAL PADANA,030907-00,OSPEDALE C. POMA - MANTOVA,14,ANOMALIE CONGENITE,4.161765,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030103-00,CASA DI CURA PALAZZOLO-FOND.DON GNOCCHI,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,19.555556,0
2013,323 - ATS DELLA MONTAGNA,030042-00,OSPEDALE SONDRIO,18,"CODICI RESIDUI, NON CLASSIFICATI",6.307692,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030072-00,OSPEDALE DI  VIZZOLO PREDABISSI,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,7.849624,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030943-00,IST. CLIN. HUMANITAS - ROZZANO,14,ANOMALIE CONGENITE,3.932127,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030103-00,CASA DI CURA PALAZZOLO-FOND.DON GNOCCHI,8,MALATTIE DEL SISTEMA RESPIRATORIO,21.02514,0
2014,325 - ATS DI BERGAMO,030148-00,POLICLINICO SAN PIETRO  - PONTE S. PIETRO,15,ALCUNE CONDIZIONI ORIGINATE NEL PERIODO PERINATALE,6.841772,0
2014,327 - ATS DELLA VAL PADANA,030357-00,OSP. SAN PELLEGRINO - CASTIGLIONE D/S,9,MALATTIE DELL'APPARATO DIGERENTE,5.873462,1
2014,325 - ATS DI BERGAMO,030379-00,HABILITA IST.CLINICO-OSP.LE DI SARNICO,9,MALATTIE DELL'APPARATO DIGERENTE,10.054054,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030066-00,OSPEDALE G.SALVINI-GARBAGNATE MIL.SE,16,LESIONI E AVVELENAMENTO,9.640187,1
2014,327 - ATS DELLA VAL PADANA,030933-00,FOND.S.MAUGERI-CENTRO MEDICO-CASTEL G.,16,LESIONI E AVVELENAMENTO,32.133971,0
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030367-00,OSPEDALE S. GIUSEPPE - MILANO,10,MALATTIE DEL SISTEMA GENITO-URINARIO,3.914729,1
2015,322 - ATS DELL'INSUBRIA,030901-01,OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,10.58156,1
2013,325 - ATS DI BERGAMO,030138-00,OSP.LE SS.TRINITA'-ROMANO DI LOMBARDIA,9,MALATTIE DELL'APPARATO DIGERENTE,5.852144,0
