ANNO,CODICE_ATS_EROGAZIONE,DESCRIZIONE_ATS_EROGAZIONE,COORDINATA_GEOGRAFICA_X,COORDINATA_GEOGRAFICA_Y,POSIZIONE_ATS,CODICE_EROGATORE,DESCRIZIONE_EROGATORE,DESCRIZIONE_TIPOLOGIA_EROGATORE,DESCRIZIONE_TIPO_ENTE,CODICE_BRANCA,DESCRIZIONE_BRANCA,DESCRIZIONE_MACRO_TIPO,PRESTAZIONI_TOT
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",706,ASST RHODENSE,PUBBLICO,ASST,231,PSICHIATRIA,ATTIVITA CLINICA,15588
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",717,ASST DI VIMERCATE,PUBBLICO,ASST,171,ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE,ATTIVITA CLINICA,117762
2017,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",323,ATS DELLA MONTAGNA,PRIVATO,ATS,251,UROLOGIA,ATTIVITA CLINICA,3679
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",923,ISTITUTO NEUROLOGICO BESTA - MI,PUBBLICO,IRCCS PUBBLICO,231,PSICHIATRIA,ATTIVITA CLINICA,700
2016,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",938,FOND. CLINICA DEL LAVORO - PAVIA,PRIVATO,IRCCS PRIVATO,113,IMMUNOEMATOLOGIA-TRASFUSIONALE,LABORATORIO,76469
2017,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",323,ATS DELLA MONTAGNA,PUBBLICO,ATS,151,NEUROLOGIA,ATTIVITA CLINICA,32
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",703,ASST FATEBENEFRATELLI SACCO,PUBBLICO,ASST,112,CHIMICA CLINICA,LABORATORIO,933543
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",321,ATS DELLA CITTA' METROPOLITANA DI MILANO,PUBBLICO,ATS,265,VISITA GENERALE,ATTIVITA CLINICA,2241
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",936,OSPEDALE S. LUCA - MI,PRIVATO,IRCCS PRIVATO,201,OSTETRICIA E GINECOLOGIA,ATTIVITA CLINICA,6235
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",941,ISTITUTO EUROPEO DI ONCOLOGIA,PRIVATO,IRCCS PRIVATO,261,ALTRO IN GENERE,MAC,15525
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",726,ASST DI CREMA,PUBBLICO,ASST,261,ALTRO IN GENERE,ATTIVITA CLINICA,9142
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",922,ISTITUTO NAZIONALE DEI TUMORI- MI,PUBBLICO,IRCCS PUBBLICO,111,ANATOMIA ISTOLOGIA PATOLOGICA-GENETICA,LABORATORIO,34852
2017,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,PUBBLICO,ASST,132,DIALISI,ATTIVITA CLINICA,25180
2015,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",924,POLICLINICO S. MATTEO - PV,PUBBLICO,IRCCS PUBBLICO,101,GASTROENTEROLOGIA - CHIRURGIA ED ENDOSCOPIA DIGESTIVA,ATTIVITA CLINICA,10744
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",947,ISTITUTO POLICLINICO SAN DONATO MILANESE,PRIVATO,IRCCS PRIVATO,111,ANATOMIA ISTOLOGIA PATOLOGICA-GENETICA,LABORATORIO,8501
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",935,S. RAFFAELE- MI,PRIVATO,IRCCS PRIVATO,111,ANATOMIA ISTOLOGIA PATOLOGICA-GENETICA,LABORATORIO,91762
2012,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,PUBBLICO,ASST,71,DIAGNOSTICA PER IMMAGINI: MEDICINA NUCLEARE,DIAGNOSTICA PER IMMAGINI,5460
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",703,ASST FATEBENEFRATELLI SACCO,PUBBLICO,ASST,85,DIAGNOSTICA PER IMMAGINI: TAC,DIAGNOSTICA PER IMMAGINI,16149
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",941,ISTITUTO EUROPEO DI ONCOLOGIA,PRIVATO,IRCCS PRIVATO,81,DIAGNOSTICA PER IMMAGINI: RADIOLOGIA DIAGNOSTICA,DIAGNOSTICA PER IMMAGINI,10998
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",707,ASST NORD MILANO,PUBBLICO,ASST,61,DERMOSIFILOPATIA,ATTIVITA CLINICA,91034
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",705,ASST OVEST MILANESE,PUBBLICO,ASST,151,NEUROLOGIA,ATTIVITA CLINICA,17412
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",321,ATS DELLA CITTA' METROPOLITANA DI MILANO,PRIVATO,ATS,51,CHIRURGIA VASCOLARE  - ANGIOLOGIA,ATTIVITA CLINICA,17965
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",724,ASST DI CREMONA,PUBBLICO,ASST,31,CHIRURGIA GENERALE,ATTIVITA CLINICA,11349
2013,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",719,ASST DI BERGAMO OVEST,PUBBLICO,ASST,201,OSTETRICIA E GINECOLOGIA,ATTIVITA CLINICA,9874
2016,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",328,ATS DI PAVIA,PUBBLICO,ATS,221,PNEUMOLOGIA,ATTIVITA CLINICA,3038
2016,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",727,ASST DI PAVIA,PUBBLICO,ASST,131,NEFROLOGIA,ATTIVITA CLINICA,37873
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",709,ASST DI LODI,PRIVATO,ASST,265,VISITA GENERALE,ATTIVITA CLINICA,469
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",324,ATS DELLA BRIANZA,PRIVATO,ATS,41,CHIRURGIA PLASTICA,ATTIVITA CLINICA,3391
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",950,SAN RAFFAELE TURRO,PRIVATO,IRCCS PRIVATO,82,DIAGNOSTICA PER IMMAGINI: INTERVENTISTICA,DIAGNOSTICA PER IMMAGINI,144
2017,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",712,ASST LARIANA,PUBBLICO,ASST,141,NEUROCHIRURGIA,ATTIVITA CLINICA,153
2016,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",328,ATS DI PAVIA,PRIVATO,ATS,191,ORTOPEDIA E TRAUMATOLOGIA,ATTIVITA CLINICA,19190
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",937,PRO JOVENTUDE DON C. GNOCCHI - MI,PRIVATO,IRCCS PRIVATO,85,DIAGNOSTICA PER IMMAGINI: TAC,DIAGNOSTICA PER IMMAGINI,1859
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",324,ATS DELLA BRIANZA,PRIVATO,ATS,231,PSICHIATRIA,ATTIVITA CLINICA,4128
2013,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",718,ASST PAPA GIOVANNI XXIII,PUBBLICO,ASST,264,VISITA DI CONTROLLO,ATTIVITA CLINICA,128408
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",327,ATS DELLA VAL PADANA,PRIVATO,ATS,271,NEUROPSICHIATRIA INFANTILE,ATTIVITA CLINICA,9602
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",706,ASST RHODENSE,PUBBLICO,ASST,83,DIAGNOSTICA PER IMMAGINI: ECOGRAFIA,DIAGNOSTICA PER IMMAGINI,17454
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",935,S. RAFFAELE- MI,PRIVATO,IRCCS PRIVATO,31,CHIRURGIA GENERALE,ATTIVITA CLINICA,10463
2015,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",939,ISTITUTO MONDINO - PAVIA,PRIVATO,IRCCS PRIVATO,121,MEDICINA FISICA E RIABILITAZIONE,ATTIVITA CLINICA,26640
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",321,ATS DELLA CITTA' METROPOLITANA DI MILANO,PRIVATO,ATS,82,DIAGNOSTICA PER IMMAGINI: INTERVENTISTICA,DIAGNOSTICA PER IMMAGINI,325
2017,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",322,ATS DELL'INSUBRIA,PRIVATO,ATS,BIC,BIC,BIC,17784
2017,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",711,ASST DELLA VALLE OLONA,PUBBLICO,ASST,85,DIAGNOSTICA PER IMMAGINI: TAC,DIAGNOSTICA PER IMMAGINI,14226
2012,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,PUBBLICO,ASST,81,DIAGNOSTICA PER IMMAGINI: RADIOLOGIA DIAGNOSTICA,DIAGNOSTICA PER IMMAGINI,55836
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",707,ASST NORD MILANO,PUBBLICO,ASST,201,OSTETRICIA E GINECOLOGIA,ATTIVITA CLINICA,38891
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",943,ISTITUTO CLINICO HUMANITAS - ROZZANO,PRIVATO,IRCCS PRIVATO,121,MEDICINA FISICA E RIABILITAZIONE,ATTIVITA CLINICA,24248
2016,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",328,ATS DI PAVIA,PRIVATO,ATS,251,UROLOGIA,ATTIVITA CLINICA,6606
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",702,ASST SANTI PAOLO E CARLO,PUBBLICO,ASST,211,OTORINOLARINGOIATRIA,ATTIVITA CLINICA,14331
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",946,ISTITUTO ORTOPEDICO GALEAZZI SPA,PRIVATO,IRCCS PRIVATO,261,ALTRO IN GENERE,MAC,100
2015,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",938,FOND. CLINICA DEL LAVORO - PAVIA,PRIVATO,IRCCS PRIVATO,131,NEFROLOGIA,ATTIVITA CLINICA,5420
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",717,ASST DI VIMERCATE,PUBBLICO,ASST,111,ANATOMIA ISTOLOGIA PATOLOGICA-GENETICA,LABORATORIO,26940
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",707,ASST NORD MILANO,PUBBLICO,ASST,191,ORTOPEDIA E TRAUMATOLOGIA,ATTIVITA CLINICA,51521
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",715,ASST DI LECCO,PUBBLICO,ASST,114,MICROBIOLOGIA-VIROLOGIA,LABORATORIO,113028
2017,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,PUBBLICO,ASST,264,VISITA DI CONTROLLO,ATTIVITA CLINICA,19727
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",947,ISTITUTO POLICLINICO SAN DONATO MILANESE,PRIVATO,IRCCS PRIVATO,71,DIAGNOSTICA PER IMMAGINI: MEDICINA NUCLEARE,DIAGNOSTICA PER IMMAGINI,2136
2016,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",712,ASST LARIANA,PUBBLICO,ASST,181,ONCOLOGIA,ATTIVITA CLINICA,6403
2015,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",727,ASST DI PAVIA,PUBBLICO,ASST,21,CARDIOLOGIA,ATTIVITA CLINICA,73529
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",324,ATS DELLA BRIANZA,PRIVATO,ATS,85,DIAGNOSTICA PER IMMAGINI: TAC,DIAGNOSTICA PER IMMAGINI,47538
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",701,ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA,PUBBLICO,ASST,84,DIAGNOSTICA PER IMMAGINI: RMN,DIAGNOSTICA PER IMMAGINI,9136
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",321,ATS DELLA CITTA' METROPOLITANA DI MILANO,PUBBLICO,ATS,83,DIAGNOSTICA PER IMMAGINI: ECOGRAFIA,DIAGNOSTICA PER IMMAGINI,45
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",706,ASST RHODENSE,PUBBLICO,ASST,31,CHIRURGIA GENERALE,ATTIVITA CLINICA,14934
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",712,ASST LARIANA,PUBBLICO,ASST,51,CHIRURGIA VASCOLARE  - ANGIOLOGIA,ATTIVITA CLINICA,1568
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",947,ISTITUTO POLICLINICO SAN DONATO MILANESE,PRIVATO,IRCCS PRIVATO,41,CHIRURGIA PLASTICA,ATTIVITA CLINICA,3489
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",324,ATS DELLA BRIANZA,PUBBLICO,ATS,151,NEUROLOGIA,ATTIVITA CLINICA,32
2015,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",940,FOND. CL. DEL LAVORO - MONTESCANO,PRIVATO,IRCCS PRIVATO,81,DIAGNOSTICA PER IMMAGINI: RADIOLOGIA DIAGNOSTICA,DIAGNOSTICA PER IMMAGINI,4115
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",925,IRCCS OSPEDALE POLICLINICO DI MILANO,PUBBLICO,IRCCS PUBBLICO,91,ENDOCRINOLOGIA,ATTIVITA CLINICA,5095
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",327,ATS DELLA VAL PADANA,PRIVATO,ATS,265,VISITA GENERALE,ATTIVITA CLINICA,12242
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",703,ASST FATEBENEFRATELLI SACCO,PUBBLICO,ASST,265,VISITA GENERALE,ATTIVITA CLINICA,29896
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",708,ASST MELEGNANO E DELLA MARTESANA,PUBBLICO,ASST,161,OCULISTICA,ATTIVITA CLINICA,64390
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",327,ATS DELLA VAL PADANA,PRIVATO,ATS,21,CARDIOLOGIA,ATTIVITA CLINICA,136505
2012,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",323,ATS DELLA MONTAGNA,PRIVATO,ATS,84,DIAGNOSTICA PER IMMAGINI: RMN,DIAGNOSTICA PER IMMAGINI,8661
2013,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",325,ATS DI BERGAMO,PRIVATO,ATS,115,LABORATORIO IN GENERE,LABORATORIO,393607
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",936,OSPEDALE S. LUCA - MI,PRIVATO,IRCCS PRIVATO,BIC,BIC,BIC,2413
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",704,ASST CENTRO SPECIALISTICO ORTOPEDICO TRAUMATOLOGICO GAETANO PINI/CTO,PUBBLICO,ASST,21,CARDIOLOGIA,ATTIVITA CLINICA,10073
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",703,ASST FATEBENEFRATELLI SACCO,PUBBLICO,ASST,11,ANESTESIA,ATTIVITA CLINICA,7322
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",925,IRCCS OSPEDALE POLICLINICO DI MILANO,PUBBLICO,IRCCS PUBBLICO,91,ENDOCRINOLOGIA,ATTIVITA CLINICA,5493
2012,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,PUBBLICO,ASST,61,DERMOSIFILOPATIA,ATTIVITA CLINICA,28468
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",716,ASST DI MONZA,PUBBLICO,ASST,191,ORTOPEDIA E TRAUMATOLOGIA,ATTIVITA CLINICA,35869
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",920,INRCA CENTRO PER LE BRONC. - CASATENOVO,PUBBLICO,IRCCS PUBBLICO,83,DIAGNOSTICA PER IMMAGINI: ECOGRAFIA,DIAGNOSTICA PER IMMAGINI,1417
2015,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",328,ATS DI PAVIA,PRIVATO,ATS,271,NEUROPSICHIATRIA INFANTILE,ATTIVITA CLINICA,5460
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",321,ATS DELLA CITTA' METROPOLITANA DI MILANO,PUBBLICO,ATS,83,DIAGNOSTICA PER IMMAGINI: ECOGRAFIA,DIAGNOSTICA PER IMMAGINI,51
