ANNO,PROVINCIA,GENERE,GRUPPO CAUSA DI MORTE,CAUSA DI MORTE,COORDINATA X,COORDINATA Y,NUMERO DECESSI POPOLAZIONE,POSIZIONE
2013,PAVIA,M,Tumori,tumori maligni-di cui leucemia,9.14034225,45.18407925,40,"(45.18407925, 9.14034225)"
2012,REGIONE LOMBARDIA,F,Tumori,tumori maligni-di cui tumori maligni del pancreas,,,1064,
2012,PAVIA,M,Tumori,tumori maligni-di cui tumori maligni del seno,9.14034225,45.18407925,2,"(45.18407925, 9.14034225)"
2012,MONZA E DELLA BRIANZA,F,Alcune malattie infettive e parassitarie,altre malattie infettive e parassitarie,9.258430902,45.5823624,74,"(45.5823624, 9.258430902)"
2014,ITALIA,M,Tumori,tumori maligni-di cui altri tumori maligni del tessuto linfatico/ematopoietico,,,1827,
2012,BRESCIA,F,Tumori,tumori maligni-di cui melanomi maligni della cute,10.18167955,45.51939749,11,"(45.51939749, 10.18167955)"
2012,LECCO,F,Alcune malattie infettive e parassitarie,aids (malattia da hiv),9.388156645,45.85028614,3,"(45.85028614, 9.388156645)"
2015,MILANO,M,Tumori,tumori maligni-di cui altri tumori maligni,9.18951,45.46427,730,"(45.46427, 9.18951)"
2012,LECCO,F,Tumori,tumori maligni-di cui tumori maligni dell'ovaio,9.388156645,45.85028614,20,"(45.85028614, 9.388156645)"
2014,MONZA E DELLA BRIANZA,M,Tumori,tumori maligni-di cui tumori maligni della laringe,9.258430902,45.5823624,12,"(45.5823624, 9.258430902)"
2013,MILANO,F,Tumori,tumori maligni-di cui tumori maligni della laringe,9.18951,45.46427,8,"(45.46427, 9.18951)"
2013,PAVIA,F,Tumori,tumori maligni-di cui tumori maligni del cervello e del sistema nervoso centrale,9.14034225,45.18407925,17,"(45.18407925, 9.14034225)"
2014,MILANO,M,Tumori,tumori maligni-di cui tumori maligni del cervello e del sistema nervoso centrale,9.18951,45.46427,114,"(45.46427, 9.18951)"
2012,LODI,F,Malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario,9.510140481,45.31535435,7,"(45.31535435, 9.510140481)"
2015,MILANO,M,"Malattie endocrine, nutrizionali e metaboliche","altre malattie endocrine, nutrizionali e metaboliche",9.18951,45.46427,112,"(45.46427, 9.18951)"
2015,SONDRIO,M,Tumori,tumori maligni-di cui tumori maligni dello stomaco,9.879429303,46.1707552,19,"(46.1707552, 9.879429303)"
2015,MONZA E DELLA BRIANZA,M,Tumori,tumori maligni-di cui tumori maligni del cervello e del sistema nervoso centrale,9.258430902,45.5823624,32,"(45.5823624, 9.258430902)"
2015,VARESE,F,Alcune malattie infettive e parassitarie,tubercolosi,8.80650544,45.80041256,1,"(45.80041256, 8.80650544)"
2015,PAVIA,M,Tumori,tumori maligni-di cui tumori maligni del cervello e del sistema nervoso centrale,9.14034225,45.18407925,18,"(45.18407925, 9.14034225)"
2015,MANTOVA,M,Tumori,tumori non maligni (benigni e di comportamento incerto),10.77086348,45.14135331,29,"(45.14135331, 10.77086348)"
2015,VARESE,M,Tumori,tumori maligni-di cui tumori maligni del rene,8.80650544,45.80041256,41,"(45.80041256, 8.80650544)"
2015,MANTOVA,F,Tumori,tumori maligni-di cui tumori maligni del rene,10.77086348,45.14135331,10,"(45.14135331, 10.77086348)"
2015,BRESCIA,F,Tumori,tumori maligni-di cui melanomi maligni della cute,10.18167955,45.51939749,20,"(45.51939749, 10.18167955)"
2012,PAVIA,M,Tumori,tumori maligni-di cui tumori maligni del rene,9.14034225,45.18407925,14,"(45.18407925, 9.14034225)"
2014,MILANO,M,Tumori,tumori maligni-di cui tumori maligni della cervice uterina,9.18951,45.46427,,"(45.46427, 9.18951)"
2015,BERGAMO,M,Tumori,tumori maligni-di cui altri tumori maligni del tessuto linfatico/ematopoietico,9.63853045,45.68012929,27,"(45.68012929, 9.63853045)"
2013,BRESCIA,F,Tumori,tumori maligni-di cui tumori maligni del rene,10.18167955,45.51939749,43,"(45.51939749, 10.18167955)"
2014,LECCO,F,Tumori,tumori maligni-di cui tumori maligni di altre parti dell'utero,9.388156645,45.85028614,10,"(45.85028614, 9.388156645)"
2013,SONDRIO,M,Disturbi psichici e comportamentali,demenza,9.879429303,46.1707552,22,"(46.1707552, 9.879429303)"
2015,ITALIA,M,Tumori,tumori maligni-di cui tumori maligni della prostata,,,7196,
2012,SONDRIO,F,Tumori,tumori maligni-di cui tumori maligni del cervello e del sistema nervoso centrale,9.879429303,46.1707552,6,"(46.1707552, 9.879429303)"
2013,REGIONE LOMBARDIA,M,Tumori,"tumori maligni-di cui tumori maligni delle labbra, cavità orale e faringe",,,353,
2015,MONZA E DELLA BRIANZA,M,Tumori,tumori maligni-di cui tumori maligni del pancreas,9.258430902,45.5823624,83,"(45.5823624, 9.258430902)"
2012,CREMONA,M,Alcune malattie infettive e parassitarie,altre malattie infettive e parassitarie,10.0131151,45.13644491,29,"(45.13644491, 10.0131151)"
2013,REGIONE LOMBARDIA,F,Tumori,tumori maligni-di cui tumori maligni di altre parti dell'utero,,,338,
2014,LECCO,M,Disturbi psichici e comportamentali,demenza,9.388156645,45.85028614,32,"(45.85028614, 9.388156645)"
2012,LODI,F,"Malattie endocrine, nutrizionali e metaboliche",diabete mellito,9.510140481,45.31535435,35,"(45.31535435, 9.510140481)"
2014,BERGAMO,F,Tumori,tumori maligni-di cui altri tumori maligni,9.63853045,45.68012929,188,"(45.68012929, 9.63853045)"
2012,SONDRIO,M,Tumori,"tumori maligni-di cui tumori maligni della trachea, dei bronchi e dei polmoni",9.879429303,46.1707552,84,"(46.1707552, 9.879429303)"
2014,MILANO,M,Tumori,"tumori maligni-di cui tumori maligni del colon, del retto e dell'ano",9.18951,45.46427,474,"(45.46427, 9.18951)"
2012,LODI,M,Tumori,tumori maligni-di cui tumori maligni del fegato e dei dotti biliari intraepatici,9.510140481,45.31535435,33,"(45.31535435, 9.510140481)"
2012,CREMONA,M,Tumori,tumori non maligni (benigni e di comportamento incerto),10.0131151,45.13644491,24,"(45.13644491, 10.0131151)"
2012,ITALIA,M,Disturbi psichici e comportamentali,abuso di alcool (compresa psicosi alcolica),,,178,
2015,CREMONA,F,Alcune malattie infettive e parassitarie,epatite virale,10.0131151,45.13644491,9,"(45.13644491, 10.0131151)"
2014,LODI,M,Tumori,tumori maligni-di cui tumori maligni dell'esofago,9.510140481,45.31535435,6,"(45.31535435, 9.510140481)"
2012,PAVIA,F,Tumori,tumori maligni-di cui tumori maligni del pancreas,9.14034225,45.18407925,71,"(45.18407925, 9.14034225)"
2012,CREMONA,F,Alcune malattie infettive e parassitarie,epatite virale,10.0131151,45.13644491,14,"(45.13644491, 10.0131151)"
2015,MANTOVA,F,Tumori,tumori maligni-di cui tumori maligni della tiroide,10.77086348,45.14135331,1,"(45.14135331, 10.77086348)"
2013,VARESE,M,Disturbi psichici e comportamentali,demenza,8.80650544,45.80041256,59,"(45.80041256, 8.80650544)"
2015,COMO,F,Tumori,tumori maligni-di cui tumori maligni dell'ovaio,9.039360974,45.80216962,42,"(45.80216962, 9.039360974)"
2015,MANTOVA,F,Tumori,"tumori maligni-di cui tumori maligni del colon, del retto e dell'ano",10.77086348,45.14135331,65,"(45.14135331, 10.77086348)"
2015,BERGAMO,F,Disturbi psichici e comportamentali,abuso di alcool (compresa psicosi alcolica),9.63853045,45.68012929,,"(45.68012929, 9.63853045)"
2014,MANTOVA,F,Tumori,"tumori maligni-di cui tumori maligni della trachea, dei bronchi e dei polmoni",10.77086348,45.14135331,58,"(45.14135331, 10.77086348)"
2015,REGIONE LOMBARDIA,F,Tumori,tumori maligni-di cui altri tumori maligni del tessuto linfatico/ematopoietico,,,323,
2012,SONDRIO,F,Tumori,tumori maligni-di cui leucemia,9.879429303,46.1707552,10,"(46.1707552, 9.879429303)"
2014,LODI,M,Tumori,"tumori maligni-di cui tumori maligni delle labbra, cavità orale e faringe",9.510140481,45.31535435,6,"(45.31535435, 9.510140481)"
2013,MANTOVA,F,Tumori,tumori maligni-di cui tumori maligni dell'ovaio,10.77086348,45.14135331,24,"(45.14135331, 10.77086348)"
2013,SONDRIO,M,Tumori,tumori maligni-di cui morbo di hodgkin e linfomi,9.879429303,46.1707552,1,"(46.1707552, 9.879429303)"
2014,VARESE,F,Tumori,tumori maligni-di cui tumori maligni della tiroide,8.80650544,45.80041256,6,"(45.80041256, 8.80650544)"
2012,MONZA E DELLA BRIANZA,M,Tumori,tumori maligni-di cui morbo di hodgkin e linfomi,9.258430902,45.5823624,37,"(45.5823624, 9.258430902)"
2014,MILANO,F,Tumori,tumori maligni-di cui tumori maligni del pancreas,9.18951,45.46427,374,"(45.46427, 9.18951)"
2014,CREMONA,M,Tumori,tumori maligni-di cui tumori maligni del fegato e dei dotti biliari intraepatici,10.0131151,45.13644491,64,"(45.13644491, 10.0131151)"
2014,REGIONE LOMBARDIA,F,Tumori,tumori maligni-di cui tumori maligni della prostata,,,,
2012,SONDRIO,F,Tumori,"tumori maligni-di cui tumori maligni delle labbra, cavità orale e faringe",9.879429303,46.1707552,2,"(46.1707552, 9.879429303)"
2015,MANTOVA,M,Tumori,tumori maligni-di cui morbo di hodgkin e linfomi,10.77086348,45.14135331,26,"(45.14135331, 10.77086348)"
2014,LODI,F,Disturbi psichici e comportamentali,demenza,9.510140481,45.31535435,26,"(45.31535435, 9.510140481)"
2012,PAVIA,M,Alcune malattie infettive e parassitarie,epatite virale,9.14034225,45.18407925,28,"(45.18407925, 9.14034225)"
2014,CREMONA,F,Tumori,tumori maligni-di cui morbo di hodgkin e linfomi,10.0131151,45.13644491,18,"(45.13644491, 10.0131151)"
2013,VARESE,F,Tumori,tumori maligni-di cui tumori maligni del fegato e dei dotti biliari intraepatici,8.80650544,45.80041256,41,"(45.80041256, 8.80650544)"
2014,VARESE,M,Tumori,tumori maligni-di cui tumori maligni della laringe,8.80650544,45.80041256,25,"(45.80041256, 8.80650544)"
2015,COMO,M,Tumori,tumori maligni-di cui tumori maligni del cervello e del sistema nervoso centrale,9.039360974,45.80216962,15,"(45.80216962, 9.039360974)"
2015,BRESCIA,F,Tumori,tumori maligni-di cui tumori maligni dello stomaco,10.18167955,45.51939749,108,"(45.51939749, 10.18167955)"
2015,MILANO,M,Disturbi psichici e comportamentali,abuso di alcool (compresa psicosi alcolica),9.18951,45.46427,7,"(45.46427, 9.18951)"
2015,BRESCIA,F,Tumori,"tumori maligni-di cui tumori maligni delle labbra, cavità orale e faringe",10.18167955,45.51939749,25,"(45.51939749, 10.18167955)"
2015,PAVIA,F,Tumori,tumori maligni-di cui tumori maligni dell'esofago,9.14034225,45.18407925,9,"(45.18407925, 9.14034225)"
2012,BERGAMO,F,Tumori,tumori maligni-di cui tumori maligni dell'ovaio,9.63853045,45.68012929,61,"(45.68012929, 9.63853045)"
2014,MILANO,M,Tumori,"tumori maligni-di cui tumori maligni della trachea, dei bronchi e dei polmoni",9.18951,45.46427,1296,"(45.46427, 9.18951)"
2013,COMO,F,Tumori,tumori maligni-di cui tumori maligni della prostata,9.039360974,45.80216962,,"(45.80216962, 9.039360974)"
2013,LECCO,M,Tumori,tumori maligni-di cui tumori maligni della prostata,9.388156645,45.85028614,31,"(45.85028614, 9.388156645)"
2015,COMO,M,Alcune malattie infettive e parassitarie,tubercolosi,9.039360974,45.80216962,6,"(45.80216962, 9.039360974)"
2015,SONDRIO,M,Tumori,tumori maligni-di cui tumori maligni del seno,9.879429303,46.1707552,1,"(46.1707552, 9.879429303)"
2013,BRESCIA,M,Tumori,tumori maligni-di cui tumori maligni del cervello e del sistema nervoso centrale,10.18167955,45.51939749,34,"(45.51939749, 10.18167955)"
2015,CREMONA,M,Tumori,tumori maligni-di cui tumori maligni del seno,10.0131151,45.13644491,,"(45.13644491, 10.0131151)"
2015,COMO,F,Tumori,tumori maligni-di cui tumori maligni del pancreas,9.039360974,45.80216962,59,"(45.80216962, 9.039360974)"
2013,COMO,M,"Malattie endocrine, nutrizionali e metaboliche",diabete mellito,9.039360974,45.80216962,60,"(45.80216962, 9.039360974)"
2012,ITALIA,M,Tumori,tumori maligni-di cui tumori maligni di altre parti dell'utero,,,,
2013,COMO,M,Tumori,"tumori maligni-di cui tumori maligni delle labbra, cavità orale e faringe",9.039360974,45.80216962,23,"(45.80216962, 9.039360974)"
2012,ITALIA,F,Alcune malattie infettive e parassitarie,altre malattie infettive e parassitarie,,,4439,
2012,MILANO,M,Tumori,tumori maligni-di cui tumori maligni del cervello e del sistema nervoso centrale,9.18951,45.46427,110,"(45.46427, 9.18951)"
2012,PAVIA,M,Tumori,tumori maligni-di cui tumori maligni della tiroide,9.14034225,45.18407925,2,"(45.18407925, 9.14034225)"
2014,REGIONE LOMBARDIA,M,Tumori,tumori maligni-di cui tumori maligni dell'ovaio,,,,
2014,CREMONA,F,Tumori,tumori maligni-di cui tumori maligni della laringe,10.0131151,45.13644491,1,"(45.13644491, 10.0131151)"
2013,LODI,F,Tumori,tumori maligni-di cui tumori maligni del rene,9.510140481,45.31535435,5,"(45.31535435, 9.510140481)"
2014,REGIONE LOMBARDIA,M,Disturbi psichici e comportamentali,abuso di alcool (compresa psicosi alcolica),,,27,
2014,PAVIA,M,Tumori,tumori maligni-di cui tumori maligni di altre parti dell'utero,9.14034225,45.18407925,,"(45.18407925, 9.14034225)"
2014,ITALIA,F,Alcune malattie infettive e parassitarie,altre malattie infettive e parassitarie,,,5053,
2014,MANTOVA,F,Tumori,tumori maligni-di cui tumori maligni del fegato e dei dotti biliari intraepatici,10.77086348,45.14135331,24,"(45.14135331, 10.77086348)"
2014,ITALIA,M,Alcune malattie infettive e parassitarie,aids (malattia da hiv),,,537,
2015,BERGAMO,M,Tumori,tumori maligni-di cui tumori maligni della laringe,9.63853045,45.68012929,27,"(45.68012929, 9.63853045)"
2014,REGIONE LOMBARDIA,F,Tumori,tumori maligni-di cui morbo di hodgkin e linfomi,,,429,
2014,COMO,F,Tumori,"tumori maligni-di cui tumori maligni delle labbra, cavità orale e faringe",9.039360974,45.80216962,8,"(45.80216962, 9.039360974)"
2013,CREMONA,M,Tumori,tumori maligni-di cui tumori maligni della laringe,10.0131151,45.13644491,11,"(45.13644491, 10.0131151)"
2014,PAVIA,M,Tumori,tumori maligni-di cui tumori maligni del cervello e del sistema nervoso centrale,9.14034225,45.18407925,26,"(45.18407925, 9.14034225)"
2013,COMO,F,Tumori,tumori maligni-di cui morbo di hodgkin e linfomi,9.039360974,45.80216962,27,"(45.80216962, 9.039360974)"
2012,BERGAMO,F,Tumori,tumori maligni-di cui tumori maligni dell'esofago,9.63853045,45.68012929,16,"(45.68012929, 9.63853045)"
2014,BRESCIA,M,Tumori,tumori non maligni (benigni e di comportamento incerto),10.18167955,45.51939749,86,"(45.51939749, 10.18167955)"
2015,BERGAMO,M,Tumori,tumori maligni-di cui tumori maligni dello stomaco,9.63853045,45.68012929,139,"(45.68012929, 9.63853045)"
2013,VARESE,F,Malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario,8.80650544,45.80041256,25,"(45.80041256, 8.80650544)"
2012,MONZA E DELLA BRIANZA,M,Tumori,tumori maligni-di cui tumori maligni della prostata,9.258430902,45.5823624,78,"(45.5823624, 9.258430902)"
2015,MANTOVA,F,Tumori,tumori maligni-di cui tumori maligni del fegato e dei dotti biliari intraepatici,10.77086348,45.14135331,23,"(45.14135331, 10.77086348)"
2014,MILANO,F,Tumori,tumori maligni-di cui tumori maligni della vescica,9.18951,45.46427,64,"(45.46427, 9.18951)"
2015,MANTOVA,M,Tumori,tumori maligni-di cui tumori maligni del rene,10.77086348,45.14135331,19,"(45.14135331, 10.77086348)"
2013,ITALIA,M,Tumori,tumori non maligni (benigni e di comportamento incerto),,,4370,
2012,CREMONA,F,Tumori,tumori maligni-di cui tumori maligni della cervice uterina,10.0131151,45.13644491,4,"(45.13644491, 10.0131151)"
2012,VARESE,M,Alcune malattie infettive e parassitarie,aids (malattia da hiv),8.80650544,45.80041256,18,"(45.80041256, 8.80650544)"
2014,LECCO,F,Tumori,tumori maligni-di cui tumori maligni del rene,9.388156645,45.85028614,11,"(45.85028614, 9.388156645)"
2014,MILANO,M,"Malattie endocrine, nutrizionali e metaboliche","altre malattie endocrine, nutrizionali e metaboliche",9.18951,45.46427,108,"(45.46427, 9.18951)"
2012,LECCO,M,Tumori,tumori maligni-di cui tumori maligni dello stomaco,9.388156645,45.85028614,35,"(45.85028614, 9.388156645)"
2014,VARESE,M,Tumori,tumori maligni-di cui tumori maligni dello stomaco,8.80650544,45.80041256,79,"(45.80041256, 8.80650544)"
2014,ITALIA,M,Tumori,"tumori maligni-di cui tumori maligni della trachea, dei bronchi e dei polmoni",,,24088,
2015,ITALIA,M,Tumori,tumori maligni-di cui tumori maligni dell'ovaio,,,,
2015,MILANO,F,Alcune malattie infettive e parassitarie,aids (malattia da hiv),9.18951,45.46427,16,"(45.46427, 9.18951)"
2013,PAVIA,F,Alcune malattie infettive e parassitarie,epatite virale,9.14034225,45.18407925,31,"(45.18407925, 9.14034225)"
2015,ITALIA,F,Tumori,tumori maligni-di cui tumori maligni della vescica,,,1212,
2013,SONDRIO,F,Tumori,tumori maligni-di cui leucemia,9.879429303,46.1707552,7,"(46.1707552, 9.879429303)"
2014,COMO,M,Tumori,tumori maligni-di cui tumori maligni del pancreas,9.039360974,45.80216962,55,"(45.80216962, 9.039360974)"
2012,PAVIA,M,Tumori,tumori maligni-di cui altri tumori maligni,9.14034225,45.18407925,155,"(45.18407925, 9.14034225)"
2014,MILANO,M,Tumori,tumori maligni-di cui tumori maligni del seno,9.18951,45.46427,10,"(45.46427, 9.18951)"
2014,LODI,M,Tumori,tumori maligni-di cui leucemia,9.510140481,45.31535435,8,"(45.31535435, 9.510140481)"
2015,COMO,M,"Malattie endocrine, nutrizionali e metaboliche",diabete mellito,9.039360974,45.80216962,63,"(45.80216962, 9.039360974)"
2012,LODI,F,Tumori,tumori maligni-di cui tumori maligni della tiroide,9.510140481,45.31535435,1,"(45.31535435, 9.510140481)"
2013,LODI,M,Tumori,tumori maligni-di cui tumori maligni della tiroide,9.510140481,45.31535435,,"(45.31535435, 9.510140481)"
2015,MANTOVA,F,Tumori,tumori maligni-di cui altri tumori maligni,10.77086348,45.14135331,82,"(45.14135331, 10.77086348)"
2013,MANTOVA,M,Tumori,tumori maligni-di cui tumori maligni del rene,10.77086348,45.14135331,22,"(45.14135331, 10.77086348)"
2014,VARESE,F,Disturbi psichici e comportamentali,abuso di alcool (compresa psicosi alcolica),8.80650544,45.80041256,1,"(45.80041256, 8.80650544)"
2015,MANTOVA,M,Tumori,tumori maligni-di cui melanomi maligni della cute,10.77086348,45.14135331,5,"(45.14135331, 10.77086348)"
2015,SONDRIO,M,Tumori,tumori maligni-di cui altri tumori maligni del tessuto linfatico/ematopoietico,9.879429303,46.1707552,4,"(46.1707552, 9.879429303)"
2012,MANTOVA,M,Tumori,tumori maligni-di cui tumori maligni dell'ovaio,10.77086348,45.14135331,,"(45.14135331, 10.77086348)"
2014,MONZA E DELLA BRIANZA,F,Tumori,tumori maligni-di cui leucemia,9.258430902,45.5823624,33,"(45.5823624, 9.258430902)"
2013,SONDRIO,M,Disturbi psichici e comportamentali,abuso di alcool (compresa psicosi alcolica),9.879429303,46.1707552,3,"(46.1707552, 9.879429303)"
2013,SONDRIO,F,Tumori,tumori maligni-di cui tumori maligni della cervice uterina,9.879429303,46.1707552,,"(46.1707552, 9.879429303)"
2013,REGIONE LOMBARDIA,M,"Malattie endocrine, nutrizionali e metaboliche","altre malattie endocrine, nutrizionali e metaboliche",,,264,
2012,MANTOVA,M,Disturbi psichici e comportamentali,demenza,10.77086348,45.14135331,22,"(45.14135331, 10.77086348)"
2015,MONZA E DELLA BRIANZA,M,Tumori,tumori maligni-di cui tumori maligni del fegato e dei dotti biliari intraepatici,9.258430902,45.5823624,92,"(45.5823624, 9.258430902)"
2014,SONDRIO,M,Tumori,tumori maligni-di cui morbo di hodgkin e linfomi,9.879429303,46.1707552,11,"(46.1707552, 9.879429303)"
2012,MONZA E DELLA BRIANZA,M,Malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario,9.258430902,45.5823624,11,"(45.5823624, 9.258430902)"
2012,LODI,M,"Malattie endocrine, nutrizionali e metaboliche",diabete mellito,9.510140481,45.31535435,22,"(45.31535435, 9.510140481)"
2013,MONZA E DELLA BRIANZA,M,Tumori,tumori non maligni (benigni e di comportamento incerto),9.258430902,45.5823624,64,"(45.5823624, 9.258430902)"
2012,MONZA E DELLA BRIANZA,M,Tumori,tumori maligni-di cui leucemia,9.258430902,45.5823624,47,"(45.5823624, 9.258430902)"
2013,MANTOVA,F,Tumori,tumori maligni-di cui melanomi maligni della cute,10.77086348,45.14135331,8,"(45.14135331, 10.77086348)"
2015,CREMONA,M,Disturbi psichici e comportamentali,demenza,10.0131151,45.13644491,21,"(45.13644491, 10.0131151)"
