"bacino_idrografico","corso_d_acqua","corpo_idrico"
"ADDA SUBLACUALE","Tormo (Roggia)","IT03N0080011931LO"
"OLONA-LAMBRO MERIDIONALE","Lura (Torrente)","IT03N00804400201012LO"
"LAGO DI COMO (LARIO)","Tavani (Torrente)","IT03N0080011331LO"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415BLO"
"LAMBRO","Vettabbia (Cavo)","IT03N008044003071LO"
"ADDA PRELACUALE","Viola Bormina (Torrente)","IT03N0080010292LO"
"TICINO SUBLACUALE","Ticino (Fiume)","ITIRN0080981IR"
"SERIO","Serio (Fiume)","IT03N0080010236LO"
"MELLA","Mella (Fiume)","IT03N0080600084LO"
"LAGO DI COMO (LARIO)","Cosia (Torrente)","IT03N0080010552LO"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO"
