"Regione","Provincia","Comune","Codice Sito","Nome Sito","LONG ","LAT ","Data ","Ostreopsis cf. ovata cell/l","Ostreopsis cf. ovata cell/ g fw"
"Lazio","Latina","Terracina","punto 360 (già 193) ","Fosso Acque Alte","13.274800","41.295400","8/17/2020","8410","/"
"Lazio","Latina","Terracina","punto 360 (già 193) ","Fosso Acque Alte","13.274800","41.295400","8/31/2020","720","/"
"Lazio","Latina","Terracina","punto 360 (già 193) ","Fosso Acque Alte","13.274800","41.295400","9/16/2020","540","/"
"Lazio","Latina","Sperlonga","punto 208","Loc. Bazzano (grotte di Tiberio)","13.453033","41.248272","6/15/2020","80","/"
"Lazio","Latina","Sperlonga","punto 208","Loc. Bazzano (grotte di Tiberio)","13.453033","41.248272","7/1/2020","20","/"
"Lazio","Latina","Sperlonga","punto 208","Loc. Bazzano (grotte di Tiberio)","13.453033","41.248272","7/21/2020","6640","/"
"Lazio","Latina","Sperlonga","punto 208","Loc. Bazzano (grotte di Tiberio)","13.453033","41.248272","8/5/2020","4880","/"
"Lazio","Latina","Sperlonga","punto 208","Loc. Bazzano (grotte di Tiberio)","13.453033","41.248272","8/18/2020","1620","/"
"Lazio","Latina","Sperlonga","punto 208","Loc. Bazzano (grotte di Tiberio)","13.453033","41.248272","9/2/2020","3480","/"
"Lazio","Latina","Sperlonga","punto 208","Loc. Bazzano (grotte di Tiberio)","13.453033","41.248272","9/18/2020","20","/"
"Lazio","Latina","Formia","punto 233","Porto Romano ","13.674603","41.248235","6/15/2020","408160","/"
"Lazio","Latina","Formia","punto 233","Porto Romano ","13.674603","41.248235","6/22/2020","64040","40229"
"Lazio","Latina","Formia","punto 233","Porto Romano ","13.674603","41.248235","7/1/2020","106320","158019"
"Lazio","Latina","Formia","punto 233","Porto Romano ","13.674603","41.248235","7/9/2020","6360","205927"
"Lazio","Latina","Formia","punto 233","Porto Romano ","13.674603","41.248235","7/23/2020","220","/"
"Lazio","Latina","Formia","punto 233","Porto Romano ","13.674603","41.248235","8/5/2020","60","/"
"Lazio","Latina","Formia","punto 233","Porto Romano ","13.674603","41.248235","8/18/2020","67060","/"
"Lazio","Latina","Formia","punto 233","Porto Romano ","13.674603","41.248235","8/26/2020","8620","600930"
"Lazio","Latina","Formia","punto 233","Porto Romano ","13.674603","41.248235","9/10/2020","5720","/"
"Lazio","Latina","Formia","punto 233","Porto Romano ","13.674603","41.248235","9/24/2020","10700","/"
"Lazio","Latina","Formia","punto 233","Porto Romano ","13.674603","41.248235","10/1/2020","0","1740"
