ANNO,ATS STRUTTURA,CODICE DRG,DESCRIZIONE DRG,DEGENZA MEDIA TOTALE,ACCESSI MEDI TOTALE
2012,322 - ATS DELL'INSUBRIA,137,"MAL. CARDIACHE CONGENITE E VALV.,ETA' < 18",5.45679,0
2012,322 - ATS DELL'INSUBRIA,152,INT. MINORI SU INTESTINO CRASSO E TENUE CON CC,14.8,0
2012,322 - ATS DELL'INSUBRIA,179,MAL. INFIAMMATORIE INTESTINO,10.203125,1.588235
2012,322 - ATS DELL'INSUBRIA,180,OCCLUSIONE GASTROINTESTINALE CON CC,10.760784,0
2012,322 - ATS DELL'INSUBRIA,433,"DIPEND.ALCOOL/FARMACI,DIMESSO CONTRO PARERE SANIT.",4.285714,0
2012,322 - ATS DELL'INSUBRIA,446,"TRAUMATISMI, ETA' < 18",2.615385,1
2012,322 - ATS DELL'INSUBRIA,471,INT.MAGG. BILATERALI/MULT. SU ARTICOLAZ. ARTI INF.,25.5,0
2012,322 - ATS DELL'INSUBRIA,534,INTERVENTI VASCOLARI EXTRACRANICI SENZA CC,4.420063,0
2012,322 - ATS DELL'INSUBRIA,565,DIAGNOSI RELATIVE ALL'APPARATO RESPIRATORIO CON RESPIRAZIONE ASSISTITA = 96 ORE,17.630037,0
2012,323 - ATS DELLA MONTAGNA,014,EMORRAGIA INTRACRANICA O INFARTO CEREBRALE,17.068548,0
2012,323 - ATS DELLA MONTAGNA,033,"COMMOZIONE CEREBRALE, ETA' < 18",1.555556,0
2012,323 - ATS DELLA MONTAGNA,036,INT. SU RETINA,2.585714,0
2012,323 - ATS DELLA MONTAGNA,054,"INT. SU SENI E MASTOIDE, ETA' < 18",1.6,0
2012,323 - ATS DELLA MONTAGNA,056,RINOPLASTICA,1.428571,0
2012,323 - ATS DELLA MONTAGNA,081,"INFEZ. E INFIAMM. RESPIRATORIE, ETA' < 18",46.75,0
2012,323 - ATS DELLA MONTAGNA,092,MALATTIA POLMONARE INTERSTIZIALE CON CC,15.025641,0
2012,323 - ATS DELLA MONTAGNA,123,"MAL.CARDIOVASC. CON IMA, DECEDUTI",5.878049,0
2012,323 - ATS DELLA MONTAGNA,153,INT. MINORI SU INTESTINO CRASSO E TENUE SENZA CC,6.25,0
2012,323 - ATS DELLA MONTAGNA,174,EMORRAGIA GASTROINTESTINALE CON CC,9.068027,0
2012,323 - ATS DELLA MONTAGNA,192,"INT. SU PANCREAS, FEGATO E DI SHUNT SENZA CC",5.0625,0
2012,323 - ATS DELLA MONTAGNA,193,INT. SU VIE BILIARI ESCL. COLECISTECTOMIA CON CC,17.357143,0
2012,323 - ATS DELLA MONTAGNA,248,"TENDINITE, MIOSITE E BORSITE",15.372549,1
2012,323 - ATS DELLA MONTAGNA,337,PROSTATECTOMIA TRANSURETRALE SENZA CC,5.614545,0
2012,323 - ATS DELLA MONTAGNA,382,FALSO TRAVAGLIO,1.804878,0
2012,323 - ATS DELLA MONTAGNA,410,CHEMIOTERAPIA SENZA DIA.SECOND. DI LEUCEMIA ACUTA,4.2,1.069767
2012,323 - ATS DELLA MONTAGNA,427,NEVROSI ESCL. NEVROSI DEPRESSIVE,8.756757,0
2012,323 - ATS DELLA MONTAGNA,433,"DIPEND.ALCOOL/FARMACI,DIMESSO CONTRO PARERE SANIT.",1.468085,0
2012,323 - ATS DELLA MONTAGNA,451,"AVVEL.,EFFETTI TOSSICI DA FARMACI,ETA' <18",1.4,0
2012,323 - ATS DELLA MONTAGNA,510,USTIONI NON ESTESE CON CC O TRAUMI RILEVANTI,13,0
2012,323 - ATS DELLA MONTAGNA,532,INTERVENTI SUL MIDOLLO SPINALE SENZA CC,11.414634,0
2012,323 - ATS DELLA MONTAGNA,541,OSS. EXTRACORP. A MEMBRANE O TRACH. VM = 96 ORE O DIAPR NO FACCIA... INTCH MAGG.,45.076923,0
2012,323 - ATS DELLA MONTAGNA,576,"SETTICEMIA SENZA VENTILAZIONE MECCANICA  = 96 ORE, ETÃ > 17 ANNI",14.242105,0
2012,324 - ATS DELLA BRIANZA,019,MAL. NERVI CRANICI E PERIFERICI SENZA CC,9.763636,8.190476
2012,324 - ATS DELLA BRIANZA,098,"BRONCHITE E ASMA, ETA' < 18",5.096322,0
2012,324 - ATS DELLA BRIANZA,104,INT. VALVOLE CARDIACHE CON CATETERISMO CARDIACO,13.64939,0
2012,324 - ATS DELLA BRIANZA,132,ATEROSCLEROSI CON CC,6.958333,0
2012,324 - ATS DELLA BRIANZA,133,ATEROSCLEROSI SENZA CC,4.301587,1
2012,324 - ATS DELLA BRIANZA,178,ULCERA PEPTICA NON COMPLICATA SENZA CC,6.3,0
2012,324 - ATS DELLA BRIANZA,180,OCCLUSIONE GASTROINTESTINALE CON CC,9.775641,0
2012,324 - ATS DELLA BRIANZA,187,ESTRAZIONI E RIPARAZIONI DENTALI,1.188976,1
2012,324 - ATS DELLA BRIANZA,300,MAL. ENDOCRINE CON CC,12.368421,1
2012,324 - ATS DELLA BRIANZA,317,RICOVERO PER DIALISI RENALE,9.166667,1.117647
2012,324 - ATS DELLA BRIANZA,481,TRAPIANTO DI MIDOLLO OSSEO,34.271028,0
2012,324 - ATS DELLA BRIANZA,510,USTIONI NON ESTESE CON CC O TRAUMI RILEVANTI,1.5,0
2012,324 - ATS DELLA BRIANZA,558,INT SISTEMA CARDIOVASC VIA PERCUTANEA CON STENT MED SENZA DIA CARDIOVASC MAGG,4.077876,0
2012,324 - ATS DELLA BRIANZA,563,"CONVULSIONI, ETÃ > 17 ANNI SENZA CC",7.301508,1.117647
2012,325 - ATS DI BERGAMO,071,LARINGOTRACHEITE,5,0
2012,325 - ATS DI BERGAMO,079,"INFEZ. E INFIAMM. RESPIRATORIE, ETA' > 17 CON CC",15.485507,0
2012,325 - ATS DI BERGAMO,085,VERSAMENTO PLEURICO CON CC,13.289474,0
2012,325 - ATS DI BERGAMO,165,APPENDICECTOMIA CON DIA. PRINC. COMPL. SENZA CC,5.64257,0
2012,325 - ATS DI BERGAMO,212,"INT.ANCA,FEMORE ESCL. ARTICOLAZ. MAGG.,ETA'< 18",8,0
2012,325 - ATS DI BERGAMO,239,"FRATTURE PATOL.,T.M. SIST.MUSCOLOSCHEL. E CONNETT.",13.991736,1
2012,325 - ATS DI BERGAMO,240,MAL. TESSUTO CONNETTIVO CON CC,11.739583,5.5
2012,325 - ATS DI BERGAMO,265,TRAPIANTI PELLE E/O SBRIGL. ESCL. ULCERE CON CC,10.884615,0
2012,325 - ATS DI BERGAMO,274,T.M. MAMMELLA CON CC,13.357143,0
2012,325 - ATS DI BERGAMO,351,STERILIZZAZIONE MASCHILE,1,1
2012,325 - ATS DI BERGAMO,376,DIA. RELATIVE A POSTPARTO E POSTABORTO SENZA INT.,3.893617,1
2012,325 - ATS DI BERGAMO,378,GRAVIDANZA ECTOPICA,2.782946,0
2012,325 - ATS DI BERGAMO,466,RICOVERI SUCC. SENZA ANAMNESI T.M.COME DIA.SECOND.,6.570513,1.011628
2012,325 - ATS DI BERGAMO,471,INT.MAGG. BILATERALI/MULT. SU ARTICOLAZ. ARTI INF.,13.4,0
2012,325 - ATS DI BERGAMO,487,ALTRI TRAUMATISMI MULTIPLI RILEVANTI,16.056604,0
2012,325 - ATS DI BERGAMO,550,BYPASS CORONAR. SENZA CATETERISMO CARDIACO SENZA DIAGNOSI CARDIOVASC. MAGGIORE,11.741935,0
2012,326 - ATS DI BRESCIA,003,CRANIOTOMIA ETA' < 18,21.822222,0
2012,326 - ATS DI BRESCIA,086,VERSAMENTO PLEURICO SENZA CC,8.10219,0
2012,326 - ATS DI BRESCIA,096,"BRONCHITE E ASMA, ETA' > 17 CON CC",7.356808,0
2012,326 - ATS DI BRESCIA,104,INT. VALVOLE CARDIACHE CON CATETERISMO CARDIACO,12.125,0
2012,326 - ATS DI BRESCIA,142,SINCOPE E COLLASSO SENZA CC,5.615512,1
2012,326 - ATS DI BRESCIA,166,APPENDICECTOMIA CON DIA. PRINC. NON COMPL. CON CC,10.117647,0
2012,326 - ATS DI BRESCIA,190,"ALTRE DIA. APP. DIGERENTE, ET{  < 18",2.161905,1
2012,326 - ATS DI BRESCIA,318,NEOPLASIE RENE E VIE URINARIE CON CC,9.831461,0
2012,326 - ATS DI BRESCIA,367,T.M. APP. RIPRODUTTIVO FEMMINILE SENZA CC,6.515152,1
2012,326 - ATS DI BRESCIA,382,FALSO TRAVAGLIO,1.419048,0
2012,326 - ATS DI BRESCIA,387,PREMATURITA' CON AFFEZIONI MAGGIORI,17.690909,0
2012,326 - ATS DI BRESCIA,446,"TRAUMATISMI, ETA' < 18",1.967213,0
2012,326 - ATS DI BRESCIA,448,"REAZIONI ALLERGICHE, ETA' < 18",3.166667,0
2012,326 - ATS DI BRESCIA,450,"AVVEL.,EFFETTI TOSSICI DA FARMACI,ETA'>17 SENZA CC",3.513636,0
2012,326 - ATS DI BRESCIA,502,INT. GINOCCHIO CON DIA. PRINC. DI INFEZIONE SNZ CC,13.8,0
2012,326 - ATS DI BRESCIA,509,USTIONESPESS SNZ TRPPELLE/LESINAL SNZ CC/TRAUMRIL,4.75,0
2012,326 - ATS DI BRESCIA,556,INT SISTEMA CARDIOVASC VIA PERCUTANEA CON STENT NOMED SENZA DIA CARDIOVASC MAGG,4.636076,0
2012,327 - ATS DELLA VAL PADANA,017,MAL. CEREBROVASCOLARI ASPECIFICHE SENZA CC,8.357143,1
2012,327 - ATS DELLA VAL PADANA,079,"INFEZ. E INFIAMM. RESPIRATORIE, ETA' > 17 CON CC",12.840909,0
2012,327 - ATS DELLA VAL PADANA,146,RESEZIONE RETTALE CON CC,18.155556,0
2012,327 - ATS DELLA VAL PADANA,170,ALTRI INT. SU APP. DIGERENTE CON CC,13.649123,0
2012,327 - ATS DELLA VAL PADANA,196,COLECISTECTOMIA CON ESPLORAZ. DOTTO COM. SENZA CC,17.333333,0
2012,327 - ATS DELLA VAL PADANA,253,"TRAUMI BRACCIO, GAMBA ESCL. PIEDE,ETA'>17 CON CC",11.684211,0
2012,327 - ATS DELLA VAL PADANA,272,MAL. MAGGIORI DELLA PELLE CON CC,4.75,0
2012,327 - ATS DELLA VAL PADANA,317,RICOVERO PER DIALISI RENALE,4,6.733333
2012,327 - ATS DELLA VAL PADANA,325,"SEGNI,SINTOMI RENE E VIE URINARIE,ETA'>17 CON CC",6.407407,0
2012,327 - ATS DELLA VAL PADANA,336,PROSTATECTOMIA TRANSURETRALE CON CC,8.630435,0
2012,327 - ATS DELLA VAL PADANA,337,PROSTATECTOMIA TRANSURETRALE SENZA CC,4.253561,0
2012,327 - ATS DELLA VAL PADANA,348,IPERTROFIA PROSTATICA BENIGNA CON CC,7.923077,0
2012,327 - ATS DELLA VAL PADANA,368,INFEZIONI APP. RIPRODUTTIVO FEMMINILE,5.266667,0
2012,327 - ATS DELLA VAL PADANA,453,COMPLICAZIONI DI TRATTAMENTO SENZA CC,4.940299,1
2012,327 - ATS DELLA VAL PADANA,465,RICOVERI SUCC. CON ANAMNESI T.M. COME DIA. SECOND.,0,1
2012,327 - ATS DELLA VAL PADANA,473,"LEUCEMIA ACUTA SENZA INT. CHIR. MAGGIORI, ETA' >17",16.617021,1
2012,327 - ATS DELLA VAL PADANA,511,USTIONI NON ESTESE SENZA CC O TRAUMI RILEVANTI,5.375,6.363636
2012,327 - ATS DELLA VAL PADANA,520,ARTRODESI VERTEBRALE CERVICALE SENZA CC,3.955556,0
2012,327 - ATS DELLA VAL PADANA,545,REVISIONE DI SOSTITUZIONE DELL'ANCA O DEL GINOCCHIO,10.266667,0
2012,327 - ATS DELLA VAL PADANA,555,INT SISTEMA CARDIOVASC VIA PERCUTANEA CON DIAGNOSI CARDIOVASCOLARE MAGGIORE,8.572881,0
2012,327 - ATS DELLA VAL PADANA,559,ICTUS ISCHEMICO ACUTO CON USO DI AGENTI TROMBOLITICI,11.814815,0
2012,327 - ATS DELLA VAL PADANA,564,"CEFALEA, ETÃ > 17 ANNI",5.273973,0
2012,328 - ATS DI PAVIA,006,DECOMPRESSIONE TUNNEL CARPALE,1.125,0
2012,328 - ATS DI PAVIA,015,MAL. CEREBROVASCOLARI ACUTE ASPECIFICHE E OCCLUSIONE PRECEREBRALE SENZA INFARTO,9.248588,0
2012,328 - ATS DI PAVIA,029,"STUPORE E COMA TRAUMAT.,COMA <1 H,ETA'>17 SENZA CC",4.894737,0
2012,328 - ATS DI PAVIA,032,"COMMOZIONE CEREBRALE, ETA' > 17 SENZA CC",5.267606,0
2012,328 - ATS DI PAVIA,098,"BRONCHITE E ASMA, ETA' < 18",4.950355,0
2012,328 - ATS DI PAVIA,108,ALTRI INT. CARDIOTORACICI,18.25641,0
2012,328 - ATS DI PAVIA,156,"INT. ESOFAGO,STOMACO E DUODENO, ETA' < 18",7.142857,0
2012,328 - ATS DI PAVIA,161,"INT. ERNIA INGUINALE E FEMORALE, ETA' >17 CON CC",3.771186,0
2012,328 - ATS DI PAVIA,194,INT. SU VIE BILIARI ESCL. COLECISTECTOMIA SENZA CC,17.25,0
2012,328 - ATS DI PAVIA,199,PROC. DIAGNOST. EPATOBILIARI PER T.M.,19.75,0
2012,328 - ATS DI PAVIA,203,T.M. APPARATO EPATOBILIARE O PANCREAS,11.047401,5.6
2012,328 - ATS DI PAVIA,246,ARTROPATIE NON SPECIFICHE,24.1875,0
2012,328 - ATS DI PAVIA,299,DIFETTI CONGENITI DEL METABOLISMO,6.7,1
2012,328 - ATS DI PAVIA,308,INT. MINORI SU VESCICA CON CC,10,0
2012,328 - ATS DI PAVIA,322,"INFEZIONI RENE E VIE URINARIE, ETA' < 18",5.641791,0
2012,328 - ATS DI PAVIA,366,T.M. APP. RIPRODUTTIVO FEMMINILE CON CC,12.758621,1
2012,328 - ATS DI PAVIA,380,ABORTO SENZA D&C,1.724638,1
2012,328 - ATS DI PAVIA,390,NEONATI CON ALTRE AFFEZIONI SIGNIFICATIVE,4.608187,0
2012,328 - ATS DI PAVIA,423,ALTRE DIA. INFETTIVE E PARASSITARIE,11.301282,1
2012,328 - ATS DI PAVIA,430,PSICOSI,17.212,3.415385
2012,328 - ATS DI PAVIA,445,"TRAUMATISMI, ETA' > 17 SENZA CC",2.727273,0
2012,328 - ATS DI PAVIA,489,INFEZ. HIV CON PATOLOGIE CORRELATE MAGGIORI,17.350877,0
2012,328 - ATS DI PAVIA,493,COLECISTECTOMIA LAPAR. SNZ. ESP. DOTTO COM. CON CC,11.112245,0
2012,328 - ATS DI PAVIA,507,USTIONESPESS CON TRPPELLE/LESINAL SNZ CC/TRAUMRIL,3,0
2012,328 - ATS DI PAVIA,518,INT. S CARDVSC PERC. SNZ STENT ARTERCORON. O IMA,3.816393,0
2012,328 - ATS DI PAVIA,574,DIA EMATOLOGICHE/IMMUNOLOGICHE MAGG ECCETTO ANEMIA FALCIFORME E COAGULOPATIE,9.810241,4.940678
2012,REGIONE LOMBARDIA,010,NEOPLASIE SIST. NERVOSO CON CC,12.737075,1.022222
2012,REGIONE LOMBARDIA,011,NEOPLASIE SIST. NERVOSO SENZA CC,9.024441,1.27907
2012,REGIONE LOMBARDIA,105,INT. VALVOLE CARDIACHE SENZA CATETERISMO CARDIACO,14.466824,0
2012,REGIONE LOMBARDIA,196,COLECISTECTOMIA CON ESPLORAZ. DOTTO COM. SENZA CC,15.709091,0
2012,REGIONE LOMBARDIA,285,"AMPUTAZ. ARTO INF. PER MAL. ENDOCRINE, ETC.",11,0
2012,REGIONE LOMBARDIA,317,RICOVERO PER DIALISI RENALE,5.719424,1.695652
2012,REGIONE LOMBARDIA,354,INT. UTERO E ANNESSI PER T.M. NON OVAIO CON CC,13.903509,0
2012,REGIONE LOMBARDIA,397,DISTURBI DELLA COAGULAZIONE,7.464497,2.521739
2012,REGIONE LOMBARDIA,419,"FEBBRE DI ORIGINE SCONOSCIUTA, ETA' > 17 CON CC",8.89886,1
2012,REGIONE LOMBARDIA,488,INFEZ. HIV CON INTERVENTO CHIRURGICO ESTESO,27.338983,0
2012,REGIONE LOMBARDIA,528,INTERVENTI VASCOLARI INTRACRANICI CON DIAGNOSI PRINCIPALE DI EMORRAGIA,20.706422,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,016,MAL. CEREBROVASCOLARI ASPECIFICHE CON CC,14.658147,3
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,027,"STUPORE E COMA TRAUMAT.,COMA > 1 H",14.362963,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,029,"STUPORE E COMA TRAUMAT.,COMA <1 H,ETA'>17 SENZA CC",9.639871,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,090,"POLMONITE SEMPLICE E PLEURITE, ETA' > 17 SENZA CC",9.479541,1.2
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,102,ALTRE DIA. APP. RESPIRATORIO SENZA CC,6.051643,1.307692
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,141,SINCOPE E COLLASSO CON CC,8.986301,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,318,NEOPLASIE RENE E VIE URINARIE CON CC,13.589641,1.375
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,323,CALCOLOSI URINARIA CON CC E/O LITOTRIPSIA (ESWL),3.250454,1.299072
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,330,"STENOSI URETRALE, ETA' < 18",1.75,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,453,COMPLICAZIONI DI TRATTAMENTO SENZA CC,6.018182,1.191489
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,490,INFEZ. HIV CON O SENZA ALTRE PATOLOGIE CORRELATE,9.934272,8.575
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,497,ARTRODESI VERTEBR. ESCL. QUELLA CERVICALE CON CC,12.366379,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,509,USTIONESPESS SNZ TRPPELLE/LESINAL SNZ CC/TRAUMRIL,13.36,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,531,INTERVENTI SUL MIDOLLO SPINALE CON CC,21.20339,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,549,BYPASS CORONAR. SENZA CATETERISMO CARDIACO CON DIAGNOSI CARDIOVASCOLARE MAGGIORE,13.528986,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,557,INT SISTEMA CARDIOVASC VIA PERCUTANEA CON STENT MED CON DIA CARDIOVASC MAGG,8.899575,0
2013,322 - ATS DELL'INSUBRIA,026,"CONVULSIONI E CEFALEA, ETA' < 18",4.123016,1.134557
2013,322 - ATS DELL'INSUBRIA,033,"COMMOZIONE CEREBRALE, ETA' < 18",1.635135,0
2013,322 - ATS DELL'INSUBRIA,085,VERSAMENTO PLEURICO CON CC,11.927152,3.25
2013,322 - ATS DELL'INSUBRIA,156,"INT. ESOFAGO,STOMACO E DUODENO, ETA' < 18",4,0
2013,322 - ATS DELL'INSUBRIA,174,EMORRAGIA GASTROINTESTINALE CON CC,8.902622,0
2013,322 - ATS DELL'INSUBRIA,208,MAL. VIE BILIARI SENZA CC,6.9729,1
2013,322 - ATS DELL'INSUBRIA,242,ARTRITE SETTICA,11.902439,0
2013,322 - ATS DELL'INSUBRIA,277,"CELLULITE, ETA' > 17 CON CC",14.61194,0
2013,322 - ATS DELL'INSUBRIA,327,"SEGNI,SINTOMI RENE E VIE URINARIE,ETA'<18",3.947368,1
2013,323 - ATS DELLA MONTAGNA,062,"MIRINGOTOMIA CON INSERZIONE DI TUBO, ETA' < 18",1.666667,0
2013,323 - ATS DELLA MONTAGNA,067,EPIGLOTTIDITE,6,0
2013,323 - ATS DELLA MONTAGNA,081,"INFEZ. E INFIAMM. RESPIRATORIE, ETA' < 18",10.333333,0
2013,323 - ATS DELLA MONTAGNA,166,APPENDICECTOMIA CON DIA. PRINC. NON COMPL. CON CC,6.625,0
2013,323 - ATS DELLA MONTAGNA,190,"ALTRE DIA. APP. DIGERENTE, ET{  < 18",2.625,0
2013,323 - ATS DELLA MONTAGNA,248,"TENDINITE, MIOSITE E BORSITE",16.277108,1
2013,323 - ATS DELLA MONTAGNA,276,PATOLOGIE NON MALIGNE DELLA MAMMELLA,3.666667,0
2013,323 - ATS DELLA MONTAGNA,281,"TRAUMI PELLE,SOTTOCUT. E MAMMELLA,ETA'>17 SENZA CC",4.526316,1
2013,323 - ATS DELLA MONTAGNA,333,"ALTRE DIA. RENE E VIE URINARIE,ETA' <18",4.2,0
2013,323 - ATS DELLA MONTAGNA,372,PARTO VAGINALE CON CC,4.672727,0
2013,323 - ATS DELLA MONTAGNA,449,"AVVEL.,EFFETTI TOSSICI DA FARMACI,ETA' >17 CON CC",8.240741,0
2013,323 - ATS DELLA MONTAGNA,452,COMPLICAZIONI DI TRATTAMENTO CON CC,7,0
2013,323 - ATS DELLA MONTAGNA,454,"ALTRE DIA. TRAUMATISMI, AVVEL., ETC. CON CC",5.4,0
2013,323 - ATS DELLA MONTAGNA,466,RICOVERI SUCC. SENZA ANAMNESI T.M.COME DIA.SECOND.,4.75,8.166667
2013,323 - ATS DELLA MONTAGNA,524,ISCHEMIA CEREBRALE TRANSITORIA,7.549738,0
2013,324 - ATS DELLA BRIANZA,001,"CRANIOTOMIA, ETÃ > 17 ANNI CON CC",24.12,0
2013,324 - ATS DELLA BRIANZA,034,ALTRE MAL. SIST. NERVOSO CON CC,19.538745,4.236842
2013,324 - ATS DELLA BRIANZA,106,BYPASS CORONARICO CON PTCA,14.25,0
2013,324 - ATS DELLA BRIANZA,139,ARITMIA E ALTERAZIONI CONDUZIONE CARDIACA SENZA CC,3.54329,1.033784
2013,324 - ATS DELLA BRIANZA,178,ULCERA PEPTICA NON COMPLICATA SENZA CC,6.12,0
2013,324 - ATS DELLA BRIANZA,190,"ALTRE DIA. APP. DIGERENTE, ET{  < 18",3.525862,1.25
2013,324 - ATS DELLA BRIANZA,218,"INT.ARTO INF.,OMERO ESCL.ANCA ETC.,ETA'>17 CON CC",15.068966,0
2013,324 - ATS DELLA BRIANZA,264,TRAPIANTI PELLE E/O SBRIGL.PER ULCERE SENZA CC,4.660377,0
2013,324 - ATS DELLA BRIANZA,277,"CELLULITE, ETA' > 17 CON CC",13.8,0
2013,324 - ATS DELLA BRIANZA,353,"EVISC. PELVICA,ISTERECTOMIA E VULVECTOMIA RADICALE",8.591954,0
2013,324 - ATS DELLA BRIANZA,426,NEVROSI DEPRESSIVE,9.962963,5.2
2013,324 - ATS DELLA BRIANZA,482,"TRACHEOSTOMIA PER DIST. ORALI,LARINGEI O FARINGEI",21.741176,0
2013,324 - ATS DELLA BRIANZA,489,INFEZ. HIV CON PATOLOGIE CORRELATE MAGGIORI,15.884615,0
2013,324 - ATS DELLA BRIANZA,490,INFEZ. HIV CON O SENZA ALTRE PATOLOGIE CORRELATE,12.320513,0
2013,324 - ATS DELLA BRIANZA,498,ARTRODESI VERTEBR. ESCL. QUELLA CERVICALE SENZA CC,6.543011,0
2013,324 - ATS DELLA BRIANZA,525,IMPIANTO DI ALTRO SISTEMA DI ASSISTENZA CARDIACA,7,0
2013,324 - ATS DELLA BRIANZA,534,INTERVENTI VASCOLARI EXTRACRANICI SENZA CC,6.044164,0
2013,324 - ATS DELLA BRIANZA,560,INFEZIONI BATTERICHE E TUBERCOLOSI DEL SISTEMA NERVOSO,20.097561,28
2013,324 - ATS DELLA BRIANZA,563,"CONVULSIONI, ETÃ > 17 ANNI SENZA CC",6.766667,1.226667
2013,324 - ATS DELLA BRIANZA,572,MALATTIE GASTROINTESTINALI MAGGIORI E INFEZIONI PERITONEALI,9.515504,1
2013,325 - ATS DI BERGAMO,019,MAL. NERVI CRANICI E PERIFERICI SENZA CC,10.495455,11
2013,325 - ATS DI BERGAMO,028,"STUPORE E COMA TRAUMAT.,COMA <1 H,ETA'>17 CON CC",18.830508,0
2013,325 - ATS DI BERGAMO,033,"COMMOZIONE CEREBRALE, ETA' < 18",2.015152,0
2013,325 - ATS DI BERGAMO,043,IFEMA,5.5,0
2013,325 - ATS DI BERGAMO,050,SIALOADENECTOMIA,3.478261,0
2013,325 - ATS DI BERGAMO,070,"OTITE M.,INFEZ. VIE RESPIR. SUP.,ETA' < 18",4.183962,1
2013,325 - ATS DI BERGAMO,124,"MAL.CARDIOVASC. ESCL.IMA CON CATET.,DIA. COMPL.",8.435897,0
2013,325 - ATS DI BERGAMO,128,TROMBOFLEBITE VENE PROFONDE,8.706897,0
2013,325 - ATS DI BERGAMO,149,INT. MAGGIORI INTESTINO CRASSO E TENUE SENZA CC,9.418097,0
2013,325 - ATS DI BERGAMO,153,INT. MINORI SU INTESTINO CRASSO E TENUE SENZA CC,7.160714,0
2013,325 - ATS DI BERGAMO,197,COLECISTECTOMIA SENZA ESPLORAZ. DOTTO COM. CON CC,18.395349,0
2013,325 - ATS DI BERGAMO,211,"INT.ANCA,FEMORE ESCL.ARTICOL.MAGG.,ETA'>17SENZA CC",9.173585,0
2013,325 - ATS DI BERGAMO,242,ARTRITE SETTICA,16.428571,0
2013,325 - ATS DI BERGAMO,271,ULCERE DELLA PELLE,13.22449,1
2013,325 - ATS DI BERGAMO,357,INT. UTERO E ANNESSI PER T.M. DI OVAIO O ANNESSI,10.863636,0
2013,325 - ATS DI BERGAMO,380,ABORTO SENZA D&C,1.962264,1
