ANNO,ATS STRUTTURA,CODICE STRUTTURA DI RICOVERO,DESCRIZIONE STRUTTURA DI RICOVERO,CODICE DISCIPLINA,DESCRIZIONE DISCIPLINA,DEGENZA MEDIA TOTALE,ACCESSI MEDI TOTALE
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030074-00,OSPEDALE CIVILE G. FORNAROLI - MAGENTA,26,MEDICINA GENERALE,13.932557,0
2014,325 - ATS DI BERGAMO,030905-00,OSPEDALE PAPA GIOVANNI XXIII - BG,36,ORTOPEDIA E TRAUMATOLOGIA,5.865647,0
2015,322 - ATS DELL'INSUBRIA,030010-00,OSPEDALE GALMARINI - TRADATE,37,OSTETRICIA E GINECOLOGIA,3.441953,1
2015,326 - ATS DI BRESCIA,030154-01,PRESIDIO OSPEDALIERO DI CHIARI,43,UROLOGIA,4.19482,1
2015,322 - ATS DELL'INSUBRIA,030008-00,OSP. GENERALE PROVINCIALE - SARONNO,43,UROLOGIA,6.104364,1
2015,326 - ATS DI BRESCIA,030176-00,ISTITUTO CLINICO  S. ANNA - BRESCIA,37,OSTETRICIA E GINECOLOGIA,3.617444,1
2015,325 - ATS DI BERGAMO,030133-00,OSPEDALE PESENTI FENAROLI - ALZANO L.,39,PEDIATRIA,3.595491,0
2015,325 - ATS DI BERGAMO,030131-00,OSPEDALE DI TREVIGLIO E CARAVAGGIO,37,OSTETRICIA E GINECOLOGIA,3.683154,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030913-00,OSPEDALE CA' GRANDA-NIGUARDA - MILANO,38,OTORINOLARINGOIATRIA,4.37554,1
2015,328 - ATS DI PAVIA,030198-00,ISTITUTO CLINICO BEATO MATTEO,09,CHIRURGIA GENERALE,4.336323,1
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030943-00,IST. CLIN. HUMANITAS - ROZZANO,32,NEUROLOGIA,9.704518,0
2015,322 - ATS DELL'INSUBRIA,030004-00,OSPEDALE DI CIRCOLO - BUSTO ARSIZIO,09,CHIRURGIA GENERALE,8.121434,1
2015,328 - ATS DI PAVIA,030383-00,NUOVO OSPEDALE DI BRONI E STRADELLA ,26,MEDICINA GENERALE,12.680034,0
2014,322 - ATS DELL'INSUBRIA,030003-00,OSPEDALE F. DEL PONTE - VARESE,98,DAY SURGERY,0,1
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030066-00,OSPEDALE G.SALVINI-GARBAGNATE MIL.SE,09,CHIRURGIA GENERALE,7.67171,1
2015,326 - ATS DI BRESCIA,030295-00,FONDAZIONE POLIAMBULANZA - BRESCIA,64,ONCOLOGIA,4.45977,0
2015,327 - ATS DELLA VAL PADANA,030209-00,OSPEDALE MAGGIORE - CREMA,09,CHIRURGIA GENERALE,8.168559,1
2013,326 - ATS DI BRESCIA,030295-00,FONDAZIONE POLIAMBULANZA - BRESCIA,49,TERAPIA INTENSIVA,16.555556,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030913-00,OSPEDALE CA' GRANDA-NIGUARDA - MILANO,58,GASTROENTEROLOGIA,13.649916,7.533981
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030910-00,OSPEDALE FATEBENEFRATELLI E OFTALMICO - MILANO,29,NEFROLOGIA,10.588028,0
2015,322 - ATS DELL'INSUBRIA,030006-00,OSP. S. ANTONIO ABATE - GALLARATE,32,NEUROLOGIA,11.044693,2.5
2013,326 - ATS DI BRESCIA,030906-00,PRES.OSPEDAL.SPEDALI CIVILI BRESCIA,64,ONCOLOGIA,6.86674,7.428571
2015,326 - ATS DI BRESCIA,030154-01,PRESIDIO OSPEDALIERO DI CHIARI,09,CHIRURGIA GENERALE,8.015408,1
2015,326 - ATS DI BRESCIA,030156-00,OSPEDALE DI DESENZANO,08,CARDIOLOGIA,6.599143,1
2015,322 - ATS DELL'INSUBRIA,030004-00,OSPEDALE DI CIRCOLO - BUSTO ARSIZIO,14,CHIRURGIA VASCOLARE,6.812069,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030389-02,POLO CHIRURGICO CAPITANIO - MILANO,43,UROLOGIA,3.80226,0
2012,327 - ATS DELLA VAL PADANA,030380-00,OSPEDALE DI VIADANA,60,LUNGODEGENTI,31.299712,0
2013,326 - ATS DI BRESCIA,030177-00,CASA DI CURA VILLA GEMMA-GARDONE RIV,60,LUNGODEGENTI,17.104348,0
2012,325 - ATS DI BERGAMO,030148-00,POLICLINICO SAN PIETRO S.P.A.,60,LUNGODEGENTI,27.666667,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030097-00,ISTITUTO CLINICO CITTA' STUDI - MILANO,49,TERAPIA INTENSIVA,13.493671,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030056-00,PRESIDIO OSPED. V. BUZZI - MILANO,14,CHIRURGIA VASCOLARE,1.105769,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030948-00,IRCCS MULTIMEDICA - MILANO,08,CARDIOLOGIA,4.979226,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030074-00,OSPEDALE CIVILE G. FORNAROLI - MAGENTA,08,CARDIOLOGIA,8.395792,1
2013,322 - ATS DELL'INSUBRIA,030029-00,OSP.SACRA FAMIGLIA - F.B.F. - ERBA,49,TERAPIA INTENSIVA,7.734177,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030913-00,OSPEDALE CA' GRANDA-NIGUARDA - MILANO,32,NEUROLOGIA,8.374422,7.130952
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030910-00,OSPEDALE FATEBENEFRATELLI E OFTALMICO - MILANO,08,CARDIOLOGIA,7.456879,0
2015,325 - ATS DI BERGAMO,030140-00,OSPEDALE BOLOGNINI - SERIATE,50,UNITA' CORONARICA,7.044248,0
2015,322 - ATS DELL'INSUBRIA,030017-00,CASA DI CURA MATER DOMINI - CASTELLANZA,08,CARDIOLOGIA,4.881128,0
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030910-00,OSPEDALE FATEBENEFRATELLI E OFTALMICO - MILANO,50,UNITA' CORONARICA,5.442623,0
2014,324 - ATS DELLA BRIANZA,030381-00,FOND. MB PER IL BAMBINO E LA SUA MAMMA - MONZA,62,NEONATOLOGIA,12.853293,0
2015,326 - ATS DI BRESCIA,030157-00,OSPEDALE CIVILE LA MEMORIA DI GAVARDO,26,MEDICINA GENERALE,8.738471,0
2015,322 - ATS DELL'INSUBRIA,030902-00,OSPEDALE S. ANNA - COMO,26,MEDICINA GENERALE,8.07584,4.519231
2015,328 - ATS DI PAVIA,030191-00,OSPEDALE S.MARTINO - MEDE,26,MEDICINA GENERALE,8.877919,0
2014,326 - ATS DI BRESCIA,030178-00,IST.CLIN. CITTA' DI BRESCIA - BRESCIA,26,MEDICINA GENERALE,10.120863,0
2015,322 - ATS DELL'INSUBRIA,030030-00,OSPEDALE  VALDUCE ,09,CHIRURGIA GENERALE,5.51016,1
2015,325 - ATS DI BERGAMO,030147-00,POLICLINICO SAN MARCO - OSIO SOTTO,09,CHIRURGIA GENERALE,5.530697,1
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030915-00,OSPEDALE S. CARLO BORROMEO - MILANO,32,NEUROLOGIA,11.298928,0
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030914-00,OSPEDALE S. PAOLO - MILANO,32,NEUROLOGIA,10.851145,0
2015,324 - ATS DELLA BRIANZA,030909-00,OSPEDALE S.GERARDO - MONZA,58,GASTROENTEROLOGIA,10.349112,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030083-00,OSPEDALE DELMATI - SANT'ANGELO LODIGIANO,24,MALATTIE INFETTIVE E TROPICALI,10.921136,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030947-00,I.R.C.C.S. POLICLINICO SAN DONATO,26,MEDICINA GENERALE,10.484312,0
2016,324 - ATS DELLA BRIANZA,030909-00,OSPEDALE S.GERARDO - MONZA,24,MALATTIE INFETTIVE E TROPICALI,16.845238,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030071-00,OSPEDALE S. MARIA DELLE STELLE MELZO,09,CHIRURGIA GENERALE,7.186846,1
2016,323 - ATS DELLA MONTAGNA,030904-00,OSPEDALE MORELLI - SONDALO,26,MEDICINA GENERALE,11.849085,0
2016,326 - ATS DI BRESCIA,030159-00,PRESIDIO OSPEDALIERO DI MONTICHIARI,29,NEFROLOGIA,9.969231,0
2015,323 - ATS DELLA MONTAGNA,030904-00,OSPEDALE MORELLI - SONDALO,13,CHIRURGIA TORACICA,7.306723,1
2016,326 - ATS DI BRESCIA,030176-00,ISTITUTO CLINICO  S. ANNA - BRESCIA,37,OSTETRICIA E GINECOLOGIA,3.530631,1
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030056-00,PRESIDIO OSPED. V. BUZZI - MILANO,49,TERAPIA INTENSIVA,5.588235,0
2015,327 - ATS DELLA VAL PADANA,030933-00,FOND.S.MAUGERI-CENTRO MEDICO-CASTEL G.,56,RECUPERO E RIABILITAZIONE FUNZIONALE,31.578313,24.763158
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030367-00,OSPEDALE S. GIUSEPPE - MILANO,37,OSTETRICIA E GINECOLOGIA,3.486829,1
2016,326 - ATS DI BRESCIA,030157-00,OSPEDALE CIVILE LA MEMORIA DI GAVARDO,36,ORTOPEDIA E TRAUMATOLOGIA,5.581395,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030125-00,CASA DI CURA AMBROSIANA SPA-CESANO B.,43,UROLOGIA,3.636364,1
2016,328 - ATS DI PAVIA,030924-00,POLICLINICO S. MATTEO - PAVIA,26,MEDICINA GENERALE,12.371032,0
2016,322 - ATS DELL'INSUBRIA,030008-00,OSP. GENERALE PROVINCIALE - SARONNO,50,UNITA' CORONARICA,5.571429,0
2016,323 - ATS DELLA MONTAGNA,030274-02,OSPEDALE VALCAMONICA - EDOLO,36,ORTOPEDIA E TRAUMATOLOGIA,4.518382,1
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030125-00,CASA DI CURA AMBROSIANA SPA-CESANO B.,56,RECUPERO E RIABILITAZIONE FUNZIONALE,22.466931,0
2016,324 - ATS DELLA BRIANZA,030034-00,CASA DI CURA G.B. MANGIONI - LECCO,38,OTORINOLARINGOIATRIA,2.002967,1
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030083-00,OSPEDALE DELMATI - SANT'ANGELO LODIGIANO,56,RECUPERO E RIABILITAZIONE FUNZIONALE,20.377315,0
2016,325 - ATS DI BERGAMO,030148-00,POLICLINICO SAN PIETRO  - PONTE S. PIETRO,09,CHIRURGIA GENERALE,5.810467,1
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030915-00,OSPEDALE S. CARLO BORROMEO - MILANO,26,MEDICINA GENERALE,11.914669,0
2016,324 - ATS DELLA BRIANZA,030078-00,PRESIDIO OSPEDALIERO DI VIMERCATE,26,MEDICINA GENERALE,10.214112,3.731959
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030947-00,I.R.C.C.S. POLICLINICO SAN DONATO,32,NEUROLOGIA,10.026365,0
2015,322 - ATS DELL'INSUBRIA,030901-01,OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,40,PSICHIATRIA,10.409794,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030066-00,OSPEDALE G.SALVINI-GARBAGNATE MIL.SE,37,OSTETRICIA E GINECOLOGIA,4.428311,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030105-00,CASA DI CURA S. CAMILLO - MILANO,56,RECUPERO E RIABILITAZIONE FUNZIONALE,32.368421,0
2013,326 - ATS DI BRESCIA,030159-00,PRESIDIO OSPEDALIERO DI MONTICHIARI,36,ORTOPEDIA E TRAUMATOLOGIA,5.654281,1
2013,322 - ATS DELL'INSUBRIA,030901-00,OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,68,PNEUMOLOGIA,15.097074,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030074-00,OSPEDALE CIVILE G. FORNAROLI - MAGENTA,40,PSICHIATRIA,14.349254,19.777778
2013,322 - ATS DELL'INSUBRIA,030006-00,OSP. S. ANTONIO ABATE - GALLARATE,50,UNITA' CORONARICA,5.958333,0
