ANNO,CODICE ATS RESIDENZA,DESCRIZIONE ATS RESIDENZA,COORDINATA GEOGRAFICA X,COORDINATA GEOGRAFICA Y,CODICE DISCIPLINA,DESCRIZIONE DISCIPLINA,TASSO RICOVERI STESSA ATS,TASSO RICOVERI ALTRA ATS,POSIZIONE
2016,326,ATS DI BRESCIA,10.25368782,45.65171815,36,ORTOPEDIA E TRAUMATOLOGIA,14.6792996775849,0.882752123719386,"(45.65171815, 10.25368782)"
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,29,NEFROLOGIA,1.17556715714831,0.145639321780674,"(45.80802245, 8.837196022)"
2014,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,09,CHIRURGIA GENERALE,12.6830787754683,2.80061376044206,"(45.80802245, 8.837196022)"
2016,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,24,MALATTIE INFETTIVE E TROPICALI,0.57148751230092,0.176324805624552,"(45.80802245, 8.837196022)"
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,73,TERAPIA INTENSIVA NEONATALE,0,0.044249092893596,"(46.33431031, 10.32968894)"
2017,325,ATS DI BERGAMO,9.63853045,45.68701679,62,NEONATOLOGIA,0.638777295566489,0.118025142058124,"(45.68701679, 9.63853045)"
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,68,PNEUMOLOGIA,1.37545359575801,0.233247526516003,"(45.80802245, 8.837196022)"
2017,325,ATS DI BERGAMO,9.63853045,45.68701679,01,ALLERGOLOGIA,0,0.008108597545978,"(45.68701679, 9.63853045)"
2016,325,ATS DI BERGAMO,9.63853045,45.68701679,29,NEFROLOGIA,0.974467155945423,0.037895944953433,"(45.68701679, 9.63853045)"
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,58,GASTROENTEROLOGIA,0,0.119420013935199,"(45.65171815, 10.25368782)"
2017,328,ATS DI PAVIA,9.14034225,45.20086141,08,CARDIOLOGIA,6.61488055755037,1.29373907037173,"(45.20086141, 9.14034225)"
2013,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,66,ONCOEMATOLOGIA,0.052107301050841,0,"(45.44410928, 9.198811423)"
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,02,DAY HOSPITAL,0,0.25979243165716,"(45.69919245, 9.298423314)"
2013,328,ATS DI PAVIA,9.14034225,45.20086141,73,TERAPIA INTENSIVA NEONATALE,0.014826648677,0.0074133243385,"(45.20086141, 9.14034225)"
2017,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,58,GASTROENTEROLOGIA,0.984365791163976,0.182522177837906,"(45.80802245, 8.837196022)"
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,10,CHIRURGIA MAXILLO-FACCIALE,0.238985690619045,0.156017073498471,"(45.68701679, 9.63853045)"
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,49,TERAPIA INTENSIVA,0.465634358337594,0.272242548190251,"(45.69919245, 9.298423314)"
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,33,NEUROPSICHIATRIA INFANTILE,0.349871289774004,0.154791540324256,"(45.80802245, 8.837196022)"
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,32,NEUROLOGIA,2.92851321234164,0.363300854411473,"(45.44410928, 9.198811423)"
2014,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,61,MEDICINA NUCLEARE,0.05377737145986,0.035618778499388,"(45.80802245, 8.837196022)"
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,40,PSICHIATRIA,2.18358648043789,0.139619223472784,"(45.44410928, 9.198811423)"
2012,325,ATS DI BERGAMO,9.63853045,45.68701679,48,NEFROLOGIA (ABILITAZIONE TRAPIANTO RENE),0.567674741694192,0.038642364912733,"(45.68701679, 9.63853045)"
2013,326,ATS DI BRESCIA,10.25368782,45.65171815,52,DERMATOLOGIA,0.543669393158492,0.012217289733899,"(45.65171815, 10.25368782)"
2016,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,98,DAY SURGERY,4.29382263815362,1.21266862366293,"(45.80802245, 8.837196022)"
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,48,NEFROLOGIA (ABILITAZIONE TRAPIANTO RENE),0,0.06644020452274,"(45.80802245, 8.837196022)"
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,21,GERIATRIA,2.04560469913459,0.003436547163603,"(45.65171815, 10.25368782)"
2013,324,ATS DELLA BRIANZA,9.298423314,45.69919245,32,NEUROLOGIA,3.15614464275352,0.846852559353264,"(45.69919245, 9.298423314)"
2016,324,ATS DELLA BRIANZA,9.298423314,45.69919245,51,ASTANTERIA,0,0.020741207802013,"(45.69919245, 9.298423314)"
2017,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,14,CHIRURGIA VASCOLARE,1.23682429698402,0.267437148644294,"(45.44410928, 9.198811423)"
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,07,CARDIOCHIRURGIA,0.603628506809603,0.367876600716582,"(45.1439181, 10.02604335)"
2013,325,ATS DI BERGAMO,9.63853045,45.68701679,18,EMATOLOGIA,0.344587418263316,0.032904899356709,"(45.68701679, 9.63853045)"
2014,328,ATS DI PAVIA,9.14034225,45.20086141,29,NEFROLOGIA,0.68937092167798,0.156841003344726,"(45.20086141, 9.14034225)"
2017,328,ATS DI PAVIA,9.14034225,45.20086141,40,PSICHIATRIA,1.9643637014825,0.131566685122549,"(45.20086141, 9.14034225)"
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,40,PSICHIATRIA,1.891190909933,0.082337563425654,"(45.1439181, 10.02604335)"
2012,326,ATS DI BRESCIA,10.25368782,45.65171815,18,EMATOLOGIA,0.857574848693012,0.043978197368872,"(45.65171815, 10.25368782)"
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,98,DAY SURGERY,0,1.22675448060989,"(46.33431031, 10.32968894)"
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,28,UNITA' SPINALE,0.004295683954504,0.005154820745404,"(45.65171815, 10.25368782)"
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,62,NEONATOLOGIA,0.793748400840822,0.24879736161707,"(45.80802245, 8.837196022)"
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,73,TERAPIA INTENSIVA NEONATALE,0.030035206485515,0.053541020256788,"(45.1439181, 10.02604335)"
2012,328,ATS DI PAVIA,9.14034225,45.20086141,32,NEUROLOGIA,4.00996143119033,0.384567995728682,"(45.20086141, 9.14034225)"
2014,324,ATS DELLA BRIANZA,9.298423314,45.69919245,RM,RIABILITAZIONE DI MANTENIMENTO,0.000830911227106,0.017449135769233,"(45.69919245, 9.298423314)"
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,51,ASTANTERIA,0.295061786405036,0.001751108524659,"(45.44410928, 9.198811423)"
2013,328,ATS DI PAVIA,9.14034225,45.20086141,26,MEDICINA GENERALE,19.6860827808862,0.995238792443598,"(45.20086141, 9.14034225)"
2015,328,ATS DI PAVIA,9.14034225,45.20086141,11,CHIRURGIA PEDIATRICA,1.58367989619516,0.118457069335656,"(45.20086141, 9.14034225)"
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,35,ODONTOIATRIA E STOMATOLOGIA,0.103194360216171,0.079869607564571,"(45.80802245, 8.837196022)"
2013,326,ATS DI BRESCIA,10.25368782,45.65171815,09,CHIRURGIA GENERALE,18.930690442676,0.890989487022184,"(45.65171815, 10.25368782)"
2017,325,ATS DI BERGAMO,9.63853045,45.68701679,73,TERAPIA INTENSIVA NEONATALE,0.038741077164117,0.018920060940615,"(45.68701679, 9.63853045)"
2015,328,ATS DI PAVIA,9.14034225,45.20086141,02,DAY HOSPITAL,0.703452750208667,0.25513830318449,"(45.20086141, 9.14034225)"
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,14,CHIRURGIA VASCOLARE,1.04465783596299,0.383384279700703,"(45.1439181, 10.02604335)"
2017,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,62,NEONATOLOGIA,0.879171711570373,0.176948981568047,"(45.80802245, 8.837196022)"
2012,325,ATS DI BERGAMO,9.63853045,45.68701679,08,CARDIOLOGIA,7.05131154026626,0.744325552723827,"(45.68701679, 9.63853045)"
2012,328,ATS DI PAVIA,9.14034225,45.20086141,40,PSICHIATRIA,2.16739535456796,0.252022715647437,"(45.20086141, 9.14034225)"
2013,326,ATS DI BRESCIA,10.25368782,45.65171815,51,ASTANTERIA,0,0.006981308419371,"(45.65171815, 10.25368782)"
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,52,DERMATOLOGIA,0.330080590554465,0.059372097658619,"(45.80802245, 8.837196022)"
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,60,LUNGODEGENTI,1.19171293189879,0.049222925447993,"(45.1439181, 10.02604335)"
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,43,UROLOGIA,4.81216243039667,1.00813823507903,"(45.1439181, 10.02604335)"
2014,326,ATS DI BRESCIA,10.25368782,45.65171815,18,EMATOLOGIA,0.624589171088327,0.019814553013837,"(45.65171815, 10.25368782)"
2014,324,ATS DELLA BRIANZA,9.298423314,45.69919245,71,REUMATOLOGIA,0,0.092231146208801,"(45.69919245, 9.298423314)"
2016,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,61,MEDICINA NUCLEARE,0.049482455333372,0.036240671511766,"(45.80802245, 8.837196022)"
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,66,ONCOEMATOLOGIA,0,0.019316728673366,"(45.1439181, 10.02604335)"
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,64,ONCOLOGIA,2.78659736557397,0.170441229733473,"(45.44410928, 9.198811423)"
2016,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,32,NEUROLOGIA,2.92508069188116,0.43837416204585,"(45.1439181, 10.02604335)"
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,36,ORTOPEDIA E TRAUMATOLOGIA,10.6063455250154,2.75148608978176,"(45.1439181, 10.02604335)"
2012,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,10,CHIRURGIA MAXILLO-FACCIALE,0,0.46672711327794,"(46.33431031, 10.32968894)"
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,19,"MALATTIE ENDOCRINE,DEL RICAMBIO E DELLA NUTRIZIONE",0.31566800366816,0.017420971504865,"(45.80802245, 8.837196022)"
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,65,ONCOEMATOLOGIA PEDIATRICA,0,0.034058461502586,"(45.44410928, 9.198811423)"
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,60,LUNGODEGENTI,1.27751875752617,0.051460977141034,"(45.1439181, 10.02604335)"
