ANNO,CODICE ATS RESIDENZA,DESCRIZIONE ATS RESIDENZA,COORDINATA GEOGRAFICA X,COORDINATA GEOGRAFICA Y,POSIZIONE ATS,CODICE MDC,DESCRIZIONE MDC,TASSO RICOVERI STESSA ATS,TASSO RICOVERI ALTRA ATS
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),21,"TRAUMATISMI, AVVELENAMENTI ED EFFETTI TOSSICI DEI FARMACI",0.00,1.08
2019,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),08,MALATTIE E DISTURBI APPARATO OSTEOMUSCOLARE E TESSUTO CONNETTIVO,9.12,7.29
2012,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),22,USTIONI,0.00,0.05
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),22,USTIONI,0.05,0.00
2017,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),25,INFEZIONI DA HIV,0.09,0.03
2013,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),06,MALATTIE E DISTURBI APPARATO DIGERENTE,0.00,12.05
2018,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),13,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO FEMMINILE,3.67,2.20
2012,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),23,FATTORI INFLUENZANTI LO STATO DI SALUTE ED IL RICORSO AI SERVIZI SANITARI,0.00,3.23
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),14,"GRAVIDANZA, PARTO E PUERPERIO",10.73,1.01
2018,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,0.23,0.08
2018,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),03,"MALATTIE E DISTURBI ORECCHIO, NASO E GOLA",4.15,1.66
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),24,TRAUMATISMI MULTIPLI,0.00,0.12
2013,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),13,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO FEMMINILE,0.00,6.30
2012,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),25,INFEZIONI DA HIV,0.00,0.25
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),19,MALATTIE E DISTURBI MENTALI,2.48,0.57
2018,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),16,MALATTIE E DISTURBI SANGUE ED ORGANI EMATOPOIETICI E SISTEMA IMMUNITARIO,0.95,0.11
2014,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),19,MALATTIE E DISTURBI MENTALI,0.00,2.96
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),16,MALATTIE E DISTURBI SANGUE ED ORGANI EMATOPOIETICI E SISTEMA IMMUNITARIO,0.00,1.21
2018,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),12,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO MASCHILE,3.10,0.98
2019,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),01,MALATTIE E DISTURBI SISTEMA NERVOSO,6.46,1.26
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),16,MALATTIE E DISTURBI SANGUE ED ORGANI EMATOPOIETICI E SISTEMA IMMUNITARIO,0.00,1.47
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),15,MALATTIE E DISTURBI PERIODO PERINATALE,0.00,1.48
2019,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),24,TRAUMATISMI MULTIPLI,0.07,0.03
2018,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),05,MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO,13.87,2.30
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),15,MALATTIE E DISTURBI PERIODO PERINATALE,0.00,1.84
2013,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),19,MALATTIE E DISTURBI MENTALI,0.00,3.37
2017,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),17,MALATTIE E DISTURBI MIELOPROLIFERATIVI E NEOPLASIE SCARSAMENTE DIFFERENZIATE,2.48,0.88
2019,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),02,MALATTIE E DISTURBI OCCHIO,2.16,0.27
2014,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),,PREMDC (DRG SENZA SPECIFICA MDC),0.00,0.08
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),PR,PREMDC (DRG SENZA SPECIFICA MDC),0.00,0.39
2017,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),15,MALATTIE E DISTURBI PERIODO PERINATALE,1.43,0.33
2013,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),09,"MALATTIE E DISTURBI PELLE, TESSUTO SOTTOCUTANEO E MAMMELLA",0.00,5.60
2018,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),02,MALATTIE E DISTURBI OCCHIO,1.03,0.80
2016,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),10,"MALATTIE E DISTURBI ENDOCRINI, METABOLICI E NUTRIZIONALI",1.83,0.48
2012,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),,PREMDC (DRG SENZA SPECIFICA MDC),0.00,0.06
2013,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,0.00,0.64
2013,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),23,FATTORI INFLUENZANTI LO STATO DI SALUTE ED IL RICORSO AI SERVIZI SANITARI,0.00,3.69
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),PR,PREMDC (DRG SENZA SPECIFICA MDC),0.00,0.47
2017,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),25,INFEZIONI DA HIV,0.05,0.01
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),12,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO MASCHILE,2.35,0.42
2013,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),05,MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO,0.00,19.23
2014,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),15,MALATTIE E DISTURBI PERIODO PERINATALE,0.00,1.30
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),01,MALATTIE E DISTURBI SISTEMA NERVOSO,0.00,9.32
2019,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,0.25,0.03
2018,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),21,"TRAUMATISMI, AVVELENAMENTI ED EFFETTI TOSSICI DEI FARMACI",0.96,0.16
2018,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),01,MALATTIE E DISTURBI SISTEMA NERVOSO,5.75,2.56
2016,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),18,MALATTIE INFETTIVE E PARASSITARIE,2.06,0.21
2014,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),06,MALATTIE E DISTURBI APPARATO DIGERENTE,0.00,11.59
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),17,MALATTIE E DISTURBI MIELOPROLIFERATIVI E NEOPLASIE SCARSAMENTE DIFFERENZIATE,0.00,3.59
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),08,MALATTIE E DISTURBI APPARATO OSTEOMUSCOLARE E TESSUTO CONNETTIVO,16.00,3.64
2019,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),21,"TRAUMATISMI, AVVELENAMENTI ED EFFETTI TOSSICI DEI FARMACI",0.62,0.18
2016,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),01,MALATTIE E DISTURBI SISTEMA NERVOSO,5.79,2.32
2013,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),,PREMDC (DRG SENZA SPECIFICA MDC),0.00,0.07
2018,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),03,"MALATTIE E DISTURBI ORECCHIO, NASO E GOLA",2.98,1.77
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),12,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO MASCHILE,0.00,3.21
2016,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),25,INFEZIONI DA HIV,0.09,0.03
2018,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),11,MALATTIE E DISTURBI RENE E VIE URINARIE,6.36,0.81
2014,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),02,MALATTIE E DISTURBI OCCHIO,0.00,2.04
2012,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),05,MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO,0.00,19.61
2017,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),15,MALATTIE E DISTURBI PERIODO PERINATALE,1.15,0.06
2014,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),03,"MALATTIE E DISTURBI ORECCHIO, NASO E GOLA",0.00,5.28
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),01,MALATTIE E DISTURBI SISTEMA NERVOSO,0.00,9.54
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),06,MALATTIE E DISTURBI APPARATO DIGERENTE,0.00,12.94
2013,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),14,"GRAVIDANZA, PARTO E PUERPERIO",0.00,11.45
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),02,MALATTIE E DISTURBI OCCHIO,0.00,1.69
2019,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),25,INFEZIONI DA HIV,0.03,0.01
2016,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),08,MALATTIE E DISTURBI APPARATO OSTEOMUSCOLARE E TESSUTO CONNETTIVO,9.49,7.27
2019,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),#,DATO ERRATO,0.00,0.00
2018,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),17,MALATTIE E DISTURBI MIELOPROLIFERATIVI E NEOPLASIE SCARSAMENTE DIFFERENZIATE,1.06,1.23
2019,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),PR,PREMDC (DRG SENZA SPECIFICA MDC),0.47,0.12
2012,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),03,"MALATTIE E DISTURBI ORECCHIO, NASO E GOLA",0.00,6.58
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),13,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO FEMMINILE,0.00,5.89
2016,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),12,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO MASCHILE,2.81,0.19
2012,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),14,"GRAVIDANZA, PARTO E PUERPERIO",0.00,14.19
2019,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),09,"MALATTIE E DISTURBI PELLE, TESSUTO SOTTOCUTANEO E MAMMELLA",4.13,1.11
2018,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),NA,MDC NON APPLICABILE,0.09,0.01
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),15,MALATTIE E DISTURBI PERIODO PERINATALE,0.00,1.04
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),04,MALATTIE E DISTURBI APPARATO RESPIRATORIO,0.00,10.78
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),PR,PREMDC (DRG SENZA SPECIFICA MDC),0.00,0.48
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),23,FATTORI INFLUENZANTI LO STATO DI SALUTE ED IL RICORSO AI SERVIZI SANITARI,0.00,2.85
2014,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),09,"MALATTIE E DISTURBI PELLE, TESSUTO SOTTOCUTANEO E MAMMELLA",0.00,4.63
2016,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),01,MALATTIE E DISTURBI SISTEMA NERVOSO,8.39,0.86
2016,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),04,MALATTIE E DISTURBI APPARATO RESPIRATORIO,7.37,1.84
2018,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),16,MALATTIE E DISTURBI SANGUE ED ORGANI EMATOPOIETICI E SISTEMA IMMUNITARIO,0.67,0.23
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),16,MALATTIE E DISTURBI SANGUE ED ORGANI EMATOPOIETICI E SISTEMA IMMUNITARIO,0.00,1.64
2019,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),14,"GRAVIDANZA, PARTO E PUERPERIO",7.67,2.62
2012,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),11,MALATTIE E DISTURBI RENE E VIE URINARIE,0.00,6.44
2013,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),07,MALATTIE E DISTURBI EPATOBILIARI E PANCREAS,0.00,4.65
2018,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),08,MALATTIE E DISTURBI APPARATO OSTEOMUSCOLARE E TESSUTO CONNETTIVO,15.62,2.74
2015,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),22,USTIONI,0.00,0.11
2019,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),14,"GRAVIDANZA, PARTO E PUERPERIO",7.86,1.28
2012,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),09,"MALATTIE E DISTURBI PELLE, TESSUTO SOTTOCUTANEO E MAMMELLA",0.00,5.62
2013,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),06,MALATTIE E DISTURBI APPARATO DIGERENTE,0.00,12.45
2019,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),19,MALATTIE E DISTURBI MENTALI,2.60,0.55
2019,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),06,MALATTIE E DISTURBI APPARATO DIGERENTE,9.68,0.98
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),07,MALATTIE E DISTURBI EPATOBILIARI E PANCREAS,3.70,0.63
2019,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),13,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO FEMMINILE,4.31,1.88
2016,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),10,"MALATTIE E DISTURBI ENDOCRINI, METABOLICI E NUTRIZIONALI",1.81,0.19
2012,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),PR,PREMDC (DRG SENZA SPECIFICA MDC),0.00,0.46
2013,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),17,MALATTIE E DISTURBI MIELOPROLIFERATIVI E NEOPLASIE SCARSAMENTE DIFFERENZIATE,0.00,3.60
2019,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),02,MALATTIE E DISTURBI OCCHIO,0.96,0.58
2013,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),12,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO MASCHILE,0.00,4.20
2012,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),07,MALATTIE E DISTURBI EPATOBILIARI E PANCREAS,0.00,4.70
2018,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),24,TRAUMATISMI MULTIPLI,0.09,0.03
2014,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),12,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO MASCHILE,0.00,3.58
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),25,INFEZIONI DA HIV,0.00,0.13
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),09,"MALATTIE E DISTURBI PELLE, TESSUTO SOTTOCUTANEO E MAMMELLA",0.00,5.29
2018,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),06,MALATTIE E DISTURBI APPARATO DIGERENTE,9.13,1.80
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),09,"MALATTIE E DISTURBI PELLE, TESSUTO SOTTOCUTANEO E MAMMELLA",0.00,5.52
2018,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),02,MALATTIE E DISTURBI OCCHIO,1.14,1.09
2013,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),12,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO MASCHILE,0.00,3.17
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),16,MALATTIE E DISTURBI SANGUE ED ORGANI EMATOPOIETICI E SISTEMA IMMUNITARIO,0.00,0.93
2016,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),12,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO MASCHILE,1.63,0.58
2013,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),PR,PREMDC (DRG SENZA SPECIFICA MDC),0.00,0.45
2013,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),02,MALATTIE E DISTURBI OCCHIO,0.00,1.65
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),02,MALATTIE E DISTURBI OCCHIO,0.00,2.20
2017,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),22,USTIONI,0.01,0.00
2012,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),25,INFEZIONI DA HIV,0.00,0.25
2016,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),PR,PREMDC (DRG SENZA SPECIFICA MDC),0.29,0.19
2018,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),24,TRAUMATISMI MULTIPLI,0.04,0.04
2019,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),13,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO FEMMINILE,5.42,0.60
2014,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),09,"MALATTIE E DISTURBI PELLE, TESSUTO SOTTOCUTANEO E MAMMELLA",0.00,5.52
2019,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),04,MALATTIE E DISTURBI APPARATO RESPIRATORIO,6.99,1.91
2019,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),03,"MALATTIE E DISTURBI ORECCHIO, NASO E GOLA",3.97,0.86
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),16,MALATTIE E DISTURBI SANGUE ED ORGANI EMATOPOIETICI E SISTEMA IMMUNITARIO,0.00,1.24
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),08,MALATTIE E DISTURBI APPARATO OSTEOMUSCOLARE E TESSUTO CONNETTIVO,0.00,19.56
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),06,MALATTIE E DISTURBI APPARATO DIGERENTE,0.00,11.42
2013,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),11,MALATTIE E DISTURBI RENE E VIE URINARIE,0.00,6.76
2018,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),08,MALATTIE E DISTURBI APPARATO OSTEOMUSCOLARE E TESSUTO CONNETTIVO,15.94,3.61
2012,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),19,MALATTIE E DISTURBI MENTALI,0.00,2.78
2012,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),03,"MALATTIE E DISTURBI ORECCHIO, NASO E GOLA",0.00,6.70
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),22,USTIONI,0.00,0.05
2018,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),08,MALATTIE E DISTURBI APPARATO OSTEOMUSCOLARE E TESSUTO CONNETTIVO,11.83,5.24
