ANNO,CODICE_ATS_EROGAZIONE,DESCRIZIONE_ATS_EROGAZIONE,ATC_LIVELLO_1,DESCRIZIONE_ATC_LIVELLO_1,ATC_LIVELLO_2,DESCRIZIONE_ATC_LIVELLO_2,CONF_PER_ PRIMI_10_ATC_LIVELLO2
2013,30,REGIONE LOMBARDIA,V,VARI,V03,TUTTI GLI ALTRI PRODOTTI TERAPEUTICI,328837
2014,322,ATS DELL'INSUBRIA,N,SISTEMA NERVOSO,N04,ANTIPARKINSONIANI,176290
2014,322,ATS DELL'INSUBRIA,N,SISTEMA NERVOSO,N07,ALTRI FARMACI DEL SISTEMA NERVOSO,18027
2015,324,ATS DELLA BRIANZA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A10,FARMACI USATI NEL DIABETE,902782
2016,322,ATS DELL'INSUBRIA,C,SISTEMA CARDIOVASCOLARE,C09,SOSTANZE AD AZIONE SUL SISTEMA RENINA-ANGIOTENSINA,3418676
2016,322,ATS DELL'INSUBRIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G02,ALTRI GINECOLOGICI,8032
2016,326,ATS DI BRESCIA,S,ORGANI DI SENSO,S01,OFTALMOLOGICI,233139
2016,327,ATS DELLA VAL PADANA,B,SANGUE E ORGANI EMOPOIETICI,B02,ANTIEMORRAGICI,9180
2017,327,ATS DELLA VAL PADANA,C,SISTEMA CARDIOVASCOLARE,C07,BETABLOCCANTI,940033
2013,326,ATS DI BRESCIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A02,FARMACI PER I DISTURBI CORRELATI ALLA SECREZIONE ACIDA,2180778
2014,323,ATS DELLA MONTAGNA,R,SISTEMA RESPIRATORIO,R06,ANTISTAMINICI PER USO SISTEMICO,47350
2016,322,ATS DELL'INSUBRIA,C,SISTEMA CARDIOVASCOLARE,C01,TERAPIA CARDIACA,517056
2012,324,ATS DELLA BRIANZA,B,SANGUE E ORGANI EMOPOIETICI,B03,FARMACI ANTIANEMICI,164924
2013,326,ATS DI BRESCIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A11,VITAMINE,266161
2015,323,ATS DELLA MONTAGNA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H02,CORTICOSTEROIDI SISTEMICI,95092
2015,324,ATS DELLA BRIANZA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A05,TERAPIA BILIARE ED EPATICA,69217
2015,324,ATS DELLA BRIANZA,J,ANTINFETTIVI PER USO SISTEMICO,J04,ANTIMICOBATTERICI,5429
2015,328,ATS DI PAVIA,J,ANTINFETTIVI PER USO SISTEMICO,J01,ANTIBATTERICI PER USO SISTEMICO,586030
2016,324,ATS DELLA BRIANZA,N,SISTEMA NERVOSO,N03,ANTIEPILETTICI,447415
2017,327,ATS DELLA VAL PADANA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H05,CALCIO-OMEOSTATICI,3574
2013,326,ATS DI BRESCIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A16,ALTRI FARMACI DELL'APPARATO GASTROINTESTINALE E DEL METABOLI,752
2014,323,ATS DELLA MONTAGNA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L03,IMMUNOSTIMOLANTI,655
2015,323,ATS DELLA MONTAGNA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H01,ORMONI IPOFISARI ED IPOTALAMICI ED ANALOGHI,1762
2015,324,ATS DELLA BRIANZA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A04,ANTIEMETICI E ANTINAUSEA,6185
2015,324,ATS DELLA BRIANZA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A16,ALTRI FARMACI DELL'APPARATO GASTROINTESTINALE E DEL METABOLI,787
2016,322,ATS DELL'INSUBRIA,C,SISTEMA CARDIOVASCOLARE,C08,CALCIOANTAGONISTI,1081522
2016,324,ATS DELLA BRIANZA,N,SISTEMA NERVOSO,N06,PSICOANALETTICI,628193
2017,327,ATS DELLA VAL PADANA,C,SISTEMA CARDIOVASCOLARE,C10,SOSTANZE MODIFICATRICI DEI LIPIDI,989334
2012,328,ATS DI PAVIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G02,ALTRI GINECOLOGICI,4744
2012,328,ATS DI PAVIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G04,UROLOGICI,219914
2014,322,ATS DELL'INSUBRIA,N,SISTEMA NERVOSO,N03,ANTIEPILETTICI,516577
2015,323,ATS DELLA MONTAGNA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H05,CALCIO-OMEOSTATICI,381
2015,324,ATS DELLA BRIANZA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A09,"DIGESTIVI, INCLUSI GLI ENZIMI",11064
2015,327,ATS DELLA VAL PADANA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L01,ANTINEOPLASTICI,25261
2016,30,REGIONE LOMBARDIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G04,UROLOGICI,4633242
2016,323,ATS DELLA MONTAGNA,B,SANGUE E ORGANI EMOPOIETICI,B05,SUCCEDANEI DEL SANGUE E SOLUZIONI PERFUSIONALI,17806
2016,323,ATS DELLA MONTAGNA,J,ANTINFETTIVI PER USO SISTEMICO,J04,ANTIMICOBATTERICI,2124
2013,326,ATS DI BRESCIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A07,"ANTIDIARROICI, ANTINFIAMMATORI E ANTINFETTIVI INTESTINALI",161097
2014,322,ATS DELL'INSUBRIA,N,SISTEMA NERVOSO,N01,ANESTETICI,4618
2014,322,ATS DELL'INSUBRIA,N,SISTEMA NERVOSO,N02,ANALGESICI,559937
2014,323,ATS DELLA MONTAGNA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L04,IMMUNOSOPPRESSIVI,9699
2015,327,ATS DELLA VAL PADANA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L02,TERAPIA ENDOCRINA,46507
2016,322,ATS DELL'INSUBRIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G03,ORMONI SESSUALI E MODULATORI DEL SISTEMA GENITALE,141456
2016,324,ATS DELLA BRIANZA,N,SISTEMA NERVOSO,N04,ANTIPARKINSONIANI,129077
2012,325,ATS DI BERGAMO,R,SISTEMA RESPIRATORIO,R03,FARMACI PER LE SINDROMI OSTRUTTIVE DELLE VIE RESPIRATORIE,470453
2015,328,ATS DI PAVIA,J,ANTINFETTIVI PER USO SISTEMICO,J06,SIERI IMMUNI ED IMMUNOGLOBULINE,724
2016,30,REGIONE LOMBARDIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G03,ORMONI SESSUALI E MODULATORI DEL SISTEMA GENITALE,997924
2016,323,ATS DELLA MONTAGNA,J,ANTINFETTIVI PER USO SISTEMICO,J01,ANTIBATTERICI PER USO SISTEMICO,317560
2016,327,ATS DELLA VAL PADANA,B,SANGUE E ORGANI EMOPOIETICI,B05,SUCCEDANEI DEL SANGUE E SOLUZIONI PERFUSIONALI,40574
2017,328,ATS DI PAVIA,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",P02,ANTIELMINTICI,2746
2012,324,ATS DELLA BRIANZA,B,SANGUE E ORGANI EMOPOIETICI,B01,ANTITROMBOTICI,1326641
2013,326,ATS DI BRESCIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A12,INTEGRATORI MINERALI,102171
2014,323,ATS DELLA MONTAGNA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L02,TERAPIA ENDOCRINA,20109
2015,30,REGIONE LOMBARDIA,S,ORGANI DI SENSO,S01,OFTALMOLOGICI,2246493
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",P02,ANTIELMINTICI,22699
2016,322,ATS DELL'INSUBRIA,C,SISTEMA CARDIOVASCOLARE,C03,DIURETICI,722888
2016,324,ATS DELLA BRIANZA,D,DERMATOLOGICI,D05,ANTIPSORIASICI,29572
2016,324,ATS DELLA BRIANZA,D,DERMATOLOGICI,D07,"CORTICOSTEROIDI, PREPARATI DERMATOLOGICI",9421
2016,325,ATS DI BERGAMO,D,DERMATOLOGICI,D05,ANTIPSORIASICI,29474
2017,327,ATS DELLA VAL PADANA,C,SISTEMA CARDIOVASCOLARE,C03,DIURETICI,491621
2012,324,ATS DELLA BRIANZA,B,SANGUE E ORGANI EMOPOIETICI,B02,ANTIEMORRAGICI,13616
2013,326,ATS DI BRESCIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A10,FARMACI USATI NEL DIABETE,810692
2016,325,ATS DI BERGAMO,D,DERMATOLOGICI,D07,"CORTICOSTEROIDI, PREPARATI DERMATOLOGICI",5352
2013,328,ATS DI PAVIA,N,SISTEMA NERVOSO,N07,ALTRI FARMACI DEL SISTEMA NERVOSO,7073
2014,326,ATS DI BRESCIA,N,SISTEMA NERVOSO,N07,ALTRI FARMACI DEL SISTEMA NERVOSO,19301
2017,30,REGIONE LOMBARDIA,C,SISTEMA CARDIOVASCOLARE,C09,SOSTANZE AD AZIONE SUL SISTEMA RENINA-ANGIOTENSINA,24500763
2017,325,ATS DI BERGAMO,N,SISTEMA NERVOSO,N04,ANTIPARKINSONIANI,124820
2017,328,ATS DI PAVIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L01,ANTINEOPLASTICI,20975
2012,30,REGIONE LOMBARDIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H05,CALCIO-OMEOSTATICI,31905
2012,326,ATS DI BRESCIA,J,ANTINFETTIVI PER USO SISTEMICO,J01,ANTIBATTERICI PER USO SISTEMICO,1398102
2013,30,REGIONE LOMBARDIA,N,SISTEMA NERVOSO,N06,PSICOANALETTICI,5490499
2013,328,ATS DI PAVIA,N,SISTEMA NERVOSO,N01,ANESTETICI,357
2015,322,ATS DELL'INSUBRIA,C,SISTEMA CARDIOVASCOLARE,C07,BETABLOCCANTI,1295478
2015,327,ATS DELLA VAL PADANA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G04,UROLOGICI,330409
2016,322,ATS DELL'INSUBRIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L03,IMMUNOSTIMOLANTI,1909
2017,322,ATS DELL'INSUBRIA,M,SISTEMA MUSCOLO-SCHELETRICO,M01,FARMACI ANTINFIAMMATORI ED ANTIREUMATICI,333410
2017,325,ATS DI BERGAMO,C,SISTEMA CARDIOVASCOLARE,C07,BETABLOCCANTI,1033966
2013,30,REGIONE LOMBARDIA,B,SANGUE E ORGANI EMOPOIETICI,B02,ANTIEMORRAGICI,135281
2014,328,ATS DI PAVIA,B,SANGUE E ORGANI EMOPOIETICI,B02,ANTIEMORRAGICI,7144
2015,30,REGIONE LOMBARDIA,N,SISTEMA NERVOSO,N05,PSICOLETTICI,1452780
2017,322,ATS DELL'INSUBRIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G02,ALTRI GINECOLOGICI,7774
2017,325,ATS DI BERGAMO,B,SANGUE E ORGANI EMOPOIETICI,B02,ANTIEMORRAGICI,14618
2013,328,ATS DI PAVIA,N,SISTEMA NERVOSO,N04,ANTIPARKINSONIANI,69795
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H02,CORTICOSTEROIDI SISTEMICI,803061
2012,30,REGIONE LOMBARDIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H01,ORMONI IPOFISARI ED IPOTALAMICI ED ANALOGHI,112829
2013,30,REGIONE LOMBARDIA,N,SISTEMA NERVOSO,N05,PSICOLETTICI,892441
2014,326,ATS DI BRESCIA,N,SISTEMA NERVOSO,N05,PSICOLETTICI,130256
2015,322,ATS DELL'INSUBRIA,C,SISTEMA CARDIOVASCOLARE,C09,SOSTANZE AD AZIONE SUL SISTEMA RENINA-ANGIOTENSINA,3381894
2016,30,REGIONE LOMBARDIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L04,IMMUNOSOPPRESSIVI,396365
2017,325,ATS DI BERGAMO,B,SANGUE E ORGANI EMOPOIETICI,B03,FARMACI ANTIANEMICI,190329
2017,325,ATS DI BERGAMO,M,SISTEMA MUSCOLO-SCHELETRICO,M05,FARMACI PER IL TRATTAMENTO DELLE MALATTIE DELLE OSSA,113266
2013,30,REGIONE LOMBARDIA,N,SISTEMA NERVOSO,N04,ANTIPARKINSONIANI,1152935
2016,30,REGIONE LOMBARDIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L03,IMMUNOSTIMOLANTI,16291
2017,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G03,ORMONI SESSUALI E MODULATORI DEL SISTEMA GENITALE,271906
2017,325,ATS DI BERGAMO,C,SISTEMA CARDIOVASCOLARE,C09,SOSTANZE AD AZIONE SUL SISTEMA RENINA-ANGIOTENSINA,2436536
2017,325,ATS DI BERGAMO,M,SISTEMA MUSCOLO-SCHELETRICO,M03,MIORILASSANTI,7757
2012,324,ATS DELLA BRIANZA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H02,CORTICOSTEROIDI SISTEMICI,274579
2013,30,REGIONE LOMBARDIA,B,SANGUE E ORGANI EMOPOIETICI,B06,ALTRI AGENTI EMATOLOGICI,147
2013,328,ATS DI PAVIA,N,SISTEMA NERVOSO,N02,ANALGESICI,209591
2015,322,ATS DELL'INSUBRIA,N,SISTEMA NERVOSO,N05,PSICOLETTICI,199735
2016,322,ATS DELL'INSUBRIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L02,TERAPIA ENDOCRINA,102680
2012,326,ATS DI BRESCIA,J,ANTINFETTIVI PER USO SISTEMICO,J04,ANTIMICOBATTERICI,5296
2012,327,ATS DELLA VAL PADANA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L04,IMMUNOSOPPRESSIVI,20924
2013,328,ATS DI PAVIA,N,SISTEMA NERVOSO,N05,PSICOLETTICI,61282
2015,322,ATS DELL'INSUBRIA,C,SISTEMA CARDIOVASCOLARE,C02,ANTIPERTENSIVI,231882
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H03,TERAPIA TIROIDEA,681234
2017,325,ATS DI BERGAMO,B,SANGUE E ORGANI EMOPOIETICI,B05,SUCCEDANEI DEL SANGUE E SOLUZIONI PERFUSIONALI,66322
2015,30,REGIONE LOMBARDIA,N,SISTEMA NERVOSO,N01,ANESTETICI,57839
2016,322,ATS DELL'INSUBRIA,B,SANGUE E ORGANI EMOPOIETICI,B02,ANTIEMORRAGICI,12248
2017,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,M,SISTEMA MUSCOLO-SCHELETRICO,M01,FARMACI ANTINFIAMMATORI ED ANTIREUMATICI,849003
2017,322,ATS DELL'INSUBRIA,M,SISTEMA MUSCOLO-SCHELETRICO,M04,ANTIGOTTOSI,157485
2017,325,ATS DI BERGAMO,C,SISTEMA CARDIOVASCOLARE,C08,CALCIOANTAGONISTI,802993
2013,30,REGIONE LOMBARDIA,B,SANGUE E ORGANI EMOPOIETICI,B03,FARMACI ANTIANEMICI,1487579
2014,326,ATS DI BRESCIA,N,SISTEMA NERVOSO,N02,ANALGESICI,386175
