ANNO,ATS STRUTTURA,CODICE DISCIPLINA,DESCRIZIONE DISCIPLINA,DEGENZA MEDIA TOTALE,ACCESSI MEDI TOTALE
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,19,"MALATTIE ENDOCRINE,DEL RICAMBIO E DELLA NUTRIZIONE",8.150121,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,51,ASTANTERIA,1.104114,0
2017,322 - ATS DELL'INSUBRIA,70,RADIOTERAPIA,2.289474,0
2017,323 - ATS DELLA MONTAGNA,38,OTORINOLARINGOIATRIA,4.647149,1
2017,323 - ATS DELLA MONTAGNA,64,ONCOLOGIA,12.053476,0
2017,325 - ATS DI BERGAMO,39,PEDIATRIA,6.067316,2.564045
2017,327 - ATS DELLA VAL PADANA,10,CHIRURGIA MAXILLO-FACCIALE,3.444785,1
2017,327 - ATS DELLA VAL PADANA,60,LUNGODEGENTI,30.543914,0
2012,322 - ATS DELL'INSUBRIA,14,CHIRURGIA VASCOLARE,5.744212,1
2012,323 - ATS DELLA MONTAGNA,68,PNEUMOLOGIA,11.936122,0
2012,326 - ATS DI BRESCIA,02,DAY HOSPITAL,0,1
2012,326 - ATS DI BRESCIA,50,UNITA' CORONARICA,4.463462,0
2012,326 - ATS DI BRESCIA,56,RECUPERO E RIABILITAZIONE FUNZIONALE,23.297202,19.5
2012,327 - ATS DELLA VAL PADANA,24,MALATTIE INFETTIVE E TROPICALI,13.041667,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,61,MEDICINA NUCLEARE,3.554622,1
2013,322 - ATS DELL'INSUBRIA,19,"MALATTIE ENDOCRINE,DEL RICAMBIO E DELLA NUTRIZIONE",9.743202,1.882917
2013,324 - ATS DELLA BRIANZA,73,TERAPIA INTENSIVA NEONATALE,7.60274,0
2013,326 - ATS DI BRESCIA,39,PEDIATRIA,4.761348,9
2013,327 - ATS DELLA VAL PADANA,13,CHIRURGIA TORACICA,10.356037,0
2013,327 - ATS DELLA VAL PADANA,73,TERAPIA INTENSIVA NEONATALE,9.818182,0
2013,328 - ATS DI PAVIA,31,NIDO,5.451796,0
2013,328 - ATS DI PAVIA,73,TERAPIA INTENSIVA NEONATALE,11.692308,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,66,ONCOEMATOLOGIA,8.447853,0
2014,322 - ATS DELL'INSUBRIA,68,PNEUMOLOGIA,13.558069,0
2014,322 - ATS DELL'INSUBRIA,73,TERAPIA INTENSIVA NEONATALE,15.206349,0
2014,324 - ATS DELLA BRIANZA,25,MEDICINA DEL LAVORO,0,2.111111
2014,324 - ATS DELLA BRIANZA,50,UNITA' CORONARICA,6.039841,0
2014,324 - ATS DELLA BRIANZA,69,RADIOLOGIA,0,1
2014,326 - ATS DI BRESCIA,24,MALATTIE INFETTIVE E TROPICALI,13.1544,1
2014,326 - ATS DI BRESCIA,62,NEONATOLOGIA,15.52963,0
2014,327 - ATS DELLA VAL PADANA,51,ASTANTERIA,5.68125,0
2014,328 - ATS DI PAVIA,14,CHIRURGIA VASCOLARE,6.530022,0
2014,REGIONE LOMBARDIA,65,ONCOEMATOLOGIA PEDIATRICA,18.011173,4.568475
2015,322 - ATS DELL'INSUBRIA,14,CHIRURGIA VASCOLARE,6.183002,1
2015,323 - ATS DELLA MONTAGNA,56,RECUPERO E RIABILITAZIONE FUNZIONALE,20.988698,0
2015,324 - ATS DELLA BRIANZA,40,PSICHIATRIA,14.43556,8.917749
2015,324 - ATS DELLA BRIANZA,60,LUNGODEGENTI,16.5,0
2015,326 - ATS DI BRESCIA,28,UNITA' SPINALE,89.5,0
2015,326 - ATS DI BRESCIA,73,TERAPIA INTENSIVA NEONATALE,22.73913,0
2015,327 - ATS DELLA VAL PADANA,70,RADIOTERAPIA,16.291553,1
2015,328 - ATS DI PAVIA,24,MALATTIE INFETTIVE E TROPICALI,15.390323,0
2015,328 - ATS DI PAVIA,40,PSICHIATRIA,14.201874,6.355932
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,25,MEDICINA DEL LAVORO,3.510417,1.5
2016,322 - ATS DELL'INSUBRIA,58,GASTROENTEROLOGIA,7.714646,1.818182
2016,322 - ATS DELL'INSUBRIA,60,LUNGODEGENTI,37.318339,0
2016,322 - ATS DELL'INSUBRIA,70,RADIOTERAPIA,2.785714,0
2016,325 - ATS DI BERGAMO,28,UNITA' SPINALE,67.776119,0
2016,327 - ATS DELLA VAL PADANA,98,DAY SURGERY,0,1
2016,328 - ATS DI PAVIA,65,ONCOEMATOLOGIA PEDIATRICA,16.485714,4.141791
2016,REGIONE LOMBARDIA,61,MEDICINA NUCLEARE,4.190714,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,33,NEUROPSICHIATRIA INFANTILE,6.440132,2.490909
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,78,UROLOGIA PEDIATRICA,2,1
2017,323 - ATS DELLA MONTAGNA,36,ORTOPEDIA E TRAUMATOLOGIA,5.311486,1
2017,324 - ATS DELLA BRIANZA,25,MEDICINA DEL LAVORO,0,1.666667
2017,324 - ATS DELLA BRIANZA,31,NIDO,3.655509,0
2017,326 - ATS DI BRESCIA,31,NIDO,5.832976,0
2017,327 - ATS DELLA VAL PADANA,54,EMODIALISI,9.581818,0
2017,328 - ATS DI PAVIA,64,ONCOLOGIA,7.426581,0
2012,324 - ATS DELLA BRIANZA,40,PSICHIATRIA,15.868625,10.69281
2012,326 - ATS DI BRESCIA,12,CHIRURGIA PLASTICA,5.815385,1
2012,326 - ATS DI BRESCIA,73,TERAPIA INTENSIVA NEONATALE,12.860902,0
2012,328 - ATS DI PAVIA,38,OTORINOLARINGOIATRIA,3.892707,1
2012,328 - ATS DI PAVIA,60,LUNGODEGENTI,40.16545,0
2012,REGIONE LOMBARDIA,57,FISIOPATOLOGIA DELLA RIPRODUZIONE UMANA,0,1
2013,324 - ATS DELLA BRIANZA,30,NEUROCHIRURGIA,7.607742,1
2013,325 - ATS DI BERGAMO,73,TERAPIA INTENSIVA NEONATALE,36.396226,0
2013,326 - ATS DI BRESCIA,12,CHIRURGIA PLASTICA,5.9159,1
2013,327 - ATS DELLA VAL PADANA,51,ASTANTERIA,5.073446,0
2013,328 - ATS DI PAVIA,60,LUNGODEGENTI,38.483173,0
2013,REGIONE LOMBARDIA,20,IMMUNOLOGIA,0,6.25
2014,322 - ATS DELL'INSUBRIA,31,NIDO,5.489627,0
2014,322 - ATS DELL'INSUBRIA,62,NEONATOLOGIA,12.099656,0
2014,323 - ATS DELLA MONTAGNA,32,NEUROLOGIA,10.645367,0
2014,325 - ATS DI BERGAMO,30,NEUROCHIRURGIA,10.396264,0
2014,326 - ATS DI BRESCIA,50,UNITA' CORONARICA,5.625935,0
2014,327 - ATS DELLA VAL PADANA,50,UNITA' CORONARICA,5.382813,0
2014,328 - ATS DI PAVIA,64,ONCOLOGIA,8.220468,4.138686
2015,322 - ATS DELL'INSUBRIA,31,NIDO,5.116519,0
2015,323 - ATS DELLA MONTAGNA,49,TERAPIA INTENSIVA,12.469438,0
2015,324 - ATS DELLA BRIANZA,25,MEDICINA DEL LAVORO,0,1.857143
2015,325 - ATS DI BERGAMO,07,CARDIOCHIRURGIA,14.295658,2.740385
2015,325 - ATS DI BERGAMO,19,"MALATTIE ENDOCRINE,DEL RICAMBIO E DELLA NUTRIZIONE",0,1.510638
2015,325 - ATS DI BERGAMO,29,NEFROLOGIA,7.402477,0
2015,327 - ATS DELLA VAL PADANA,52,DERMATOLOGIA,0,13.933333
2015,328 - ATS DI PAVIA,02,DAY HOSPITAL,0,1
2015,328 - ATS DI PAVIA,31,NIDO,5.573427,0
2015,REGIONE LOMBARDIA,65,ONCOEMATOLOGIA PEDIATRICA,16.573727,4.667702
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,61,MEDICINA NUCLEARE,3.714765,0
2016,323 - ATS DELLA MONTAGNA,49,TERAPIA INTENSIVA,11.894472,0
2016,324 - ATS DELLA BRIANZA,56,RECUPERO E RIABILITAZIONE FUNZIONALE,23.371294,10.455128
2016,324 - ATS DELLA BRIANZA,58,GASTROENTEROLOGIA,12.358824,0
2016,324 - ATS DELLA BRIANZA,75,NEURO-RIABILITAZIONE,19.483701,1.92561
2016,326 - ATS DI BRESCIA,07,CARDIOCHIRURGIA,12.744361,0
2016,326 - ATS DI BRESCIA,33,NEUROPSICHIATRIA INFANTILE,14.177616,0
2016,326 - ATS DI BRESCIA,50,UNITA' CORONARICA,5.566514,0
2016,328 - ATS DI PAVIA,11,CHIRURGIA PEDIATRICA,2.28941,1
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,28,UNITA' SPINALE,86.813008,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,47,GRANDI USTIONATI,22.967742,0
2017,325 - ATS DI BERGAMO,32,NEUROLOGIA,8.502875,0
2017,325 - ATS DI BERGAMO,50,UNITA' CORONARICA,6.725191,0
2017,327 - ATS DELLA VAL PADANA,13,CHIRURGIA TORACICA,10.008824,0
2017,328 - ATS DI PAVIA,18,EMATOLOGIA,12.976048,4.981481
2017,REGIONE LOMBARDIA,51,ASTANTERIA,2.084304,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,50,UNITA' CORONARICA,5.729443,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,61,MEDICINA NUCLEARE,3.479804,0
2012,325 - ATS DI BERGAMO,18,EMATOLOGIA,16.990291,8.66087
2012,325 - ATS DI BERGAMO,49,TERAPIA INTENSIVA,13.875543,1.742857
2012,326 - ATS DI BRESCIA,60,LUNGODEGENTI,25.940171,0
2012,328 - ATS DI PAVIA,31,NIDO,4.154802,0
2013,323 - ATS DELLA MONTAGNA,62,NEONATOLOGIA,5.434483,0
2013,324 - ATS DELLA BRIANZA,07,CARDIOCHIRURGIA,13.096102,0
2013,324 - ATS DELLA BRIANZA,12,CHIRURGIA PLASTICA,1.982075,1
2013,324 - ATS DELLA BRIANZA,31,NIDO,3.989313,0
2013,324 - ATS DELLA BRIANZA,58,GASTROENTEROLOGIA,11.356932,0
2013,324 - ATS DELLA BRIANZA,60,LUNGODEGENTI,41.444444,0
2013,325 - ATS DI BERGAMO,18,EMATOLOGIA,17.610309,10.093023
2013,325 - ATS DI BERGAMO,24,MALATTIE INFETTIVE E TROPICALI,15.327568,0
2013,325 - ATS DI BERGAMO,56,RECUPERO E RIABILITAZIONE FUNZIONALE,25.25488,24.318919
2013,327 - ATS DELLA VAL PADANA,02,DAY HOSPITAL,0,1
2014,322 - ATS DELL'INSUBRIA,25,MEDICINA DEL LAVORO,6.654237,0
2014,323 - ATS DELLA MONTAGNA,28,UNITA' SPINALE,32.54386,0
2014,323 - ATS DELLA MONTAGNA,39,PEDIATRIA,3.511192,1
2014,328 - ATS DI PAVIA,02,DAY HOSPITAL,0,1
2014,REGIONE LOMBARDIA,21,GERIATRIA,10.800519,2.020161
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,47,GRANDI USTIONATI,19.760234,0
2015,322 - ATS DELL'INSUBRIA,21,GERIATRIA,12.957093,0
2015,324 - ATS DELLA BRIANZA,32,NEUROLOGIA,11.417476,6.833333
2015,325 - ATS DI BERGAMO,11,CHIRURGIA PEDIATRICA,4.919371,0
2016,324 - ATS DELLA BRIANZA,21,GERIATRIA,11.547788,0
2016,326 - ATS DI BRESCIA,98,DAY SURGERY,3,1
2016,327 - ATS DELLA VAL PADANA,24,MALATTIE INFETTIVE E TROPICALI,12.402724,0
2016,328 - ATS DI PAVIA,49,TERAPIA INTENSIVA,15.778455,0
2017,322 - ATS DELL'INSUBRIA,73,TERAPIA INTENSIVA NEONATALE,20.72,0
2017,325 - ATS DI BERGAMO,68,PNEUMOLOGIA,15.981092,0
2017,326 - ATS DI BRESCIA,39,PEDIATRIA,4.827988,6.5
2017,327 - ATS DELLA VAL PADANA,40,PSICHIATRIA,12.710638,7.390244
2012,323 - ATS DELLA MONTAGNA,62,NEONATOLOGIA,5.854167,0
2012,325 - ATS DI BERGAMO,73,TERAPIA INTENSIVA NEONATALE,38.538462,0
2012,326 - ATS DI BRESCIA,11,CHIRURGIA PEDIATRICA,5.678227,1
2014,328 - ATS DI PAVIA,39,PEDIATRIA,4.106067,0
2012,326 - ATS DI BRESCIA,49,TERAPIA INTENSIVA,12.343361,0
2012,REGIONE LOMBARDIA,50,UNITA' CORONARICA,5.683112,0
2012,REGIONE LOMBARDIA,73,TERAPIA INTENSIVA NEONATALE,15.985677,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,47,GRANDI USTIONATI,19.314815,0
2013,322 - ATS DELL'INSUBRIA,24,MALATTIE INFETTIVE E TROPICALI,16.435996,2.25
2013,322 - ATS DELL'INSUBRIA,25,MEDICINA DEL LAVORO,7.175373,0
2013,326 - ATS DI BRESCIA,31,NIDO,6.439528,0
2013,328 - ATS DI PAVIA,29,NEFROLOGIA,8.70068,0
2013,328 - ATS DI PAVIA,64,ONCOLOGIA,8.587135,4.22
2013,REGIONE LOMBARDIA,69,RADIOLOGIA,0,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,32,NEUROLOGIA,8.891556,2.193738
2014,325 - ATS DI BERGAMO,07,CARDIOCHIRURGIA,14.141399,2.818182
2014,325 - ATS DI BERGAMO,32,NEUROLOGIA,8.338388,0
2014,325 - ATS DI BERGAMO,62,NEONATOLOGIA,20.330626,1
2014,326 - ATS DI BRESCIA,20,IMMUNOLOGIA,0,4.869565
2014,326 - ATS DI BRESCIA,33,NEUROPSICHIATRIA INFANTILE,12.86783,0
2014,326 - ATS DI BRESCIA,49,TERAPIA INTENSIVA,12.457275,0
2014,REGIONE LOMBARDIA,33,NEUROPSICHIATRIA INFANTILE,8.269347,3.208191
2015,322 - ATS DELL'INSUBRIA,12,CHIRURGIA PLASTICA,2.736127,1
2015,325 - ATS DI BERGAMO,24,MALATTIE INFETTIVE E TROPICALI,15.559536,0
2015,325 - ATS DI BERGAMO,RM,RIABILITAZIONE DI MANTENIMENTO,19,0
2015,326 - ATS DI BRESCIA,48,NEFROLOGIA (ABILITAZIONE TRAPIANTO RENE),11.356189,1.87
2015,328 - ATS DI PAVIA,26,MEDICINA GENERALE,10.762109,1
2015,328 - ATS DI PAVIA,30,NEUROCHIRURGIA,8.176026,0
2015,328 - ATS DI PAVIA,62,NEONATOLOGIA,19.640187,0
2015,REGIONE LOMBARDIA,25,MEDICINA DEL LAVORO,5.71537,1.27907
2016,324 - ATS DELLA BRIANZA,14,CHIRURGIA VASCOLARE,8.969043,1
2016,328 - ATS DI PAVIA,25,MEDICINA DEL LAVORO,3.845528,0
2016,REGIONE LOMBARDIA,50,UNITA' CORONARICA,5.747963,1
2016,REGIONE LOMBARDIA,62,NEONATOLOGIA,11.911292,1
2017,325 - ATS DI BERGAMO,61,MEDICINA NUCLEARE,3.820225,0
2017,326 - ATS DI BRESCIA,40,PSICHIATRIA,13.916746,5.383562
2017,326 - ATS DI BRESCIA,70,RADIOTERAPIA,20.216749,1.75
2017,327 - ATS DELLA VAL PADANA,30,NEUROCHIRURGIA,8.704571,1
2017,327 - ATS DELLA VAL PADANA,64,ONCOLOGIA,9.14001,0
2017,328 - ATS DI PAVIA,25,MEDICINA DEL LAVORO,4.184211,0
2017,REGIONE LOMBARDIA,25,MEDICINA DEL LAVORO,6.548387,1.75
2017,REGIONE LOMBARDIA,66,ONCOEMATOLOGIA,8.650376,0
2012,322 - ATS DELL'INSUBRIA,07,CARDIOCHIRURGIA,12.877442,11.357143
2012,324 - ATS DELLA BRIANZA,12,CHIRURGIA PLASTICA,2.131113,1
2012,325 - ATS DI BERGAMO,12,CHIRURGIA PLASTICA,2.519912,1
2012,325 - ATS DI BERGAMO,40,PSICHIATRIA,15.578918,9.639344
2012,325 - ATS DI BERGAMO,RM,RIABILITAZIONE DI MANTENIMENTO,49.142857,0
2012,REGIONE LOMBARDIA,21,GERIATRIA,10.928009,1.703252
2013,322 - ATS DELL'INSUBRIA,62,NEONATOLOGIA,11.727757,0
2013,324 - ATS DELLA BRIANZA,21,GERIATRIA,11.407102,0
2013,325 - ATS DI BERGAMO,12,CHIRURGIA PLASTICA,2.616092,0
2013,326 - ATS DI BRESCIA,20,IMMUNOLOGIA,0,6.25
2013,326 - ATS DI BRESCIA,33,NEUROPSICHIATRIA INFANTILE,11.39726,0
2013,327 - ATS DELLA VAL PADANA,21,GERIATRIA,12.442396,0
2013,REGIONE LOMBARDIA,25,MEDICINA DEL LAVORO,5.437313,1.142857
2014,324 - ATS DELLA BRIANZA,52,DERMATOLOGIA,2.752688,0
2014,324 - ATS DELLA BRIANZA,RM,RIABILITAZIONE DI MANTENIMENTO,365,0
2014,325 - ATS DI BERGAMO,12,CHIRURGIA PLASTICA,3.147593,0
2014,326 - ATS DI BRESCIA,31,NIDO,5.767169,0
2014,326 - ATS DI BRESCIA,61,MEDICINA NUCLEARE,5.414487,0
2014,328 - ATS DI PAVIA,67,PENSIONANTI,2.510638,0
2015,322 - ATS DELL'INSUBRIA,61,MEDICINA NUCLEARE,3.99505,0
2015,325 - ATS DI BERGAMO,28,UNITA' SPINALE,65.46875,0
2015,327 - ATS DELLA VAL PADANA,40,PSICHIATRIA,14.243725,6.52381
2015,REGIONE LOMBARDIA,61,MEDICINA NUCLEARE,4.191092,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,28,UNITA' SPINALE,81.697842,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,31,NIDO,4.756098,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,70,RADIOTERAPIA,5.746803,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,RM,RIABILITAZIONE DI MANTENIMENTO,24.151515,0
2016,323 - ATS DELLA MONTAGNA,38,OTORINOLARINGOIATRIA,4.305376,1
2016,324 - ATS DELLA BRIANZA,30,NEUROCHIRURGIA,8.94501,1
2016,328 - ATS DI PAVIA,67,PENSIONANTI,2.403101,0
2017,322 - ATS DELL'INSUBRIA,14,CHIRURGIA VASCOLARE,5.077566,1
2017,322 - ATS DELL'INSUBRIA,61,MEDICINA NUCLEARE,3.870968,0
2017,323 - ATS DELLA MONTAGNA,21,GERIATRIA,10.84252,0
2017,325 - ATS DI BERGAMO,10,CHIRURGIA MAXILLO-FACCIALE,2.92145,1
2017,325 - ATS DI BERGAMO,73,TERAPIA INTENSIVA NEONATALE,31.745763,0
2017,REGIONE LOMBARDIA,61,MEDICINA NUCLEARE,3.885533,0
2012,325 - ATS DI BERGAMO,07,CARDIOCHIRURGIA,14.812798,2.940299
2012,326 - ATS DI BRESCIA,30,NEUROCHIRURGIA,9.241729,1
2012,326 - ATS DI BRESCIA,70,RADIOTERAPIA,18.619266,1
2012,327 - ATS DELLA VAL PADANA,52,DERMATOLOGIA,0,9.684211
2012,327 - ATS DELLA VAL PADANA,68,PNEUMOLOGIA,10.521785,3.730769
2013,322 - ATS DELL'INSUBRIA,07,CARDIOCHIRURGIA,13.217391,0
2013,322 - ATS DELL'INSUBRIA,75,NEURO-RIABILITAZIONE,29.36087,0
2013,323 - ATS DELLA MONTAGNA,50,UNITA' CORONARICA,3.463576,0
2013,323 - ATS DELLA MONTAGNA,56,RECUPERO E RIABILITAZIONE FUNZIONALE,20.958097,0
2013,324 - ATS DELLA BRIANZA,10,CHIRURGIA MAXILLO-FACCIALE,4.366834,1
2013,324 - ATS DELLA BRIANZA,40,PSICHIATRIA,14.725626,9.653061
2013,326 - ATS DI BRESCIA,56,RECUPERO E RIABILITAZIONE FUNZIONALE,23.013801,0
2013,327 - ATS DELLA VAL PADANA,40,PSICHIATRIA,13.352322,6.254902
2013,327 - ATS DELLA VAL PADANA,54,EMODIALISI,9.92,0
2013,327 - ATS DELLA VAL PADANA,70,RADIOTERAPIA,16.472885,1
2014,324 - ATS DELLA BRIANZA,33,NEUROPSICHIATRIA INFANTILE,12.610169,6.859107
2014,325 - ATS DI BERGAMO,11,CHIRURGIA PEDIATRICA,5.134715,0
2014,326 - ATS DI BRESCIA,07,CARDIOCHIRURGIA,11.883386,0
2014,326 - ATS DI BRESCIA,39,PEDIATRIA,4.608196,8.708333
2014,326 - ATS DI BRESCIA,RM,RIABILITAZIONE DI MANTENIMENTO,16.89899,0
2014,328 - ATS DI PAVIA,29,NEFROLOGIA,7.718,0
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,51,ASTANTERIA,1.084809,0
2015,322 - ATS DELL'INSUBRIA,34,OCULISTICA,2.649178,1
2015,323 - ATS DELLA MONTAGNA,32,NEUROLOGIA,10.558923,0
2015,326 - ATS DI BRESCIA,29,NEFROLOGIA,7.261194,1
2015,328 - ATS DI PAVIA,33,NEUROPSICHIATRIA INFANTILE,5.703497,1.320225
2015,328 - ATS DI PAVIA,48,NEFROLOGIA (ABILITAZIONE TRAPIANTO RENE),11.715835,0
2015,328 - ATS DI PAVIA,75,NEURO-RIABILITAZIONE,50.623932,0
2016,322 - ATS DELL'INSUBRIA,12,CHIRURGIA PLASTICA,2.306197,1
2016,323 - ATS DELLA MONTAGNA,13,CHIRURGIA TORACICA,6.912863,1
2016,323 - ATS DELLA MONTAGNA,40,PSICHIATRIA,10.345141,0
2016,323 - ATS DELLA MONTAGNA,60,LUNGODEGENTI,25.156404,0
2016,325 - ATS DI BERGAMO,34,OCULISTICA,1.402667,1
2016,326 - ATS DI BRESCIA,20,IMMUNOLOGIA,0,5.555556
2016,326 - ATS DI BRESCIA,64,ONCOLOGIA,5.728443,1
2016,327 - ATS DELLA VAL PADANA,10,CHIRURGIA MAXILLO-FACCIALE,3.40625,1
2016,328 - ATS DI PAVIA,02,DAY HOSPITAL,0,1
2016,328 - ATS DI PAVIA,62,NEONATOLOGIA,19.155251,0
2016,REGIONE LOMBARDIA,66,ONCOEMATOLOGIA,7.64946,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,25,MEDICINA DEL LAVORO,3.484211,1.888889
2017,322 - ATS DELL'INSUBRIA,30,NEUROCHIRURGIA,10.02881,0
2017,325 - ATS DI BERGAMO,24,MALATTIE INFETTIVE E TROPICALI,15.728934,0
2017,326 - ATS DI BRESCIA,20,IMMUNOLOGIA,0,5.769231
2017,327 - ATS DELLA VAL PADANA,50,UNITA' CORONARICA,5.879845,0
2017,REGIONE LOMBARDIA,RM,RIABILITAZIONE DI MANTENIMENTO,21.217926,0
2012,322 - ATS DELL'INSUBRIA,12,CHIRURGIA PLASTICA,3.675406,1
2012,323 - ATS DELLA MONTAGNA,13,CHIRURGIA TORACICA,8.148014,1
2012,323 - ATS DELLA MONTAGNA,64,ONCOLOGIA,14.394366,1
2012,324 - ATS DELLA BRIANZA,62,NEONATOLOGIA,9.769744,1
2012,325 - ATS DI BERGAMO,19,"MALATTIE ENDOCRINE,DEL RICAMBIO E DELLA NUTRIZIONE",10.147541,2.034483
2012,325 - ATS DI BERGAMO,31,NIDO,4.042384,0
2012,327 - ATS DELLA VAL PADANA,RM,RIABILITAZIONE DI MANTENIMENTO,24.043307,0
2012,328 - ATS DI PAVIA,64,ONCOLOGIA,7.963173,3.672222
2012,REGIONE LOMBARDIA,47,GRANDI USTIONATI,21.508772,0
2013,322 - ATS DELL'INSUBRIA,35,ODONTOIATRIA E STOMATOLOGIA,0,1
