ANNO,CODICE_ATS_EROGAZIONE,DESCRIZIONE_ATS_EROGAZIONE,COORDINATA_GEOGRAFICA_X,COORDINATA_GEOGRAFICA_Y,ATC LIVELLO 1,DESCRIZIONE ATC LIVELLO 1,GENERE,FASCIA_ETA',CONF,Nuova colonna georeferenziata
2017,328,ATS DI PAVIA,9.14034225,45.20086141,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,-,80 e +,1469,"(45.20086141, 9.14034225)"
2012,324,ATS DELLA BRIANZA,9.298423314,45.69919245,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,M,40-64,20288,"(45.69919245, 9.298423314)"
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,F,18-39,2381,"(45.1439181, 10.02604335)"
2012,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,M,80 e +,28205,"(46.33431031, 10.32968894)"
2013,328,ATS DI PAVIA,9.14034225,45.20086141,J,ANTINFETTIVI PER USO SISTEMICO,M,80 e +,31158,"(45.20086141, 9.14034225)"
2013,328,ATS DI PAVIA,9.14034225,45.20086141,S,ORGANI DI SENSO,F,0-17,141,"(45.20086141, 9.14034225)"
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,M,SISTEMA MUSCOLO-SCHELETRICO,F,65-79,43359,"(46.33431031, 10.32968894)"
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,S,ORGANI DI SENSO,F,80 e +,12369,"(46.33431031, 10.32968894)"
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,A,APPARATO GASTROINTESTINALE E METABOLISMO,M,65-79,510409,"(45.1439181, 10.02604335)"
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,B,SANGUE E ORGANI EMOPOIETICI,M,40-64,171641,"(45.65171815, 10.25368782)"
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,M,0-17,699,"(45.65171815, 10.25368782)"
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",M,80 e +,568,"(45.1439181, 10.02604335)"
2017,328,ATS DI PAVIA,9.14034225,45.20086141,D,DERMATOLOGICI,M,65-79,5432,"(45.20086141, 9.14034225)"
2016,30,REGIONE LOMBARDIA,,,B,SANGUE E ORGANI EMOPOIETICI,F,80 e +,2238329,
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,M,SISTEMA MUSCOLO-SCHELETRICO,M,40-64,183222,"(45.44410928, 9.198811423)"
2012,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,A,APPARATO GASTROINTESTINALE E METABOLISMO,M,65-79,846296,"(45.80802245, 8.837196022)"
2012,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,M,40-64,21520,"(45.80802245, 8.837196022)"
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,F,65-79,119649,"(45.44410928, 9.198811423)"
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,R,SISTEMA RESPIRATORIO,-,80 e +,2885,"(45.68701679, 9.63853045)"
2015,328,ATS DI PAVIA,9.14034225,45.20086141,B,SANGUE E ORGANI EMOPOIETICI,M,40-64,84803,"(45.20086141, 9.14034225)"
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,R,SISTEMA RESPIRATORIO,F,0-17,11116,"(46.33431031, 10.32968894)"
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,S,ORGANI DI SENSO,M,0-17,1537,"(45.44410928, 9.198811423)"
2017,30,REGIONE LOMBARDIA,,,V,VARI,F,40-64,26101,
2015,328,ATS DI PAVIA,9.14034225,45.20086141,D,DERMATOLOGICI,M,65-79,5705,"(45.20086141, 9.14034225)"
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,V,VARI,F,40-64,9180,"(45.44410928, 9.198811423)"
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,R,SISTEMA RESPIRATORIO,F,80 e +,16457,"(46.33431031, 10.32968894)"
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,N,SISTEMA NERVOSO,F,40-64,154960,"(46.33431031, 10.32968894)"
2017,326,ATS DI BRESCIA,10.25368782,45.65171815,M,SISTEMA MUSCOLO-SCHELETRICO,M,0-17,468,"(45.65171815, 10.25368782)"
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",M,40-64,18425,"(46.33431031, 10.32968894)"
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,-,80 e +,1403,"(45.1439181, 10.02604335)"
2012,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",M,65-79,68320,"(45.80802245, 8.837196022)"
2016,30,REGIONE LOMBARDIA,,,M,SISTEMA MUSCOLO-SCHELETRICO,M,18-39,84838,
2012,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",F,65-79,28271,"(46.33431031, 10.32968894)"
2013,30,REGIONE LOMBARDIA,,,B,SANGUE E ORGANI EMOPOIETICI,F,40-64,1106316,
2017,328,ATS DI PAVIA,9.14034225,45.20086141,R,SISTEMA RESPIRATORIO,M,65-79,49445,"(45.20086141, 9.14034225)"
2016,30,REGIONE LOMBARDIA,,,J,ANTINFETTIVI PER USO SISTEMICO,F,18-39,1021739,
2012,324,ATS DELLA BRIANZA,9.298423314,45.69919245,A,APPARATO GASTROINTESTINALE E METABOLISMO,F,65-79,860598,"(45.69919245, 9.298423314)"
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",F,80 e +,3279,"(45.80802245, 8.837196022)"
2012,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",M,0-17,4269,"(46.33431031, 10.32968894)"
2017,326,ATS DI BRESCIA,10.25368782,45.65171815,A,APPARATO GASTROINTESTINALE E METABOLISMO,M,18-39,66081,"(45.65171815, 10.25368782)"
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,D,DERMATOLOGICI,F,0-17,921,"(45.80802245, 8.837196022)"
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,D,DERMATOLOGICI,M,65-79,7006,"(45.65171815, 10.25368782)"
2017,326,ATS DI BRESCIA,10.25368782,45.65171815,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,M,18-39,2845,"(45.65171815, 10.25368782)"
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",M,80 e +,58605,"(45.44410928, 9.198811423)"
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,N,SISTEMA NERVOSO,F,18-39,32828,"(46.33431031, 10.32968894)"
2012,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,R,SISTEMA RESPIRATORIO,F,0-17,62588,"(45.80802245, 8.837196022)"
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,S,ORGANI DI SENSO,M,80 e +,19485,"(45.1439181, 10.02604335)"
2013,30,REGIONE LOMBARDIA,,,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,M,0-17,6887,
2017,326,ATS DI BRESCIA,10.25368782,45.65171815,D,DERMATOLOGICI,F,0-17,626,"(45.65171815, 10.25368782)"
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,C,SISTEMA CARDIOVASCOLARE,M,18-39,29368,"(45.1439181, 10.02604335)"
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,N,SISTEMA NERVOSO,M,0-17,11240,"(45.1439181, 10.02604335)"
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,S,ORGANI DI SENSO,-,80 e +,4149,"(45.44410928, 9.198811423)"
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,D,DERMATOLOGICI,-,80 e +,169,"(45.1439181, 10.02604335)"
2017,30,REGIONE LOMBARDIA,,,S,ORGANI DI SENSO,M,80 e +,270170,
2012,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,V,VARI,M,80 e +,3816,"(45.80802245, 8.837196022)"
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,J,ANTINFETTIVI PER USO SISTEMICO,M,80 e +,59955,"(45.69919245, 9.298423314)"
2013,30,REGIONE LOMBARDIA,,,D,DERMATOLOGICI,F,40-64,86079,
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,N,SISTEMA NERVOSO,F,0-17,7695,"(45.1439181, 10.02604335)"
2015,328,ATS DI PAVIA,9.14034225,45.20086141,M,SISTEMA MUSCOLO-SCHELETRICO,M,65-79,41751,"(45.20086141, 9.14034225)"
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,B,SANGUE E ORGANI EMOPOIETICI,M,80 e +,127838,"(45.1439181, 10.02604335)"
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,B,SANGUE E ORGANI EMOPOIETICI,F,18-39,41251,"(45.68701679, 9.63853045)"
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,J,ANTINFETTIVI PER USO SISTEMICO,M,0-17,121805,"(45.68701679, 9.63853045)"
2015,328,ATS DI PAVIA,9.14034225,45.20086141,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,M,80 e +,6019,"(45.20086141, 9.14034225)"
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,M,SISTEMA MUSCOLO-SCHELETRICO,-,80 e +,2159,"(45.69919245, 9.298423314)"
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,J,ANTINFETTIVI PER USO SISTEMICO,F,65-79,36675,"(46.33431031, 10.32968894)"
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",M,18-39,1644,"(45.68701679, 9.63853045)"
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,N,SISTEMA NERVOSO,F,18-39,58873,"(45.1439181, 10.02604335)"
2017,30,REGIONE LOMBARDIA,,,B,SANGUE E ORGANI EMOPOIETICI,F,18-39,340556,
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,C,SISTEMA CARDIOVASCOLARE,M,40-64,1443136,"(45.80802245, 8.837196022)"
2013,30,REGIONE LOMBARDIA,,,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,M,40-64,684434,
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,R,SISTEMA RESPIRATORIO,M,65-79,62670,"(45.1439181, 10.02604335)"
2017,328,ATS DI PAVIA,9.14034225,45.20086141,J,ANTINFETTIVI PER USO SISTEMICO,F,40-64,110467,"(45.20086141, 9.14034225)"
2016,30,REGIONE LOMBARDIA,,,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",M,80 e +,194587,
2016,325,ATS DI BERGAMO,9.63853045,45.68701679,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,F,40-64,50564,"(45.68701679, 9.63853045)"
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,C,SISTEMA CARDIOVASCOLARE,M,65-79,4943289,"(45.44410928, 9.198811423)"
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,M,SISTEMA MUSCOLO-SCHELETRICO,M,65-79,56524,"(45.1439181, 10.02604335)"
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,S,ORGANI DI SENSO,M,80 e +,15365,"(45.1439181, 10.02604335)"
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,B,SANGUE E ORGANI EMOPOIETICI,-,80 e +,3788,"(45.1439181, 10.02604335)"
2017,326,ATS DI BRESCIA,10.25368782,45.65171815,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",-,80 e +,261,"(45.65171815, 10.25368782)"
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,C,SISTEMA CARDIOVASCOLARE,M,0-17,698,"(46.33431031, 10.32968894)"
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,M,0-17,456,"(45.80802245, 8.837196022)"
2017,326,ATS DI BRESCIA,10.25368782,45.65171815,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",M,0-17,12394,"(45.65171815, 10.25368782)"
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",-,80 e +,71,"(46.33431031, 10.32968894)"
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,-,80 e +,697,"(46.33431031, 10.32968894)"
2012,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,J,ANTINFETTIVI PER USO SISTEMICO,F,0-17,140182,"(45.80802245, 8.837196022)"
2017,30,REGIONE LOMBARDIA,,,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",?,80 e +,11,
2015,328,ATS DI PAVIA,9.14034225,45.20086141,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,F,80 e +,1512,"(45.20086141, 9.14034225)"
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",F,18-39,37471,"(45.69919245, 9.298423314)"
2012,324,ATS DELLA BRIANZA,9.298423314,45.69919245,A,APPARATO GASTROINTESTINALE E METABOLISMO,M,80 e +,245813,"(45.69919245, 9.298423314)"
2015,328,ATS DI PAVIA,9.14034225,45.20086141,V,VARI,F,65-79,3628,"(45.20086141, 9.14034225)"
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,M,0-17,135,"(46.33431031, 10.32968894)"
2012,324,ATS DELLA BRIANZA,9.298423314,45.69919245,C,SISTEMA CARDIOVASCOLARE,F,80 e +,1080201,"(45.69919245, 9.298423314)"
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,S,ORGANI DI SENSO,F,18-39,277,"(46.33431031, 10.32968894)"
2012,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,V,VARI,M,65-79,8364,"(45.80802245, 8.837196022)"
2017,328,ATS DI PAVIA,9.14034225,45.20086141,B,SANGUE E ORGANI EMOPOIETICI,M,40-64,85634,"(45.20086141, 9.14034225)"
2012,30,REGIONE LOMBARDIA,,,C,SISTEMA CARDIOVASCOLARE,F,40-64,7039264,
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,A,APPARATO GASTROINTESTINALE E METABOLISMO,F,18-39,61720,"(45.1439181, 10.02604335)"
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,J,ANTINFETTIVI PER USO SISTEMICO,M,80 e +,36672,"(45.1439181, 10.02604335)"
2016,30,REGIONE LOMBARDIA,,,S,ORGANI DI SENSO,F,80 e +,418171,
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,R,SISTEMA RESPIRATORIO,F,65-79,290595,"(45.44410928, 9.198811423)"
2016,30,REGIONE LOMBARDIA,,,J,ANTINFETTIVI PER USO SISTEMICO,M,0-17,1059836,
2012,324,ATS DELLA BRIANZA,9.298423314,45.69919245,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,F,18-39,81600,"(45.69919245, 9.298423314)"
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,M,SISTEMA MUSCOLO-SCHELETRICO,F,80 e +,83134,"(45.65171815, 10.25368782)"
2016,30,REGIONE LOMBARDIA,,,R,SISTEMA RESPIRATORIO,F,0-17,369234,
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,M,40-64,224848,"(45.44410928, 9.198811423)"
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,F,18-39,17022,"(46.33431031, 10.32968894)"
2013,30,REGIONE LOMBARDIA,,,R,SISTEMA RESPIRATORIO,M,80 e +,431691,
2013,328,ATS DI PAVIA,9.14034225,45.20086141,R,SISTEMA RESPIRATORIO,M,65-79,50260,"(45.20086141, 9.14034225)"
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,R,SISTEMA RESPIRATORIO,M,40-64,64204,"(45.1439181, 10.02604335)"
2012,324,ATS DELLA BRIANZA,9.298423314,45.69919245,R,SISTEMA RESPIRATORIO,F,0-17,52264,"(45.69919245, 9.298423314)"
2016,30,REGIONE LOMBARDIA,,,M,SISTEMA MUSCOLO-SCHELETRICO,M,80 e +,312870,
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,M,SISTEMA MUSCOLO-SCHELETRICO,F,80 e +,66586,"(45.1439181, 10.02604335)"
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,A,APPARATO GASTROINTESTINALE E METABOLISMO,F,18-39,55889,"(45.1439181, 10.02604335)"
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,B,SANGUE E ORGANI EMOPOIETICI,F,40-64,33302,"(46.33431031, 10.32968894)"
2016,30,REGIONE LOMBARDIA,,,A,APPARATO GASTROINTESTINALE E METABOLISMO,F,0-17,118550,
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,N,SISTEMA NERVOSO,F,40-64,358020,"(45.69919245, 9.298423314)"
2017,326,ATS DI BRESCIA,10.25368782,45.65171815,B,SANGUE E ORGANI EMOPOIETICI,F,65-79,224490,"(45.65171815, 10.25368782)"
2013,30,REGIONE LOMBARDIA,,,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,F,65-79,112459,
2012,324,ATS DELLA BRIANZA,9.298423314,45.69919245,A,APPARATO GASTROINTESTINALE E METABOLISMO,F,40-64,549636,"(45.69919245, 9.298423314)"
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,M,SISTEMA MUSCOLO-SCHELETRICO,M,0-17,228,"(45.1439181, 10.02604335)"
2012,324,ATS DELLA BRIANZA,9.298423314,45.69919245,D,DERMATOLOGICI,F,0-17,757,"(45.69919245, 9.298423314)"
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,F,80 e +,9285,"(45.1439181, 10.02604335)"
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,D,DERMATOLOGICI,M,80 e +,1949,"(45.1439181, 10.02604335)"
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,C,SISTEMA CARDIOVASCOLARE,F,65-79,471530,"(46.33431031, 10.32968894)"
2016,30,REGIONE LOMBARDIA,,,V,VARI,F,40-64,26944,
2015,328,ATS DI PAVIA,9.14034225,45.20086141,C,SISTEMA CARDIOVASCOLARE,M,18-39,24764,"(45.20086141, 9.14034225)"
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",F,65-79,6547,"(45.1439181, 10.02604335)"
2012,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,S,ORGANI DI SENSO,F,0-17,202,"(46.33431031, 10.32968894)"
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,M,SISTEMA MUSCOLO-SCHELETRICO,M,40-64,51856,"(45.1439181, 10.02604335)"
2012,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,M,0-17,443,"(46.33431031, 10.32968894)"
2017,326,ATS DI BRESCIA,10.25368782,45.65171815,J,ANTINFETTIVI PER USO SISTEMICO,F,80 e +,109897,"(45.65171815, 10.25368782)"
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,R,SISTEMA RESPIRATORIO,M,0-17,16033,"(46.33431031, 10.32968894)"
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,C,SISTEMA CARDIOVASCOLARE,M,80 e +,746893,"(45.80802245, 8.837196022)"
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,M,0-17,230,"(45.1439181, 10.02604335)"
2015,328,ATS DI PAVIA,9.14034225,45.20086141,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",M,18-39,688,"(45.20086141, 9.14034225)"
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,D,DERMATOLOGICI,F,80 e +,9575,"(45.44410928, 9.198811423)"
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,R,SISTEMA RESPIRATORIO,-,80 e +,2844,"(45.65171815, 10.25368782)"
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,S,ORGANI DI SENSO,M,65-79,15054,"(46.33431031, 10.32968894)"
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",F,18-39,4389,"(45.80802245, 8.837196022)"
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,M,SISTEMA MUSCOLO-SCHELETRICO,M,80 e +,99477,"(45.44410928, 9.198811423)"
2017,328,ATS DI PAVIA,9.14034225,45.20086141,C,SISTEMA CARDIOVASCOLARE,M,18-39,22170,"(45.20086141, 9.14034225)"
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,R,SISTEMA RESPIRATORIO,F,40-64,77075,"(45.1439181, 10.02604335)"
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,A,APPARATO GASTROINTESTINALE E METABOLISMO,M,65-79,2075998,"(45.44410928, 9.198811423)"
2016,30,REGIONE LOMBARDIA,,,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",-,80 e +,29771,
2012,324,ATS DELLA BRIANZA,9.298423314,45.69919245,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,M,65-79,276823,"(45.69919245, 9.298423314)"
2012,324,ATS DELLA BRIANZA,9.298423314,45.69919245,A,APPARATO GASTROINTESTINALE E METABOLISMO,M,40-64,559103,"(45.69919245, 9.298423314)"
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,V,VARI,M,40-64,3985,"(45.1439181, 10.02604335)"
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,J,ANTINFETTIVI PER USO SISTEMICO,F,80 e +,27535,"(46.33431031, 10.32968894)"
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,M,65-79,5966,"(46.33431031, 10.32968894)"
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,J,ANTINFETTIVI PER USO SISTEMICO,F,0-17,74292,"(45.1439181, 10.02604335)"
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,C,SISTEMA CARDIOVASCOLARE,M,40-64,1182957,"(45.65171815, 10.25368782)"
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,A,APPARATO GASTROINTESTINALE E METABOLISMO,F,80 e +,208021,"(46.33431031, 10.32968894)"
2015,328,ATS DI PAVIA,9.14034225,45.20086141,N,SISTEMA NERVOSO,F,40-64,198419,"(45.20086141, 9.14034225)"
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,M,SISTEMA MUSCOLO-SCHELETRICO,M,18-39,32605,"(45.44410928, 9.198811423)"
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,R,SISTEMA RESPIRATORIO,-,80 e +,6045,"(45.80802245, 8.837196022)"
2016,30,REGIONE LOMBARDIA,,,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,F,40-64,429996,
