ANNO,ATS STRUTTURA,CODICE STRUTTURA DI RICOVERO,DESCRIZIONE STRUTTURA DI RICOVERO,CODICE MDC,DESCRIZIONE MDC,DEGENZA MEDIA TOTALE,ACCESSI MEDI TOTALE
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030058-00,OSPEDALE BASSINI - CINISELLO BALSAMO,06,MALATTIE E DISTURBI APPARATO DIGERENTE,6.418182,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030129-00,OSPED. DI CIRCOLO SERBELLONI-GORGONZOLA,17,MALATTIE E DISTURBI MIELOPROLIFERATIVI E NEOPLASIE SCARSAMENTE DIFFERENZIATE,8.465686,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030129-00,OSPED. DI CIRCOLO SERBELLONI-GORGONZOLA,09,"MALATTIE E DISTURBI PELLE, TESSUTO SOTTOCUTANEO E MAMMELLA",8.111111,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030923-00,FOND.IRCCS IST.NAZ.NEUROLOGICO C.BESTA,10,"MALATTIE E DISTURBI ENDOCRINI, METABOLICI E NUTRIZIONALI",7.53,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030079-00,OSPEDALE CIVICO - CODOGNO,01,MALATTIE E DISTURBI SISTEMA NERVOSO,8.34375,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030946-00,ISTITUTO ORTOPEDICO GALEAZZI SPA,02,MALATTIE E DISTURBI OCCHIO,3.025,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030281-02,OSPEDALE DI CUGGIONO,06,MALATTIE E DISTURBI APPARATO DIGERENTE,5.170259,2
2012,326 - ATS DI BRESCIA,030184-00,OSPEDALE DI MANERBIO,04,MALATTIE E DISTURBI APPARATO RESPIRATORIO,7.64011,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030072-00,OSPEDALE DI CIRCOLO PREDABISSI-MELEGNANO,07,MALATTIE E DISTURBI EPATOBILIARI E PANCREAS,10.338673,1
2012,322 - ATS DELL'INSUBRIA,030015-00,CASA DI CURA SANTA MARIA - CASTELLANZA,02,MALATTIE E DISTURBI OCCHIO,2.08,1
2012,325 - ATS DI BERGAMO,030134-00,OSPEDALE F. M. PASSI - CALCINATE,12,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO MASCHILE,1.153846,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030947-00,I.R.C.C.S. POLICLINICO SAN DONATO,05,MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO,7.984531,0
2012,322 - ATS DELL'INSUBRIA,030015-00,CASA DI CURA SANTA MARIA - CASTELLANZA,06,MALATTIE E DISTURBI APPARATO DIGERENTE,4.042593,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030912-00,P.O. CENTRO TRAUMATOLOGICO ORTOPEDICO,09,"MALATTIE E DISTURBI PELLE, TESSUTO SOTTOCUTANEO E MAMMELLA",10.741935,1
2012,328 - ATS DI PAVIA,030194-00,OSPEDALE CIVILE - VOGHERA,21,"TRAUMATISMI, AVVELENAMENTI ED EFFETTI TOSSICI DEI FARMACI",3.804878,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030922-00,"FOND.IRCCS ""ISTIT.NAZ.LE TUMORI""MILANO",04,MALATTIE E DISTURBI APPARATO RESPIRATORIO,9.07277,1
2012,322 - ATS DELL'INSUBRIA,030012-00,OSPEDALE CARLO ONDOLI - ANGERA,13,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO FEMMINILE,2.573333,1
2012,327 - ATS DELLA VAL PADANA,030908-00,ISTITUTI OSPITALIERI - CREMONA,10,"MALATTIE E DISTURBI ENDOCRINI, METABOLICI E NUTRIZIONALI",5.939655,6.285714
2012,324 - ATS DELLA BRIANZA,030106-00,POLICLINICO DI MONZA - CASA DI CURA PRIV,16,MALATTIE E DISTURBI SANGUE ED ORGANI EMATOPOIETICI E SISTEMA IMMUNITARIO,8.862745,3
2012,326 - ATS DI BRESCIA,030156-00,OSPEDALE DI DESENZANO,02,MALATTIE E DISTURBI OCCHIO,3.03653,0
2012,326 - ATS DI BRESCIA,030176-00,CASA DI CURA S. ANNA - BRESCIA,09,"MALATTIE E DISTURBI PELLE, TESSUTO SOTTOCUTANEO E MAMMELLA",3.997585,1
2012,325 - ATS DI BERGAMO,030379-00,HABILITA ISTITUTO CLINICO OSPEDALE DI SARNICO,04,MALATTIE E DISTURBI APPARATO RESPIRATORIO,12.314516,0
2012,328 - ATS DI PAVIA,030383-00,NUOVO OSPEDALE DI BRONI E STRADELLA ,12,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO MASCHILE,8.2,1
2012,326 - ATS DI BRESCIA,030176-00,CASA DI CURA S. ANNA - BRESCIA,13,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO FEMMINILE,3.746717,1
2012,322 - ATS DELL'INSUBRIA,030902-00,OSPEDALE S. ANNA - COMO,21,"TRAUMATISMI, AVVELENAMENTI ED EFFETTI TOSSICI DEI FARMACI",6.945736,1
2012,328 - ATS DI PAVIA,030198-00,CASA DI CURA BEATO MATTEO,05,MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO,8.741722,1
2012,328 - ATS DI PAVIA,030194-00,OSPEDALE CIVILE - VOGHERA,16,MALATTIE E DISTURBI SANGUE ED ORGANI EMATOPOIETICI E SISTEMA IMMUNITARIO,10.324074,1
2012,327 - ATS DELLA VAL PADANA,030357-00,OSP. SAN PELLEGRINO - CASTIGLIONE D/S,10,"MALATTIE E DISTURBI ENDOCRINI, METABOLICI E NUTRIZIONALI",8.702128,0
2012,325 - ATS DI BERGAMO,030133-00,OSPEDALE PESENTI FENAROLI - ALZANO L.,19,MALATTIE E DISTURBI MENTALI,19.116,0
2012,326 - ATS DI BRESCIA,030175-00,CASA DI CURA S. CAMILLO - BRESCIA,01,MALATTIE E DISTURBI SISTEMA NERVOSO,13.914286,0
2012,327 - ATS DELLA VAL PADANA,030227-00,PRESIDIO OSPEDALIERO - ASOLA,04,MALATTIE E DISTURBI APPARATO RESPIRATORIO,6.282609,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030051-00,P.O.  CITTA' DI SESTO S. GIOVANNI,PR,PREMDC (DRG SENZA SPECIFICA MDC),46.75,0
2013,325 - ATS DI BERGAMO,030379-00,HABILITA IST.CLINICO-OSP.LE DI SARNICO,18,MALATTIE INFETTIVE E PARASSITARIE,18.222222,0
2013,322 - ATS DELL'INSUBRIA,030282-01,OSPED.CIRCOLO CAUSA PIA LUVINI-CITTIGLIO,11,MALATTIE E DISTURBI RENE E VIE URINARIE,6.074627,0
2013,328 - ATS DI PAVIA,030383-00,NUOVO OSPEDALE DI BRONI E STRADELLA ,07,MALATTIE E DISTURBI EPATOBILIARI E PANCREAS,10.211679,0
2012,326 - ATS DI BRESCIA,030906-00,PRES.OSPEDAL.SPEDALI CIVILI BRESCIA,13,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO FEMMINILE,5.779515,1
2012,322 - ATS DELL'INSUBRIA,030015-00,CASA DI CURA SANTA MARIA - CASTELLANZA,09,"MALATTIE E DISTURBI PELLE, TESSUTO SOTTOCUTANEO E MAMMELLA",2.257353,1
2012,326 - ATS DI BRESCIA,030177-00,CASA DI CURA VILLA GEMMA-GARDONE RIVIERA,05,MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO,14.335766,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030937-00,IRCCS S.M.NASCENTE-FOND.DON C.GNOCCHI,05,MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO,26.282609,18.8
2012,328 - ATS DI PAVIA,030191-00,OSPEDALE S.MARTINO - MEDE,09,"MALATTIE E DISTURBI PELLE, TESSUTO SOTTOCUTANEO E MAMMELLA",7.147059,1
2012,322 - ATS DELL'INSUBRIA,030029-00,OSP.SACRA FAMIGLIA - F.B.F. - ERBA,04,MALATTIE E DISTURBI APPARATO RESPIRATORIO,10.794521,4
2012,327 - ATS DELLA VAL PADANA,030215-00,OSPEDALE S. MARTA - RIVOLTA D'ADDA,04,MALATTIE E DISTURBI APPARATO RESPIRATORIO,13.521645,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030948-00,IRCCS MULTIMEDICA - MILANO,11,MALATTIE E DISTURBI RENE E VIE URINARIE,5.132692,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030077-00,OSPEDALE CROTTA OLTROCCHI-VAPRIO D'ADDA,11,MALATTIE E DISTURBI RENE E VIE URINARIE,10.52381,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030941-00,ISTITUTO EUROPEO DI ONCOLOGIA-MILANO,11,MALATTIE E DISTURBI RENE E VIE URINARIE,3.980456,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030946-00,ISTITUTO ORTOPEDICO GALEAZZI SPA,23,FATTORI INFLUENZANTI LO STATO DI SALUTE ED IL RICORSO AI SERVIZI SANITARI,3.138889,3.447368
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030079-00,OSPEDALE CIVICO - CODOGNO,15,MALATTIE E DISTURBI PERIODO PERINATALE,4.035088,0
2012,324 - ATS DELLA BRIANZA,030903-00,"OSPEDALE DI CIRCOLO ""A. MANZONI"" - LECCO",07,MALATTIE E DISTURBI EPATOBILIARI E PANCREAS,9.684713,2.974359
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030112-00,IST.CLINICO S.AMBROGIO SPA-MILANO,08,MALATTIE E DISTURBI APPARATO OSTEOMUSCOLARE E TESSUTO CONNETTIVO,3.332155,1
2013,322 - ATS DELL'INSUBRIA,030008-00,OSP. GENERALE PROVINCIALE - SARONNO,08,MALATTIE E DISTURBI APPARATO OSTEOMUSCOLARE E TESSUTO CONNETTIVO,10.32,1
2013,324 - ATS DELLA BRIANZA,030909-00,OSPEDALE S.GERARDO - MONZA,21,"TRAUMATISMI, AVVELENAMENTI ED EFFETTI TOSSICI DEI FARMACI",7.521739,1
2013,326 - ATS DI BRESCIA,030295-00,FONDAZIONE POLIAMBULANZA - BRESCIA,05,MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO,6.035082,1
2013,326 - ATS DI BRESCIA,030154-01,PRESIDIO OSPEDALIERO DI CHIARI,03,"MALATTIE E DISTURBI ORECCHIO, NASO E GOLA",3.468579,1
2013,327 - ATS DELLA VAL PADANA,030353-00,OSPEDALE CIVILE DI VOLTA MANTOVANA,03,"MALATTIE E DISTURBI ORECCHIO, NASO E GOLA",0,1
2013,324 - ATS DELLA BRIANZA,030909-00,OSPEDALE S.GERARDO - MONZA,07,MALATTIE E DISTURBI EPATOBILIARI E PANCREAS,10.043441,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030281-01,OSPEDALE CIVILE DI LEGNANO,10,"MALATTIE E DISTURBI ENDOCRINI, METABOLICI E NUTRIZIONALI",7.12406,1.583333
2013,328 - ATS DI PAVIA,030198-00,ISTITUTO CLINICO BEATO MATTEO,12,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO MASCHILE,4.947619,1
2013,323 - ATS DELLA MONTAGNA,030274-01,OSPEDALE VALCAMONICA - ESINE,10,"MALATTIE E DISTURBI ENDOCRINI, METABOLICI E NUTRIZIONALI",7.413793,0
2013,324 - ATS DELLA BRIANZA,030903-00,OSPEDALE DI CIRCOLO A. MANZONI - LECCO,PR,PREMDC (DRG SENZA SPECIFICA MDC),33.716981,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030073-00,OSPEDALE DI CIRCOLO - RHO,19,MALATTIE E DISTURBI MENTALI,8.104167,4.454545
2013,322 - ATS DELL'INSUBRIA,030006-00,OSP. S. ANTONIO ABATE - GALLARATE,01,MALATTIE E DISTURBI SISTEMA NERVOSO,10.28559,1
2013,326 - ATS DI BRESCIA,030366-00,DOMINATO LEONENSE SANITA' - LENO,01,MALATTIE E DISTURBI SISTEMA NERVOSO,34.45749,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030947-00,I.R.C.C.S. POLICLINICO SAN DONATO,05,MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO,8.106923,0
2013,325 - ATS DI BERGAMO,030143-00,CLINICHE GAVAZZENI SPA - BERGAMO,18,MALATTIE INFETTIVE E PARASSITARIE,13.39726,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030051-00,P.O.  CITTA' DI SESTO S. GIOVANNI,23,FATTORI INFLUENZANTI LO STATO DI SALUTE ED IL RICORSO AI SERVIZI SANITARI,5.364865,1.193548
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030914-00,OSPEDALE S. PAOLO - MILANO,14,"GRAVIDANZA, PARTO E PUERPERIO",4.021749,1
2013,328 - ATS DI PAVIA,030193-00,OSPEDALE CIVILE - VIGEVANO,14,"GRAVIDANZA, PARTO E PUERPERIO",3.775701,1
2013,325 - ATS DI BERGAMO,030148-00,POLICLINICO SAN PIETRO  - PONTE S. PIETRO,13,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO FEMMINILE,4.034483,1
2013,326 - ATS DI BRESCIA,030906-00,PRES.OSPEDAL.SPEDALI CIVILI BRESCIA,01,MALATTIE E DISTURBI SISTEMA NERVOSO,8.557399,1
2012,328 - ATS DI PAVIA,030201-00,CASA DI CURA CITTADELLA SOCIALE,06,MALATTIE E DISTURBI APPARATO DIGERENTE,1.464286,0
2013,326 - ATS DI BRESCIA,030295-00,FONDAZIONE POLIAMBULANZA - BRESCIA,04,MALATTIE E DISTURBI APPARATO RESPIRATORIO,6.175479,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030941-00,ISTITUTO EUROPEO DI ONCOLOGIA-MILANO,06,MALATTIE E DISTURBI APPARATO DIGERENTE,8.225214,1
2013,328 - ATS DI PAVIA,030193-00,OSPEDALE CIVILE - VIGEVANO,11,MALATTIE E DISTURBI RENE E VIE URINARIE,9.738562,1
2012,326 - ATS DI BRESCIA,030369-00,CENTRO MEDICO RICHIEDEI - PALAZZOLO S/O,21,"TRAUMATISMI, AVVELENAMENTI ED EFFETTI TOSSICI DEI FARMACI",3.5,0
2012,326 - ATS DI BRESCIA,030369-00,CENTRO MEDICO RICHIEDEI - PALAZZOLO S/O,10,"MALATTIE E DISTURBI ENDOCRINI, METABOLICI E NUTRIZIONALI",4.886364,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030941-00,ISTITUTO EUROPEO DI ONCOLOGIA-MILANO,03,"MALATTIE E DISTURBI ORECCHIO, NASO E GOLA",3.023529,1
2013,325 - ATS DI BERGAMO,030382-00,OSPEDALE M. O. ANTONIO LOCATELLI-PIARIO,07,MALATTIE E DISTURBI EPATOBILIARI E PANCREAS,7.060606,0
2012,322 - ATS DELL'INSUBRIA,030011-00,OSPEDALE DI CUASSO - CUASSO AL MONTE,01,MALATTIE E DISTURBI SISTEMA NERVOSO,40.691589,0
2013,322 - ATS DELL'INSUBRIA,030015-00,CASA DI CURA SANTA MARIA - CASTELLANZA,17,MALATTIE E DISTURBI MIELOPROLIFERATIVI E NEOPLASIE SCARSAMENTE DIFFERENZIATE,4.356322,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030923-00,FOND.IRCCS IST.NAZ.NEUROLOGICO C.BESTA-MILANO,20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,7.088353,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030066-00,OSPEDALE G.SALVINI-GARBAGNATE MIL.SE,20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,5.959459,0
2013,325 - ATS DI BERGAMO,030147-00,POLICLINICO SAN MARCO - OSIO SOTTO,20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,4.95,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030057-00,OSPEDALE M. MELLONI - MILANO,01,MALATTIE E DISTURBI SISTEMA NERVOSO,9.454545,0
2013,322 - ATS DELL'INSUBRIA,030029-00,OSP.SACRA FAMIGLIA - F.B.F. - ERBA,01,MALATTIE E DISTURBI SISTEMA NERVOSO,13.375,1
2013,328 - ATS DI PAVIA,030938-00,FOND.MAUGERI-CENTRO MEDICO DI PAVIA,07,MALATTIE E DISTURBI EPATOBILIARI E PANCREAS,6.659091,0
2013,326 - ATS DI BRESCIA,030175-00,CASA DI CURA S. CAMILLO - BRESCIA,18,MALATTIE INFETTIVE E PARASSITARIE,14.555556,0
2013,322 - ATS DELL'INSUBRIA,030004-00,OSPEDALE DI CIRCOLO - BUSTO ARSIZIO,12,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO MASCHILE,6.494012,1
2014,325 - ATS DI BERGAMO,030131-00,OSPEDALE DI TREVIGLIO E CARAVAGGIO,05,MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO,6.990816,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030073-00,OSPEDALE DI CIRCOLO - RHO,21,"TRAUMATISMI, AVVELENAMENTI ED EFFETTI TOSSICI DEI FARMACI",6.584906,0
2013,327 - ATS DELLA VAL PADANA,030215-00,OSPEDALE S. MARTA - RIVOLTA D'ADDA,05,MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO,18.229358,0
2012,328 - ATS DI PAVIA,030194-00,OSPEDALE CIVILE - VOGHERA,22,USTIONI,9.25,0
2012,324 - ATS DELLA BRIANZA,030944-00,FONDAZIONE S. MAUGERI - LISSONE,08,MALATTIE E DISTURBI APPARATO OSTEOMUSCOLARE E TESSUTO CONNETTIVO,20.783784,14
2013,322 - ATS DELL'INSUBRIA,030017-00,CASA DI CURA MATER DOMINI - CASTELLANZA,06,MALATTIE E DISTURBI APPARATO DIGERENTE,5.446293,1
2013,327 - ATS DELLA VAL PADANA,030259-00,CASA DI CURA S. CLEMENTE - MANTOVA,06,MALATTIE E DISTURBI APPARATO DIGERENTE,5.113139,1
2013,326 - ATS DI BRESCIA,030178-00,IST.CLIN. CITTA' DI BRESCIA - BRESCIA,21,"TRAUMATISMI, AVVELENAMENTI ED EFFETTI TOSSICI DEI FARMACI",6.846154,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030058-00,OSPEDALE BASSINI - CINISELLO BALSAMO,22,USTIONI,59,0
2013,328 - ATS DI PAVIA,030202-00,IST.DI CURA CITTA'DI PAVIA,18,MALATTIE INFETTIVE E PARASSITARIE,4.6,0
2013,326 - ATS DI BRESCIA,030275-00,ISTITUTO CLINICO S. ROCCO S.P.A. - OME,06,MALATTIE E DISTURBI APPARATO DIGERENTE,5.796875,1
2013,324 - ATS DELLA BRIANZA,030106-00,CASA DI CURA POLICLINICO - MONZA,13,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO FEMMINILE,7.8,0
2013,322 - ATS DELL'INSUBRIA,030032-00,IST.CLINICO VILLA APRICA SPA-COMO,06,MALATTIE E DISTURBI APPARATO DIGERENTE,2.677467,1
2012,327 - ATS DELLA VAL PADANA,030217-00,C.C. ANCELLE DELLA CARITA'-CREMONA,08,MALATTIE E DISTURBI APPARATO OSTEOMUSCOLARE E TESSUTO CONNETTIVO,24.441667,0
2013,325 - ATS DI BERGAMO,030148-00,POLICLINICO SAN PIETRO  - PONTE S. PIETRO,15,MALATTIE E DISTURBI PERIODO PERINATALE,5.744565,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030943-00,IST. CLIN. HUMANITAS - ROZZANO,24,TRAUMATISMI MULTIPLI,16.973684,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030281-02,OSPEDALE DI CUGGIONO,03,"MALATTIE E DISTURBI ORECCHIO, NASO E GOLA",1.553911,1
2013,327 - ATS DELLA VAL PADANA,030273-00,PRESIDIO OSPEDALIERO OGLIO PO-CASALMAGGIORE,03,"MALATTIE E DISTURBI ORECCHIO, NASO E GOLA",3.806122,1
2013,324 - ATS DELLA BRIANZA,030081-00,PRESIDIO OSPEDALIERO   DI GIUSSANO,04,MALATTIE E DISTURBI APPARATO RESPIRATORIO,10.429348,0
2013,322 - ATS DELL'INSUBRIA,030009-00,OSPEDALE A.BELLINI - SOMMA LOMBARDO,16,MALATTIE E DISTURBI SANGUE ED ORGANI EMATOPOIETICI E SISTEMA IMMUNITARIO,7.878049,0
2012,327 - ATS DELLA VAL PADANA,030215-00,OSPEDALE S. MARTA - RIVOLTA D'ADDA,08,MALATTIE E DISTURBI APPARATO OSTEOMUSCOLARE E TESSUTO CONNETTIVO,20.8,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030910-00,OSPEDALE FATEBENEFRATELLI E OFTALMICO - MILANO,02,MALATTIE E DISTURBI OCCHIO,2.731429,1
2013,328 - ATS DI PAVIA,030191-00,OSPEDALE S.MARTINO - MEDE,05,MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO,10.152589,2
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030071-00,OSPEDALE S. MARIA DELLE STELLE MELZO,06,MALATTIE E DISTURBI APPARATO DIGERENTE,6.50744,1.666667
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030071-00,OSPEDALE S. MARIA DELLE STELLE MELZO,03,"MALATTIE E DISTURBI ORECCHIO, NASO E GOLA",2.912568,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030947-00,I.R.C.C.S. POLICLINICO SAN DONATO,03,"MALATTIE E DISTURBI ORECCHIO, NASO E GOLA",7.319149,0
2013,322 - ATS DELL'INSUBRIA,030025-00,OSPEDALE F. VILLA - MARIANO COMENSE,04,MALATTIE E DISTURBI APPARATO RESPIRATORIO,13.245098,0
2013,327 - ATS DELLA VAL PADANA,030227-00,PRESIDIO OSPEDALIERO - ASOLA,01,MALATTIE E DISTURBI SISTEMA NERVOSO,5.46988,1
2012,324 - ATS DELLA BRIANZA,030033-00,CASA DI CURA BEATO L.TALAMONI-LECCO,17,MALATTIE E DISTURBI MIELOPROLIFERATIVI E NEOPLASIE SCARSAMENTE DIFFERENZIATE,5.714286,0
2013,322 - ATS DELL'INSUBRIA,030022-00,OSPEDALE S. ANTONIO ABATE - CANTU',07,MALATTIE E DISTURBI EPATOBILIARI E PANCREAS,7.070313,2.666667
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030051-00,P.O.  CITTA' DI SESTO S. GIOVANNI,09,"MALATTIE E DISTURBI PELLE, TESSUTO SOTTOCUTANEO E MAMMELLA",5.440945,1
2014,326 - ATS DI BRESCIA,030154-01,PRESIDIO OSPEDALIERO DI CHIARI,11,MALATTIE E DISTURBI RENE E VIE URINARIE,4.954217,1
2014,322 - ATS DELL'INSUBRIA,030004-00,OSPEDALE DI CIRCOLO - BUSTO ARSIZIO,11,MALATTIE E DISTURBI RENE E VIE URINARIE,8.254128,1
2014,327 - ATS DELLA VAL PADANA,030355-00,OSPEDALE DI SUZZARA S.P.A.,12,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO MASCHILE,5.695652,1
2014,322 - ATS DELL'INSUBRIA,030006-00,OSP. S. ANTONIO ABATE - GALLARATE,08,MALATTIE E DISTURBI APPARATO OSTEOMUSCOLARE E TESSUTO CONNETTIVO,10.480116,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030067-00,OSPEDALE MAGGIORE DI LODI,22,USTIONI,6.933333,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030058-00,OSPEDALE BASSINI - CINISELLO BALSAMO,06,MALATTIE E DISTURBI APPARATO DIGERENTE,6.54386,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030941-00,ISTITUTO EUROPEO DI ONCOLOGIA-MILANO,10,"MALATTIE E DISTURBI ENDOCRINI, METABOLICI E NUTRIZIONALI",3.535519,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030056-00,PRESIDIO OSPED. V. BUZZI - MILANO,19,MALATTIE E DISTURBI MENTALI,4.848485,1.695652
2013,326 - ATS DI BRESCIA,030184-00,OSPEDALE DI MANERBIO,07,MALATTIE E DISTURBI EPATOBILIARI E PANCREAS,6.977035,0
2014,328 - ATS DI PAVIA,030198-00,ISTITUTO CLINICO BEATO MATTEO,01,MALATTIE E DISTURBI SISTEMA NERVOSO,15.725528,1
2014,324 - ATS DELLA BRIANZA,030909-00,OSPEDALE S.GERARDO - MONZA,14,"GRAVIDANZA, PARTO E PUERPERIO",2.026316,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030080-00,OSPEDALE ROSSI - CASALPUSTERLENGO,05,MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO,11.923077,0
2013,325 - ATS DI BERGAMO,030132-00,OSPEDALE CIVILE - S.GIOVANNI BIANCO,21,"TRAUMATISMI, AVVELENAMENTI ED EFFETTI TOSSICI DEI FARMACI",3.352941,1
2014,328 - ATS DI PAVIA,030199-00,CASA DI CURA S. MARIA GRAZIE,06,MALATTIE E DISTURBI APPARATO DIGERENTE,1.471698,0
2014,322 - ATS DELL'INSUBRIA,030004-00,OSPEDALE DI CIRCOLO - BUSTO ARSIZIO,03,"MALATTIE E DISTURBI ORECCHIO, NASO E GOLA",4.646667,1
