ANNO,ATS STRUTTURA,CODICE MDC,DESCRIZIONE MDC,DEGENZA MEDIA TOTALE,ACCESSI MEDI TOTALE
2012,326 - ATS DI BRESCIA,24,TRAUMATISMI MULTIPLI,13.754601,0
2013,325 - ATS DI BERGAMO,25,INFEZIONI DA HIV,17.022989,0
2013,326 - ATS DI BRESCIA,15,MALATTIE E DISTURBI PERIODO PERINATALE,12.502415,1
2013,328 - ATS DI PAVIA,15,MALATTIE E DISTURBI PERIODO PERINATALE,12.523227,0
2014,323 - ATS DELLA MONTAGNA,16,MALATTIE E DISTURBI SANGUE ED ORGANI EMATOPOIETICI E SISTEMA IMMUNITARIO,8.451372,1
2014,323 - ATS DELLA MONTAGNA,22,USTIONI,7,0
2014,REGIONE LOMBARDIA,24,TRAUMATISMI MULTIPLI,16.921536,0
2015,323 - ATS DELLA MONTAGNA,07,MALATTIE E DISTURBI EPATOBILIARI E PANCREAS,9.702263,1
2015,323 - ATS DELLA MONTAGNA,19,MALATTIE E DISTURBI MENTALI,11.230423,0
2015,324 - ATS DELLA BRIANZA,19,MALATTIE E DISTURBI MENTALI,13.876454,5.709559
2015,324 - ATS DELLA BRIANZA,25,INFEZIONI DA HIV,15.307692,0
2015,326 - ATS DI BRESCIA,24,TRAUMATISMI MULTIPLI,13.668539,0
2016,323 - ATS DELLA MONTAGNA,10,"MALATTIE E DISTURBI ENDOCRINI, METABOLICI E NUTRIZIONALI",6.929545,1
2016,326 - ATS DI BRESCIA,15,MALATTIE E DISTURBI PERIODO PERINATALE,12.399636,0
2016,326 - ATS DI BRESCIA,18,MALATTIE INFETTIVE E PARASSITARIE,10.343737,1
2016,328 - ATS DI PAVIA,15,MALATTIE E DISTURBI PERIODO PERINATALE,13.556978,1
2016,328 - ATS DI PAVIA,NA,MDC NON APPLICABILE,13.386364,1
2017,326 - ATS DI BRESCIA,25,INFEZIONI DA HIV,19.222222,0
2012,323 - ATS DELLA MONTAGNA,07,MALATTIE E DISTURBI EPATOBILIARI E PANCREAS,9.631818,1
2012,323 - ATS DELLA MONTAGNA,10,"MALATTIE E DISTURBI ENDOCRINI, METABOLICI E NUTRIZIONALI",6.955056,1.25
2012,323 - ATS DELLA MONTAGNA,25,INFEZIONI DA HIV,20.176471,0
2012,324 - ATS DELLA BRIANZA,24,TRAUMATISMI MULTIPLI,16.71134,0
2012,327 - ATS DELLA VAL PADANA,10,"MALATTIE E DISTURBI ENDOCRINI, METABOLICI E NUTRIZIONALI",6.05548,3.921569
2012,328 - ATS DI PAVIA,25,INFEZIONI DA HIV,12.679775,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,PR,PREMDC (DRG SENZA SPECIFICA MDC),33.623071,0
2014,323 - ATS DELLA MONTAGNA,15,MALATTIE E DISTURBI PERIODO PERINATALE,7.748,0
2014,324 - ATS DELLA BRIANZA,15,MALATTIE E DISTURBI PERIODO PERINATALE,10.396321,1
2014,325 - ATS DI BERGAMO,02,MALATTIE E DISTURBI OCCHIO,2.055672,1
2014,328 - ATS DI PAVIA,09,"MALATTIE E DISTURBI PELLE, TESSUTO SOTTOCUTANEO E MAMMELLA",3.917737,1
2014,328 - ATS DI PAVIA,10,"MALATTIE E DISTURBI ENDOCRINI, METABOLICI E NUTRIZIONALI",8.099396,1.148148
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,25,INFEZIONI DA HIV,14.975774,11
2015,322 - ATS DELL'INSUBRIA,24,TRAUMATISMI MULTIPLI,14.904255,0
2015,323 - ATS DELLA MONTAGNA,05,MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO,8.498614,1
2015,323 - ATS DELLA MONTAGNA,PR,PREMDC (DRG SENZA SPECIFICA MDC),39.737288,0
2015,326 - ATS DI BRESCIA,10,"MALATTIE E DISTURBI ENDOCRINI, METABOLICI E NUTRIZIONALI",5.814735,1
2015,326 - ATS DI BRESCIA,18,MALATTIE INFETTIVE E PARASSITARIE,9.888085,1
2015,328 - ATS DI PAVIA,14,"GRAVIDANZA, PARTO E PUERPERIO",4.01316,1
2016,324 - ATS DELLA BRIANZA,NA,MDC NON APPLICABILE,10.4375,1
2016,325 - ATS DI BERGAMO,24,TRAUMATISMI MULTIPLI,21.080402,0
2016,328 - ATS DI PAVIA,22,USTIONI,8.852941,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,24,TRAUMATISMI MULTIPLI,19.988473,0
2012,322 - ATS DELL'INSUBRIA,25,INFEZIONI DA HIV,17.797521,1.068966
2012,324 - ATS DELLA BRIANZA,20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,8.858896,5
2012,324 - ATS DELLA BRIANZA,22,USTIONI,5.153846,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,8.305508,6
2013,324 - ATS DELLA BRIANZA,19,MALATTIE E DISTURBI MENTALI,13.650217,6.46594
2013,327 - ATS DELLA VAL PADANA,20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,16.940415,4
2014,323 - ATS DELLA MONTAGNA,13,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO FEMMINILE,4.11036,1
2014,328 - ATS DI PAVIA,15,MALATTIE E DISTURBI PERIODO PERINATALE,12.074679,2
2015,323 - ATS DELLA MONTAGNA,21,"TRAUMATISMI, AVVELENAMENTI ED EFFETTI TOSSICI DEI FARMACI",6.571788,1
2015,325 - ATS DI BERGAMO,18,MALATTIE INFETTIVE E PARASSITARIE,11.497207,2.25
2015,325 - ATS DI BERGAMO,24,TRAUMATISMI MULTIPLI,20.029268,0
2015,328 - ATS DI PAVIA,22,USTIONI,9.209302,1
2016,325 - ATS DI BERGAMO,20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,7.549815,4
2017,323 - ATS DELLA MONTAGNA,10,"MALATTIE E DISTURBI ENDOCRINI, METABOLICI E NUTRIZIONALI",6.634021,0
2017,323 - ATS DELLA MONTAGNA,16,MALATTIE E DISTURBI SANGUE ED ORGANI EMATOPOIETICI E SISTEMA IMMUNITARIO,8.681199,1
2012,323 - ATS DELLA MONTAGNA,PR,PREMDC (DRG SENZA SPECIFICA MDC),36.438017,0
2012,326 - ATS DI BRESCIA,19,MALATTIE E DISTURBI MENTALI,16.694519,4.478873
2012,327 - ATS DELLA VAL PADANA,15,MALATTIE E DISTURBI PERIODO PERINATALE,8.840826,1
2013,324 - ATS DELLA BRIANZA,24,TRAUMATISMI MULTIPLI,15.452991,0
2014,323 - ATS DELLA MONTAGNA,20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,5.555556,0
2014,323 - ATS DELLA MONTAGNA,PR,PREMDC (DRG SENZA SPECIFICA MDC),36.239437,0
2014,325 - ATS DI BERGAMO,18,MALATTIE INFETTIVE E PARASSITARIE,10.990078,0
2014,326 - ATS DI BRESCIA,20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,13.772234,0
2014,328 - ATS DI PAVIA,19,MALATTIE E DISTURBI MENTALI,13.459323,2.141914
2015,325 - ATS DI BERGAMO,20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,8.511278,10.75
2016,323 - ATS DELLA MONTAGNA,07,MALATTIE E DISTURBI EPATOBILIARI E PANCREAS,9.874913,1
2016,323 - ATS DELLA MONTAGNA,19,MALATTIE E DISTURBI MENTALI,10.518976,0
2016,324 - ATS DELLA BRIANZA,22,USTIONI,9.681818,1
2017,322 - ATS DELL'INSUBRIA,25,INFEZIONI DA HIV,20.321429,0
2017,327 - ATS DELLA VAL PADANA,22,USTIONI,3.565217,10.75
2012,324 - ATS DELLA BRIANZA,15,MALATTIE E DISTURBI PERIODO PERINATALE,9.81547,1
2012,325 - ATS DI BERGAMO,15,MALATTIE E DISTURBI PERIODO PERINATALE,13.03531,1
2012,326 - ATS DI BRESCIA,15,MALATTIE E DISTURBI PERIODO PERINATALE,11.45098,0
2012,327 - ATS DELLA VAL PADANA,24,TRAUMATISMI MULTIPLI,14.951456,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,25,INFEZIONI DA HIV,14.481373,8.528302
2013,324 - ATS DELLA BRIANZA,PR,PREMDC (DRG SENZA SPECIFICA MDC),33.614458,0
2013,326 - ATS DI BRESCIA,06,MALATTIE E DISTURBI APPARATO DIGERENTE,6.049421,1
2013,326 - ATS DI BRESCIA,19,MALATTIE E DISTURBI MENTALI,16.408709,5.385542
2014,322 - ATS DELL'INSUBRIA,15,MALATTIE E DISTURBI PERIODO PERINATALE,11.156704,1
2014,323 - ATS DELLA MONTAGNA,06,MALATTIE E DISTURBI APPARATO DIGERENTE,6.830062,1
2014,323 - ATS DELLA MONTAGNA,25,INFEZIONI DA HIV,28,0
2015,323 - ATS DELLA MONTAGNA,16,MALATTIE E DISTURBI SANGUE ED ORGANI EMATOPOIETICI E SISTEMA IMMUNITARIO,8.811659,1
2015,325 - ATS DI BERGAMO,PR,PREMDC (DRG SENZA SPECIFICA MDC),43.05315,0
2015,326 - ATS DI BRESCIA,PR,PREMDC (DRG SENZA SPECIFICA MDC),29.584171,0
2016,326 - ATS DI BRESCIA,19,MALATTIE E DISTURBI MENTALI,16.654291,5.788732
2017,328 - ATS DI PAVIA,25,INFEZIONI DA HIV,13.658824,0
2012,325 - ATS DI BERGAMO,20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,7.621622,10
2012,REGIONE LOMBARDIA,25,INFEZIONI DA HIV,14.921405,8.098765
2013,322 - ATS DELL'INSUBRIA,15,MALATTIE E DISTURBI PERIODO PERINATALE,10.510204,1.333333
2013,322 - ATS DELL'INSUBRIA,24,TRAUMATISMI MULTIPLI,18.54918,0
2013,326 - ATS DI BRESCIA,21,"TRAUMATISMI, AVVELENAMENTI ED EFFETTI TOSSICI DEI FARMACI",5.729403,1
2013,328 - ATS DI PAVIA,12,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO MASCHILE,4.58637,1
2013,328 - ATS DI PAVIA,PR,PREMDC (DRG SENZA SPECIFICA MDC),35.540659,0
2014,322 - ATS DELL'INSUBRIA,25,INFEZIONI DA HIV,18.424051,1
2014,323 - ATS DELLA MONTAGNA,24,TRAUMATISMI MULTIPLI,15.111111,0
2014,324 - ATS DELLA BRIANZA,24,TRAUMATISMI MULTIPLI,17.71134,0
2014,324 - ATS DELLA BRIANZA,PR,PREMDC (DRG SENZA SPECIFICA MDC),34.602131,0
2014,326 - ATS DI BRESCIA,PR,PREMDC (DRG SENZA SPECIFICA MDC),29.710354,0
2015,323 - ATS DELLA MONTAGNA,09,"MALATTIE E DISTURBI PELLE, TESSUTO SOTTOCUTANEO E MAMMELLA",5.985714,1
2015,323 - ATS DELLA MONTAGNA,25,INFEZIONI DA HIV,27.5,0
2015,327 - ATS DELLA VAL PADANA,24,TRAUMATISMI MULTIPLI,15.094737,0
2015,327 - ATS DELLA VAL PADANA,25,INFEZIONI DA HIV,16.469697,0
2016,328 - ATS DI PAVIA,24,TRAUMATISMI MULTIPLI,13.52439,0
2017,323 - ATS DELLA MONTAGNA,18,MALATTIE INFETTIVE E PARASSITARIE,12.001214,1
2017,327 - ATS DELLA VAL PADANA,24,TRAUMATISMI MULTIPLI,13.904255,0
2012,323 - ATS DELLA MONTAGNA,15,MALATTIE E DISTURBI PERIODO PERINATALE,6.030822,0
2012,326 - ATS DI BRESCIA,12,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO MASCHILE,4.243871,1
2012,326 - ATS DI BRESCIA,22,USTIONI,10.61039,0
2013,323 - ATS DELLA MONTAGNA,20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,5.21028,0
2013,326 - ATS DI BRESCIA,13,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO FEMMINILE,4.257327,1
2013,326 - ATS DI BRESCIA,24,TRAUMATISMI MULTIPLI,14.941558,0
2014,323 - ATS DELLA MONTAGNA,12,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO MASCHILE,6.13269,1
2014,323 - ATS DELLA MONTAGNA,21,"TRAUMATISMI, AVVELENAMENTI ED EFFETTI TOSSICI DEI FARMACI",5.505236,1
2014,324 - ATS DELLA BRIANZA,25,INFEZIONI DA HIV,16.286585,0
2015,328 - ATS DI PAVIA,PR,PREMDC (DRG SENZA SPECIFICA MDC),31.76494,0
2016,325 - ATS DI BERGAMO,PR,PREMDC (DRG SENZA SPECIFICA MDC),43.034799,0
2017,326 - ATS DI BRESCIA,15,MALATTIE E DISTURBI PERIODO PERINATALE,12.504326,0
2017,328 - ATS DI PAVIA,15,MALATTIE E DISTURBI PERIODO PERINATALE,13.440657,0
2012,323 - ATS DELLA MONTAGNA,13,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO FEMMINILE,4.331668,1
2012,325 - ATS DI BERGAMO,24,TRAUMATISMI MULTIPLI,19.695946,0
2013,325 - ATS DI BERGAMO,20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,6.663366,6.5
2013,326 - ATS DI BRESCIA,02,MALATTIE E DISTURBI OCCHIO,2.838276,1
2013,327 - ATS DELLA VAL PADANA,15,MALATTIE E DISTURBI PERIODO PERINATALE,8.378837,1
2013,327 - ATS DELLA VAL PADANA,PR,PREMDC (DRG SENZA SPECIFICA MDC),28.753731,0
2014,327 - ATS DELLA VAL PADANA,10,"MALATTIE E DISTURBI ENDOCRINI, METABOLICI E NUTRIZIONALI",6.020509,3.25
2015,323 - ATS DELLA MONTAGNA,24,TRAUMATISMI MULTIPLI,17.303571,0
2015,326 - ATS DI BRESCIA,NA,MDC NON APPLICABILE,16.083333,1
2016,323 - ATS DELLA MONTAGNA,04,MALATTIE E DISTURBI APPARATO RESPIRATORIO,11.815559,1
2016,323 - ATS DELLA MONTAGNA,15,MALATTIE E DISTURBI PERIODO PERINATALE,5.9125,0
2016,323 - ATS DELLA MONTAGNA,16,MALATTIE E DISTURBI SANGUE ED ORGANI EMATOPOIETICI E SISTEMA IMMUNITARIO,9.364078,1
2016,324 - ATS DELLA BRIANZA,24,TRAUMATISMI MULTIPLI,13.629032,0
2016,326 - ATS DI BRESCIA,20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,13.900862,0
2012,322 - ATS DELL'INSUBRIA,24,TRAUMATISMI MULTIPLI,15.552381,0
2012,325 - ATS DI BERGAMO,19,MALATTIE E DISTURBI MENTALI,15.86773,11.382609
2012,327 - ATS DELLA VAL PADANA,PR,PREMDC (DRG SENZA SPECIFICA MDC),28.736434,0
2012,328 - ATS DI PAVIA,PR,PREMDC (DRG SENZA SPECIFICA MDC),30.53617,0
2013,323 - ATS DELLA MONTAGNA,  ,PREMDC (DRG SENZA SPECIFICA MDC),8.9,0
2013,323 - ATS DELLA MONTAGNA,02,MALATTIE E DISTURBI OCCHIO,3.826855,1
2015,322 - ATS DELL'INSUBRIA,25,INFEZIONI DA HIV,17.833333,0
2015,326 - ATS DI BRESCIA,25,INFEZIONI DA HIV,18.857143,0
2016,323 - ATS DELLA MONTAGNA,03,"MALATTIE E DISTURBI ORECCHIO, NASO E GOLA",3.471873,1
2016,325 - ATS DI BERGAMO,15,MALATTIE E DISTURBI PERIODO PERINATALE,11.945535,1
2016,325 - ATS DI BERGAMO,22,USTIONI,12.619048,0
2016,327 - ATS DELLA VAL PADANA,19,MALATTIE E DISTURBI MENTALI,13.064343,4.358491
2016,328 - ATS DI PAVIA,13,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO FEMMINILE,4.375061,1
2012,322 - ATS DELL'INSUBRIA,15,MALATTIE E DISTURBI PERIODO PERINATALE,9.967909,1
2012,326 - ATS DI BRESCIA,PR,PREMDC (DRG SENZA SPECIFICA MDC),29.716364,0
2012,327 - ATS DELLA VAL PADANA,25,INFEZIONI DA HIV,11.879121,1.5
2012,328 - ATS DI PAVIA,22,USTIONI,6.371429,1
2012,328 - ATS DI PAVIA,24,TRAUMATISMI MULTIPLI,11.940594,0
2012,REGIONE LOMBARDIA,PR,PREMDC (DRG SENZA SPECIFICA MDC),34.160035,0
2013,322 - ATS DELL'INSUBRIA,PR,PREMDC (DRG SENZA SPECIFICA MDC),38.235294,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,8.803489,5.333333
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,24,TRAUMATISMI MULTIPLI,17.136126,0
2014,324 - ATS DELLA BRIANZA,20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,8.525641,2
2014,325 - ATS DI BERGAMO,25,INFEZIONI DA HIV,20.04,0
2014,328 - ATS DI PAVIA,25,INFEZIONI DA HIV,12.385621,0
2015,323 - ATS DELLA MONTAGNA,02,MALATTIE E DISTURBI OCCHIO,2.908425,1
2015,323 - ATS DELLA MONTAGNA,03,"MALATTIE E DISTURBI ORECCHIO, NASO E GOLA",3.296069,1
2015,323 - ATS DELLA MONTAGNA,22,USTIONI,6.242424,1
2015,328 - ATS DI PAVIA,12,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO MASCHILE,5.14426,1
2016,323 - ATS DELLA MONTAGNA,20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,5.506757,0
2016,325 - ATS DI BERGAMO,18,MALATTIE INFETTIVE E PARASSITARIE,11.222364,1
2016,327 - ATS DELLA VAL PADANA,15,MALATTIE E DISTURBI PERIODO PERINATALE,8.342981,0
2016,327 - ATS DELLA VAL PADANA,24,TRAUMATISMI MULTIPLI,11.884211,0
2012,322 - ATS DELL'INSUBRIA,22,USTIONI,7.428571,1
2012,323 - ATS DELLA MONTAGNA,19,MALATTIE E DISTURBI MENTALI,10.796962,3
2012,325 - ATS DI BERGAMO,PR,PREMDC (DRG SENZA SPECIFICA MDC),39.898649,0
2013,324 - ATS DELLA BRIANZA,25,INFEZIONI DA HIV,14.527174,0
2013,325 - ATS DI BERGAMO,  ,PREMDC (DRG SENZA SPECIFICA MDC),14.097826,1
2013,325 - ATS DI BERGAMO,19,MALATTIE E DISTURBI MENTALI,17.203575,12.743455
2013,326 - ATS DI BRESCIA,12,MALATTIE E DISTURBI APPARATO RIPRODUTTIVO MASCHILE,3.572391,1
2014,326 - ATS DI BRESCIA,10,"MALATTIE E DISTURBI ENDOCRINI, METABOLICI E NUTRIZIONALI",5.681346,1
2014,328 - ATS DI PAVIA,03,"MALATTIE E DISTURBI ORECCHIO, NASO E GOLA",3.432451,1
2015,328 - ATS DI PAVIA,24,TRAUMATISMI MULTIPLI,13.944444,0
2016,323 - ATS DELLA MONTAGNA,18,MALATTIE INFETTIVE E PARASSITARIE,12.299887,1
2016,326 - ATS DI BRESCIA,22,USTIONI,11.166667,1
2016,327 - ATS DELLA VAL PADANA,25,INFEZIONI DA HIV,15.0625,0
2017,323 - ATS DELLA MONTAGNA,24,TRAUMATISMI MULTIPLI,14,0
2012,322 - ATS DELL'INSUBRIA,PR,PREMDC (DRG SENZA SPECIFICA MDC),37.922053,0
2012,324 - ATS DELLA BRIANZA,PR,PREMDC (DRG SENZA SPECIFICA MDC),38.413223,0
2012,328 - ATS DI PAVIA,20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,9.804317,1.888889
2013,323 - ATS DELLA MONTAGNA,19,MALATTIE E DISTURBI MENTALI,11.079351,2
2013,325 - ATS DI BERGAMO,18,MALATTIE INFETTIVE E PARASSITARIE,11.647773,0
2013,326 - ATS DI BRESCIA,20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,14.077263,0
2014,325 - ATS DI BERGAMO,24,TRAUMATISMI MULTIPLI,21.072626,0
2014,328 - ATS DI PAVIA,24,TRAUMATISMI MULTIPLI,13.728814,0
2015,323 - ATS DELLA MONTAGNA,10,"MALATTIE E DISTURBI ENDOCRINI, METABOLICI E NUTRIZIONALI",6.887805,0
2015,328 - ATS DI PAVIA,10,"MALATTIE E DISTURBI ENDOCRINI, METABOLICI E NUTRIZIONALI",7.351116,1.106383
2016,323 - ATS DELLA MONTAGNA,21,"TRAUMATISMI, AVVELENAMENTI ED EFFETTI TOSSICI DEI FARMACI",6.632432,1
2016,328 - ATS DI PAVIA,11,MALATTIE E DISTURBI RENE E VIE URINARIE,8.179894,1
2017,325 - ATS DI BERGAMO,25,INFEZIONI DA HIV,19.967213,0
2017,326 - ATS DI BRESCIA,PR,PREMDC (DRG SENZA SPECIFICA MDC),28.42446,0
2017,327 - ATS DELLA VAL PADANA,25,INFEZIONI DA HIV,12.857143,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,24,TRAUMATISMI MULTIPLI,19.289157,0
2013,323 - ATS DELLA MONTAGNA,24,TRAUMATISMI MULTIPLI,14.6,0
2013,323 - ATS DELLA MONTAGNA,25,INFEZIONI DA HIV,12.277778,0
2013,327 - ATS DELLA VAL PADANA,22,USTIONI,5.826087,8.666667
2014,325 - ATS DI BERGAMO,15,MALATTIE E DISTURBI PERIODO PERINATALE,12.728331,1
2014,328 - ATS DI PAVIA,07,MALATTIE E DISTURBI EPATOBILIARI E PANCREAS,9.408195,1.2
2013,327 - ATS DELLA VAL PADANA,24,TRAUMATISMI MULTIPLI,14.5,0
2015,323 - ATS DELLA MONTAGNA,15,MALATTIE E DISTURBI PERIODO PERINATALE,6.690141,0
2015,325 - ATS DI BERGAMO,25,INFEZIONI DA HIV,19.62069,0
2015,328 - ATS DI PAVIA,15,MALATTIE E DISTURBI PERIODO PERINATALE,13.267252,1
2015,328 - ATS DI PAVIA,19,MALATTIE E DISTURBI MENTALI,12.277838,2.546185
2016,322 - ATS DELL'INSUBRIA,25,INFEZIONI DA HIV,15.556522,0
2016,326 - ATS DI BRESCIA,07,MALATTIE E DISTURBI EPATOBILIARI E PANCREAS,7.732397,1
2017,325 - ATS DI BERGAMO,15,MALATTIE E DISTURBI PERIODO PERINATALE,12.219803,1.333333
2017,325 - ATS DI BERGAMO,22,USTIONI,7.4,1
2017,327 - ATS DELLA VAL PADANA,15,MALATTIE E DISTURBI PERIODO PERINATALE,8.014855,0
2017,327 - ATS DELLA VAL PADANA,PR,PREMDC (DRG SENZA SPECIFICA MDC),31.313208,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,24,TRAUMATISMI MULTIPLI,18.296399,0
2013,322 - ATS DELL'INSUBRIA,25,INFEZIONI DA HIV,17.043478,1.055556
2013,328 - ATS DI PAVIA,19,MALATTIE E DISTURBI MENTALI,13.060322,2.367089
2013,328 - ATS DI PAVIA,25,INFEZIONI DA HIV,12.636872,0
2014,325 - ATS DI BERGAMO,19,MALATTIE E DISTURBI MENTALI,16.272898,12.029851
2015,324 - ATS DELLA BRIANZA,15,MALATTIE E DISTURBI PERIODO PERINATALE,9.597451,1.666667
2015,324 - ATS DELLA BRIANZA,24,TRAUMATISMI MULTIPLI,14.958763,0
2016,323 - ATS DELLA MONTAGNA,02,MALATTIE E DISTURBI OCCHIO,3.085603,1
2016,325 - ATS DI BERGAMO,21,"TRAUMATISMI, AVVELENAMENTI ED EFFETTI TOSSICI DEI FARMACI",8.606742,1
2016,328 - ATS DI PAVIA,07,MALATTIE E DISTURBI EPATOBILIARI E PANCREAS,8.857374,1
2017,323 - ATS DELLA MONTAGNA,09,"MALATTIE E DISTURBI PELLE, TESSUTO SOTTOCUTANEO E MAMMELLA",5.963534,1
2012,327 - ATS DELLA VAL PADANA,19,MALATTIE E DISTURBI MENTALI,11.865942,5.144578
2014,322 - ATS DELL'INSUBRIA,24,TRAUMATISMI MULTIPLI,17.187135,0
2014,REGIONE LOMBARDIA,25,INFEZIONI DA HIV,15.66129,5.852941
2015,322 - ATS DELL'INSUBRIA,22,USTIONI,8.232558,1
2015,324 - ATS DELLA BRIANZA,20,USO DI ALCOOL/FARMACI E DISTURBI MENTALI ORGANICI INDOTTI,7.639706,5
2015,325 - ATS DI BERGAMO,15,MALATTIE E DISTURBI PERIODO PERINATALE,12.109499,1
2015,326 - ATS DI BRESCIA,07,MALATTIE E DISTURBI EPATOBILIARI E PANCREAS,7.590549,1
2015,327 - ATS DELLA VAL PADANA,19,MALATTIE E DISTURBI MENTALI,13.282258,4.47191
2016,325 - ATS DI BERGAMO,25,INFEZIONI DA HIV,17.458333,0
2016,327 - ATS DELLA VAL PADANA,PR,PREMDC (DRG SENZA SPECIFICA MDC),27.071661,0
2017,323 - ATS DELLA MONTAGNA,02,MALATTIE E DISTURBI OCCHIO,2.952381,1
2017,323 - ATS DELLA MONTAGNA,03,"MALATTIE E DISTURBI ORECCHIO, NASO E GOLA",3.486647,1
2012,324 - ATS DELLA BRIANZA,25,INFEZIONI DA HIV,15.565714,1
2012,325 - ATS DI BERGAMO,22,USTIONI,7.04878,0
2012,326 - ATS DI BRESCIA,25,INFEZIONI DA HIV,14.45092,0
2013,322 - ATS DELL'INSUBRIA,22,USTIONI,10.659574,1
2013,323 - ATS DELLA MONTAGNA,07,MALATTIE E DISTURBI EPATOBILIARI E PANCREAS,9.795141,3
2013,325 - ATS DI BERGAMO,22,USTIONI,8.411765,0
