cod_cas,nom_sost,nom_sost_ing
1746-01-6,"2,3,7,8 TCDD","2,3,7,8-tetrachlorodibenzo[b,e][1,4]dioxin"
2008-58-4,"Diclorobenzammide 2,6","2,6-dichlorobenzamide"
57653-85-7,"1,2,3,6,7,8 HxCDD",
56-38-2,Paration etile,Parathion
28159-98-0,Cibutrina,"N'-tert-butyl-N-cyclopropyl-6-(methylthio)-1,3,5-triazine-2,4-diamine"
57117-31-4,"2,3,4,7,8 PeCDF",
32774-16-6,PCB 169,
1031-07-8,Endosulfan solfato,
314-40-9,Bromacil,Bromacil
52663-63-5,PCB 151,
12408-02-5,pH,
5598-13-0,Clorpirifos Metile,Chlorpyrifos-methyl
39001-02-0,OCDF,
34123-59-6,Isoproturon,"3-(4-isopropylphenyl)-1,1-dimethylurea"
67747-09-5,Procloraz,"N-propyl-N-[2-(2,4,6-trichlorophenoxy)ethyl]-1H-imidazole-1-carboxamide"
298-00-0,Paration metile,Parathion-methyl
1024-57-3,Eptacloro epossido,Heptachlor epoxide
15972-60-8,Alachlor,Alachlor
709-98-8,Propanil,Propanil
1190931-27-1,"cC6O4 [Difluoro{[2,2,4,5-tetrafluoro- 5-(trifluoromethoxy)-1,3-dioxolan- 4-yl]oxy} acetic acid]",
51207-31-9,"2,3,7,8 TCDF",
38379-99-6,PCB 95,
19408-74-3,"1,2,3,7,8,9 HxCDD",
77732-09-3,Oxadixyl,
14798-03-9,Azoto ammoniacale,
1071-83-6,Glifosate,Glyphosate
14808-79-8,Solfati,
309-00-2,Aldrin,Aldrin
608-73-1,Esaclorocicloesano,BHC or HCH
41394-05-2,Metamitron,"4-amino-3-methyl-6-phenyl-1,2,4-triazin-5-one"
121-75-5,Malathion,Malathion
52663-69-1,PCB 183,
84087-01-4,Quinclorac,
470-90-6,Chlorfenvinphos,Chlorfenvinphos
16887-00-6,Cloruri,
122-14-5,Fenitrotion,Fenitrothion
57837-19-1,Metalaxyl,"Methyl N-(2,6-dimethylphenyl)-N-(methoxyacetyl)-DL-alaninate"
2058-94-8,PFUdA (Perfluoro Undecanoic Acid),Henicosafluoroundecanoic acid
51908-16-8,PCB 146,
189-64-0,"Dibenzo(a,h)pirene","Dibenzo[b,def]chrysene"
1113-02-6,Ometoato,Omethoate
38380-01-7,PCB 99,
35822-46-9,"1,2,3,4,6,7,8 HpCDD",
52663-70-4,PCB 177,
51218-49-6,Pretilachlor,
5466-77-3,4-metossicinnamato di 2-etilesile,2-ethylhexyl 4-methoxycinnamate
70648-26-9,"1,2,3,4,7,8 HxCDF",
55-38-9,Fenthion,Fenthion
5103-74-2,Clordano trans,"(1?,2?,3a?,4?,7?,7a?)-1,2,4,5,6,7,8,8-octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene"
